indicator,family,mean_partial_ic,std_partial_ic,abs_mean,sign_agreement,n_folds,t_stat
ema_12_dist,EMA,-0.01352,0.00475,0.01352,1.0,6,-6.97
ema_25_dist,EMA,-0.01421,0.00509,0.01421,1.0,6,-6.84
ema_50_dist,EMA,-0.01332,0.00493,0.01332,1.0,6,-6.62
ema_200_dist,EMA,-0.01062,0.00457,0.01062,1.0,6,-5.69
ema_12_slope,EMA,-0.01255,0.00536,0.01255,1.0,6,-5.74
ema_50_slope,EMA,-0.01304,0.00483,0.01304,1.0,6,-6.61
ema_200_slope,EMA,-0.01052,0.0046,0.01052,1.0,6,-5.6
ema_compression,EMA,0.00044,0.00714,0.00044,0.5,6,0.15
rsi_7,RSI,-0.00975,0.00327,0.00975,1.0,6,-7.31
rsi_14,RSI,-0.0112,0.00324,0.0112,1.0,6,-8.47
rsi_21,RSI,-0.01159,0.0037,0.01159,1.0,6,-7.67
rsi_7_slope,RSI,0.00223,0.00256,0.00223,0.667,6,2.13
rsi_14_slope,RSI,0.00184,0.00326,0.00184,0.667,6,1.38
rsi_14_accel,RSI,-0.00092,0.00237,0.00092,0.667,6,-0.95
di_plus,DMI,-0.00891,0.00629,0.00891,0.833,6,-3.47
di_minus,DMI,0.00932,0.0052,0.00932,1.0,6,4.39
di_spread,DMI,-0.01006,0.00607,0.01006,1.0,6,-4.06
adx,ADX,-0.00057,0.00788,0.00057,0.5,6,-0.18
adx_slope,ADX,0.00712,0.00448,0.00712,1.0,6,3.89
adx_accel,ADX,0.00235,0.00445,0.00235,0.667,6,1.29
