entryTimeUTC,dir,kind,entry,riskPrice,exitPrice,realizedUsd,mfeR,maeR,exitTag
2025.03.03 03:19,S,E5,2862.218,6.752,2860.751,47.55,0.42,0.00,SL-WIN
2025.03.03 05:40,S,E5,2862.760,3.681,2862.099,42.44,0.38,0.00,SL-WIN
2025.03.03 07:20,S,E5,2862.586,2.323,2862.116,45.67,0.40,0.00,SL-WIN
2025.03.03 08:31,S,E5,2860.138,3.509,2863.647,-200.01,0.24,0.00,SL-LOSS
2025.03.03 09:08,L,E5,2869.385,5.126,2870.119,38.24,0.34,0.00,SL-WIN
2025.03.04 00:15,L,E5,2893.385,2.811,2890.574,-199.55,0.13,0.00,SL-LOSS
2025.03.04 01:20,S,E5,2884.654,5.609,2883.212,52.37,0.46,0.00,SL-WIN
2025.03.04 06:29,S,E5,2887.685,2.193,2886.097,101.78,0.92,0.00,SL-WIN
2025.03.04 07:33,L,E5,2899.591,9.665,2908.188,120.74,1.09,0.00,SL-WIN
2025.03.04 14:50,S,E5,2909.674,8.875,2906.747,60.12,0.53,0.00,SL-WIN
2025.03.05 05:55,L,E5,2917.048,5.645,2918.281,45.76,0.42,0.00,SL-WIN
2025.03.05 08:19,L,E5,2921.680,5.766,2917.596,-142.94,0.15,0.00,EA
2025.03.05 12:00,S,E5,2913.302,2.530,2912.889,45.37,0.36,0.00,SL-WIN
2025.03.05 13:15,S,E5,2913.712,2.171,2915.883,-199.72,0.04,0.00,SL-LOSS
2025.03.06 01:48,L,E5,2923.171,4.356,2924.804,62.91,0.58,0.00,SL-WIN
2025.03.06 07:32,S,E5,2915.706,4.191,2914.548,53.56,0.48,0.00,SL-WIN
2025.03.06 14:16,L,E5,2910.224,5.812,2912.021,55.17,0.51,0.00,SL-WIN
2025.03.07 00:00,S,E5,2910.269,2.388,2910.000,35.35,0.27,0.00,SL-WIN
2025.03.07 02:13,S,E5,2904.038,3.181,2907.219,-200.42,0.25,0.00,SL-LOSS
2025.03.07 05:22,L,E5,2911.326,4.571,2911.842,35.19,0.28,0.00,SL-WIN
2025.03.07 06:21,L,E5,2911.524,3.343,2911.901,33.33,0.24,0.00,SL-WIN
2025.03.07 14:04,S,E5,2910.415,8.111,2908.989,43.01,0.38,0.00,SL-WIN
2025.03.10 01:15,L,E5,2917.383,3.326,2914.057,-199.55,0.19,0.00,SL-LOSS
2025.03.10 05:04,S,E5,2909.484,2.616,2908.660,57.36,0.52,0.00,SL-WIN
2025.03.10 07:12,L,E5,2914.238,2.600,2914.643,36.79,0.36,0.00,SL-WIN
2025.03.10 08:09,S,E5,2909.046,2.805,2907.428,85.35,0.78,0.00,SL-WIN
