entry_time,dir,et,entry,sl,tp,lot,rr,ticket,exit_time,exit_reason,pnl
2025.03.07 02:13:00,S,E1,2904.014,2907.715,2897.3337,0.15,1.8,20250307021300203,2025.03.07 02:38:13,SL hit,-35.1
2025.03.10 05:21:00,S,E1,2908.945,2911.121,2904.31447,0.15,2.13,20250310052100270,2025.03.10 06:02:38,SL hit,-19.8
2025.03.14 01:13:00,L,E2,2990.097,2985.82,2997.2644,0.15,1.68,20250314011300473,2025.03.14 01:21:01,SL hit,-52.05
2025.03.18 06:07:00,L,E2,3016.47,3013.55764,3021.05696,0.15,1.57,20250318060700571,2025.03.18 06:21:00,SL hit,-37.19
2025.03.20 01:15:00,L,E1,3054.751,3050.286,3063.77744,0.15,2.02,20250320011500659,2025.03.20 01:55:06,SL hit,-57.21
2025.03.26 12:50:00,L,E1,3029.086,3025.428,3037.07873,0.15,2.19,20250326125000877,2025.03.26 13:01:00,SL hit,-48.27
2025.03.27 07:53:00,L,E2,3035.18,3032.66343,3039.61923,0.15,1.76,20250327075300906,2025.03.27 08:32:25,SL Hit,2.1
2025.03.28 05:25:00,L,E2,3075.588,3073.93714,3078.50011,0.15,1.76,20250328052500976,2025.03.28 05:40:27,SL Hit,15.69
2025.03.31 07:19:00,L,E2,3124.518,3119.60636,3133.18214,0.15,1.76,20250331071900056,2025.03.31 07:30:00,SL hit,-37.61
2025.04.04 07:36:00,S,E1,3096.848,3103.524,3084.1636,0.15,1.9,20250404073600454,2025.04.04 08:21:26,TP Hit,190.53
2025.04.09 06:25:00,L,E2,3030.629,3021.2,3047.26176,0.15,1.76,20250409062500968,2025.04.09 06:45:00,SL hit,-4.65
2025.04.10 14:12:00,L,E1,3141.56,3126.50629,3167.34761,0.12,1.71,20250410141200135,,OPEN/UNMATCHED,
2025.04.15 03:01:00,L,E2,3226.035,3223.07464,3230.99597,0.15,1.68,20250415030100421,2025.04.15 03:15:00,SL hit,-15.28
2025.04.16 03:30:00,L,E1,3275.72,3269.41914,3288.45781,0.15,2.02,20250416033000500,2025.04.16 04:22:46,SL Hit,5.41
2025.04.16 05:00:00,L,E1,3283.757,3275.75443,3300.78647,0.15,2.13,20250416050000526,2025.04.16 07:58:06,SL Hit,136.9
2025.04.17 14:10:00,S,E1,3309.389,3321.66529,3280.41942,0.15,2.36,20250417141000748,,OPEN/UNMATCHED,
2025.04.21 00:04:00,L,E2,3353.257,3348.45121,3361.31054,0.15,1.68,20250421000400862,2025.04.21 00:36:42,TP Hit,120.92
2025.04.21 13:45:00,L,E1,3416.818,3405.139,3445.39885,0.09,2.45,20250421134500934,2025.04.21 14:37:59,SL Hit,5.87
2025.04.22 05:45:00,L,E1,3488.125,3478.811,3505.8216,0.15,1.9,20250422054500050,2025.04.22 06:21:53,SL Hit,7.8
2025.04.22 05:46:00,L,E2,3488.469,3481.54414,3499.37565,0.15,1.58,20250422054600050,2025.04.22 06:18:07,TP Hit,163.4
2025.04.23 08:16:00,S,E1,3307.459,3315.79586,3289.71817,0.16,2.13,20250423081600286,2025.04.23 08:25:00,SL hit,-130.53
2025.04.25 08:06:00,S,E1,3304.324,3309.36018,3293.60702,0.15,2.13,20250425080600543,2025.04.25 08:18:38,TP Hit,161.14
2025.05.02 05:40:00,L,E1,3256.123,3251.86471,3264.21374,0.16,1.9,20250502054000053,2025.05.02 05:48:35,SL hit,-68.83
2025.05.05 05:41:00,L,E2,3261.357,3257.95521,3267.35775,0.15,1.76,20250505054100166,2025.05.05 05:44:44,SL hit,-51.15
2025.05.08 03:21:00,L,E1,3405.746,3398.96983,3419.44471,0.15,2.02,20250508032100515,2025.05.08 03:26:07,SL hit,-103.96
2025.05.12 00:43:00,S,E2,3276.379,3282.96464,3265.34278,0.15,1.68,20250512004300750,2025.05.12 00:53:00,SL hit,-46.59
2025.05.12 00:50:00,S,E1,3277.261,3286.38386,3258.81823,0.15,2.02,20250512005000762,2025.05.12 01:07:55,Early Exit/Session End?,29.02
2025.05.20 02:11:00,S,E1,3214.313,3221.90214,3198.97079,0.11,2.02,20250520021100449,2025.05.20 03:17:46,Early Exit/Session End?,13.33
2025.05.21 00:31:00,L,E2,3298.517,3294.6665,3304.27831,0.11,1.5,20250521003100593,2025.05.21 00:40:02,TP Hit,61.06
2025.05.21 02:43:00,L,E2,3303.704,3298.36957,3311.68564,0.11,1.5,20250521024300618,2025.05.21 02:52:00,SL hit,-25.98
2025.05.23 07:49:01,L,E2,3333.133,3329.33007,3339.84137,0.11,1.76,20250523074900854,2025.05.23 07:55:00,SL hit,-19.41
2025.05.23 12:02:00,L,E2,3353.814,3341.69443,3375.76557,0.11,1.81,20250523120200879,,OPEN/UNMATCHED,
2025.05.27 00:15:00,L,E1,3349.435,3345.83843,3355.92681,0.11,1.8,20250527001500031,2025.05.27 00:20:17,SL hit,-41.17
2025.05.27 07:52:00,S,E2,3296.644,3302.6695,3286.01502,0.11,1.76,20250527075200057,2025.05.27 08:01:34,SL hit,-49.64
2025.06.09 00:43:01,S,E2,3305.33,3310.53864,3296.60136,0.11,1.68,20250609004301904,2025.06.09 00:48:03,Early Exit/Session End?,38.18
2025.06.09 01:58:00,S,E2,3298.897,3303.5845,3291.88333,0.11,1.5,20250609015800926,2025.06.09 02:02:19,Early Exit/Session End?,11.23
2025.06.12 13:37:00,L,E1,3391.365,3381.40557,3415.73771,0.11,2.45,20250612133700236,2025.06.12 14:22:08,SL hit,-58.6
2025.06.16 13:15:00,S,E1,3414.606,3418.179,3405.86215,0.11,2.45,20250616131500508,2025.06.16 13:18:44,Early Exit/Session End?,42.51
2025.06.18 02:05:00,S,E1,3376.082,3381.53029,3365.06775,0.11,2.02,20250618020500663,2025.06.18 02:40:38,Early Exit/Session End?,7.4
2025.06.19 03:25:00,S,E1,3372.349,3375.98186,3365.00482,0.11,2.02,20250619032500769,2025.06.19 03:38:30,SL hit,-27.07
2025.06.19 07:22:00,S,E2,3352.14,3356.70493,3344.95024,0.11,1.58,20250619072200779,2025.06.19 07:28:36,SL hit,-39.2
2025.06.26 08:58:00,L,E2,3350.146,3347.34207,3354.56219,0.11,1.57,20250626085800201,2025.06.26 09:01:18,SL hit,-32.45
2025.07.03 12:46:00,S,E1,3314.075,3329.20757,3278.36516,0.11,2.36,20250703124600607,2025.07.03 13:04:26,SL hit,-158.7
2025.07.08 07:05:00,L,E1,3338.0,3334.55343,3345.3343,0.11,2.13,20250708070500809,2025.07.08 07:25:47,SL hit,-38.48
