tag,EMA_ALIGNMENT_TOLERANCE_PIPS,E1_RR,SL_EMA_DISTANCE,trades,win,net,pf,maxdd,e1,e2,e4,perq
c023,35.0,2.8,55,172,47.7,1149.67,1.214,739.02,151,9,12,2024Q1:116;2024Q2:351;2024Q3:55;2024Q4:429;2025Q1:-278;2025Q2:635;2025Q3:-158
c047,60.0,2.8,55,178,47.8,1143.32,1.207,716.95,156,10,12,2024Q1:213;2024Q2:465;2024Q3:-67;2024Q4:351;2025Q1:-343;2025Q2:705;2025Q3:-180
c035,46.0,2.8,55,172,47.7,1065.74,1.199,716.95,151,9,12,2024Q1:156;2024Q2:420;2024Q3:46;2024Q4:343;2025Q1:-333;2025Q2:635;2025Q3:-202
c011,23.0,2.8,55,169,47.9,1055.9,1.198,697.18,148,9,12,2024Q1:-97;2024Q2:362;2024Q3:127;2024Q4:408;2025Q1:-236;2025Q2:642;2025Q3:-149
c021,35.0,2.8,27,172,47.7,1079.77,1.2,737.45,151,9,12,2024Q1:84;2024Q2:351;2024Q3:55;2024Q4:440;2025Q1:-276;2025Q2:584;2025Q3:-158
c022,35.0,2.8,40,172,47.7,1078.25,1.2,738.18,151,9,12,2024Q1:83;2024Q2:351;2024Q3:55;2024Q4:439;2025Q1:-277;2025Q2:585;2025Q3:-158
c045,60.0,2.8,27,178,47.8,1082.18,1.195,715.83,156,10,12,2024Q1:180;2024Q2:473;2024Q3:-62;2024Q4:358;2025Q1:-342;2025Q2:655;2025Q3:-180
c046,60.0,2.8,40,178,47.8,1080.76,1.195,716.35,156,10,12,2024Q1:180;2024Q2:473;2024Q3:-62;2024Q4:357;2025Q1:-343;2025Q2:655;2025Q3:-180
c034,46.0,2.8,40,172,47.7,995.2,1.185,716.35,151,9,12,2024Q1:123;2024Q2:418;2024Q3:46;2024Q4:349;2025Q1:-333;2025Q2:592;2025Q3:-201
c020,35.0,2.3,55,172,48.8,975.17,1.187,767.05,151,9,12,2024Q1:50;2024Q2:249;2024Q3:35;2024Q4:409;2025Q1:-299;2025Q2:550;2025Q3:-18
c033,46.0,2.8,27,172,47.7,989.19,1.184,715.83,151,9,12,2024Q1:124;2024Q2:418;2024Q3:46;2024Q4:350;2025Q1:-332;2025Q2:584;2025Q3:-201
c009,23.0,2.8,27,169,47.9,975.26,1.182,695.61,148,9,12,2024Q1:-130;2024Q2:362;2024Q3:126;2024Q4:408;2025Q1:-234;2025Q2:591;2025Q3:-149
c010,23.0,2.8,40,169,47.9,974.3,1.182,696.34,148,9,12,2024Q1:-130;2024Q2:362;2024Q3:127;2024Q4:408;2025Q1:-235;2025Q2:592;2025Q3:-149
c018,35.0,2.3,27,172,48.8,948.87,1.181,761.94,151,9,12,2024Q1:18;2024Q2:249;2024Q3:35;2024Q4:410;2025Q1:-294;2025Q2:549;2025Q3:-18
