entryTimeUTC,dir,kind,entry,riskPrice,exitPrice,realizedUsd,mfeR,maeR,exitTag
2024.01.02 07:09,L,E2,2075.961,2.125,2074.992,-14.53,0.00,0.00,EA
2024.01.11 05:44,L,E4,2033.300,1.499,2032.377,-13.85,0.74,0.00,EA
2024.01.12 03:11,L,E2,2035.120,1.290,2034.361,-11.38,0.39,0.00,EA
2024.01.12 07:30,L,E1,2038.054,2.057,2035.997,-30.86,0.41,0.00,SL-LOSS
2024.01.12 13:35,L,E1,2052.444,5.676,2055.398,44.31,1.63,0.00,EA
2024.01.16 08:29,S,E1,2047.821,2.268,2043.410,66.16,1.76,0.00,TP
2024.01.16 12:14,S,E4,2036.017,1.997,2038.014,-29.96,0.00,0.00,SL-LOSS
2024.01.16 13:13,S,E4,2035.955,2.249,2032.045,58.66,0.45,0.00,TP
2024.01.18 00:56,L,E4,2010.549,1.079,2009.627,-13.83,0.42,0.00,EA
2024.01.19 05:26,S,E4,2020.477,0.697,2021.174,-10.46,0.10,0.00,SL-LOSS
2024.01.19 12:05,L,E4,2033.584,1.277,2032.307,-19.15,0.00,0.00,SL-LOSS
2024.01.22 06:17,S,E2,2020.415,1.885,2021.806,-20.87,0.00,0.00,EA
2024.01.22 14:32,S,E2,2020.040,2.691,2022.731,-40.36,0.00,0.00,SL-LOSS
2024.01.25 06:18,S,E1,2014.710,1.162,2015.872,-17.43,0.00,0.00,SL-LOSS
2024.01.25 07:10,S,E4,2014.060,1.251,2015.311,-18.77,0.00,0.00,SL-LOSS
2024.01.26 01:06,L,E4,2023.393,1.575,2022.342,-15.76,0.28,0.00,EA
2024.01.26 13:23,L,E1,2023.626,1.600,2022.026,-24.00,0.00,0.00,SL-LOSS
2024.01.29 13:30,L,E1,2031.438,2.409,2035.655,63.25,1.33,0.00,TP
2024.01.30 06:12,L,E1,2033.948,1.466,2034.030,1.23,1.29,0.00,SL-WIN
2024.01.30 07:34,L,E2,2036.708,1.477,2038.681,29.59,0.44,0.00,TP
2024.02.05 05:04,S,E4,2030.775,1.089,2030.720,0.83,0.91,0.00,SL-WIN
2024.02.05 08:11,S,E2,2025.227,2.188,2021.658,53.54,1.36,0.00,TP
2024.02.06 07:14,L,E1,2028.409,1.793,2026.616,-26.89,0.23,0.00,SL-LOSS
2024.02.06 14:45,L,E1,2030.338,3.168,2030.488,2.25,0.74,0.00,EA
2024.02.08 05:02,S,E2,2031.895,0.874,2032.351,-6.84,0.32,0.00,EA
2024.02.09 14:49,S,E2,2023.057,3.470,2025.112,-30.83,0.00,0.00,EA
2024.02.14 01:13,S,E1,1991.015,1.248,1990.950,0.98,1.40,0.00,SL-WIN
2024.02.14 08:05,S,E2,1989.150,1.443,1988.080,16.05,1.21,0.00,SL-WIN
2024.02.14 13:21,S,E1,1989.649,2.252,1991.901,-33.77,0.00,0.00,SL-LOSS
2024.02.20 13:44,L,E4,2029.539,2.618,2028.285,-18.81,0.47,0.00,EA
2024.02.21 00:05,S,E1,2023.227,0.831,2024.058,-12.47,0.31,0.00,SL-LOSS
2024.02.21 05:47,L,E2,2031.819,0.962,2031.239,-8.70,0.20,0.00,EA
2024.02.21 13:16,L,E2,2031.439,1.561,2029.878,-23.41,0.00,0.00,SL-LOSS
2024.02.22 06:13,L,E2,2030.058,1.152,2029.150,-13.62,0.19,0.00,EA
2024.02.22 07:10,L,E1,2030.399,1.390,2032.573,32.61,1.24,0.00,TP
2024.02.27 01:11,L,E1,2032.406,1.252,2034.530,31.85,1.56,0.00,TP
2024.02.27 02:41,L,E4,2034.599,0.910,2033.689,-13.65,0.00,0.00,SL-LOSS
2024.02.27 02:38,L,E2,2034.422,0.910,2033.539,-13.25,0.06,0.00,EA
2024.02.27 07:20,L,E1,2034.537,0.852,2035.790,18.80,1.14,0.00,TP
2024.02.27 08:27,L,E2,2037.388,1.312,2039.112,25.86,1.07,0.00,TP
2024.02.28 06:50,S,E4,2029.786,0.792,2029.180,9.46,1.39,0.00,SL-WIN
2024.02.29 01:38,L,E4,2035.854,0.958,2035.978,1.86,1.12,0.00,EA
2024.02.29 01:45,L,E1,2036.264,1.297,2035.462,-12.03,0.51,0.00,EA
2024.03.01 06:13,L,E1,2046.643,1.275,2046.710,1.01,0.97,0.00,SL-WIN
2024.03.05 08:32,L,E2,2121.771,2.065,2121.108,-9.95,0.68,0.00,EA
2024.03.05 13:48,L,E1,2131.101,6.136,2124.965,-92.04,0.00,0.00,SL-LOSS
2024.03.14 01:00,L,E1,2176.442,1.499,2174.943,-22.49,0.25,0.00,SL-LOSS
2024.03.14 12:19,S,E2,2165.683,2.172,2167.855,-32.58,0.00,0.00,SL-LOSS
2024.03.15 03:25,L,E4,2163.745,1.304,2164.186,6.62,0.38,0.00,EA
2024.03.15 05:50,L,E1,2167.648,1.902,2167.750,1.53,1.13,0.00,SL-WIN
2024.03.18 07:28,L,E4,2150.577,1.556,2149.640,-14.06,0.00,0.00,EA
2024.03.19 08:14,S,E4,2152.700,2.212,2148.746,59.32,1.12,0.00,TP
2024.03.19 13:48,S,E4,2150.899,3.077,2153.211,-34.68,0.67,0.00,EA
2024.03.21 13:19,S,E4,2202.378,3.215,2200.300,34.05,1.29,0.00,SL-WIN
2024.03.22 13:50,L,E4,2179.236,3.847,2175.389,-57.70,0.06,0.00,SL-LOSS
2024.03.28 05:40,L,E1,2196.163,1.410,2198.387,33.36,1.23,0.00,TP
2024.03.28 12:13,L,E4,2214.627,4.222,2211.362,-48.97,0.13,0.00,EA
2024.04.03 03:14,L,E2,2285.808,2.084,2285.920,1.68,0.89,0.00,SL-WIN
2024.04.03 06:05,L,E1,2284.742,1.006,2283.736,-15.09,0.00,0.00,SL-LOSS
2024.04.05 06:07,L,E4,2282.256,2.789,2279.467,-41.83,0.24,0.00,SL-LOSS
2024.04.09 05:07,L,E2,2346.100,1.881,2345.477,-9.35,0.00,0.00,EA
2024.04.09 07:13,L,E4,2347.764,2.191,2352.475,70.67,0.91,0.00,TP
2024.04.11 08:10,S,E1,2335.081,3.801,2327.905,107.64,1.74,0.00,TP
2024.04.12 00:53,L,E2,2378.886,1.859,2377.027,-27.89,0.01,0.00,SL-LOSS
2024.04.12 14:16,L,E2,2417.371,9.103,2427.084,82.43,1.01,0.00,TP
2024.04.17 05:20,S,E1,2380.331,1.892,2376.731,54.00,1.26,0.00,TP
2024.04.18 08:08,L,E1,2379.020,2.842,2379.413,5.90,0.52,0.00,EA
2024.04.22 12:48,S,E1,2341.036,6.140,2340.700,5.04,1.02,0.00,SL-WIN
2024.04.24 09:20,S,E4,2315.096,2.407,2312.645,36.77,1.07,0.00,EA
2024.04.26 05:52,L,E2,2338.570,2.253,2339.970,21.00,1.06,0.00,SL-WIN
2024.04.26 05:54,L,E1,2337.990,2.597,2338.130,2.10,1.14,0.00,SL-WIN
2024.04.26 13:43,S,E4,2340.064,5.376,2343.270,-48.09,0.51,0.00,EA
2024.04.29 07:34,L,E4,2336.389,3.354,2334.981,-21.12,0.41,0.00,EA
2024.04.30 06:08,S,E4,2319.885,2.774,2322.659,-41.62,0.10,0.00,SL-LOSS
2024.05.01 03:25,S,E1,2285.918,1.940,2286.883,-14.47,0.00,0.00,EA
2024.05.02 05:08,S,E4,2316.707,1.276,2316.640,1.01,1.11,0.00,SL-WIN
2024.05.02 06:04,S,E4,2313.478,1.817,2315.295,-27.25,0.00,0.00,SL-LOSS
2024.05.03 01:08,L,E4,2305.366,1.649,2303.717,-24.73,0.19,0.00,SL-LOSS
2024.05.03 01:34,L,E1,2305.775,2.130,2303.646,-31.94,0.05,0.00,SL-LOSS
2024.05.06 05:10,L,E4,2311.936,2.009,2312.050,1.71,1.09,0.00,SL-WIN
2024.05.06 07:27,L,E2,2315.588,2.582,2317.710,33.02,1.27,0.00,SL-WIN
2024.05.10 05:47,L,E2,2357.573,2.763,2356.311,-18.93,0.37,0.00,EA
2024.05.13 01:19,S,E1,2359.455,3.537,2359.260,2.92,1.04,0.00,SL-WIN
