   RR | window     n   win%      PF      net      dd  exits
  3.2 |  train   172   47.7   1.278     1521     684  EA:89;SL-LOSS:41;SL-WIN:23;TP:19
  3.2 |    oos    50   46.0   0.884     -217     930  EA:26;SL-LOSS:10;SL-WIN:11;TP:3
  3.2 |   full   222   47.3   1.179     1350    1114  EA:115;SL-LOSS:51;SL-WIN:34;TP:22
      | full perq: 2024Q1:174;2024Q2:436;2024Q3:56;2024Q4:348;2025Q1:-162;2025Q2:759;2025Q3:-90;2025Q4:20;2026Q1:-125;2026Q2:-67
  4.0 |  train   172   47.7   1.264     1421     631  EA:96;SL-LOSS:41;SL-WIN:22;TP:13
  4.0 |    oos    50   46.0   0.839     -300    1155  EA:28;SL-LOSS:10;SL-WIN:10;TP:2
  4.0 |   full   222   47.3   1.154     1146    1273  EA:124;SL-LOSS:51;SL-WIN:32;TP:15
      | full perq: 2024Q1:55;2024Q2:300;2024Q3:57;2024Q4:346;2025Q1:-111;2025Q2:765;2025Q3:9;2025Q4:158;2026Q1:-442;2026Q2:9
  4.5 |  train   172   47.7   1.305     1654     622  EA:96;SL-LOSS:41;SL-WIN:22;TP:13
  4.5 |    oos    50   46.0   0.816     -343    1240  EA:28;SL-LOSS:10;SL-WIN:10;TP:2
  4.5 |   full   222   47.3   1.178     1334    1371  EA:124;SL-LOSS:51;SL-WIN:32;TP:15
      | full perq: 2024Q1:55;2024Q2:317;2024Q3:57;2024Q4:353;2025Q1:-71;2025Q2:834;2025Q3:109;2025Q4:184;2026Q1:-534;2026Q2:30
  5.0 |  train   172   47.7   1.321     1735     627  EA:97;SL-LOSS:41;SL-WIN:22;TP:12
  5.0 |    oos    50   46.0   0.841     -298    1240  EA:30;SL-LOSS:10;SL-WIN:9;TP:1
  5.0 |   full   222   47.3   1.196     1474    1382  EA:127;SL-LOSS:51;SL-WIN:31;TP:13
      | full perq: 2024Q1:55;2024Q2:211;2024Q3:57;2024Q4:349;2025Q1:-17;2025Q2:926;2025Q3:154;2025Q4:243;2026Q1:-534;2026Q2:30
  5.5 |  train   172   47.7   1.357     1939     636  EA:99;SL-LOSS:41;SL-WIN:22;TP:10
  5.5 |    oos    50   46.0   0.813     -350    1240  EA:31;SL-LOSS:10;SL-WIN:8;TP:1
  5.5 |   full   222   47.3   1.218     1646    1391  EA:130;SL-LOSS:51;SL-WIN:30;TP:11
      | full perq: 2024Q1:55;2024Q2:244;2024Q3:57;2024Q4:349;2025Q1:-21;2025Q2:1073;2025Q3:181;2025Q4:190;2026Q1:-534;2026Q2:52
  6.0 |  train   172   47.7   1.345     1873     636  EA:101;SL-LOSS:41;SL-WIN:22;TP:8
  6.0 |    oos    50   46.0   0.831     -318    1240  EA:31;SL-LOSS:10;SL-WIN:8;TP:1
  6.0 |   full   222   47.3   1.216     1630    1391  EA:132;SL-LOSS:51;SL-WIN:30;TP:9
      | full perq: 2024Q1:55;2024Q2:312;2024Q3:57;2024Q4:346;2025Q1:-25;2025Q2:927;2025Q3:202;2025Q4:239;2026Q1:-534;2026Q2:52
