ts_ms,dt,bar,interesting,armed_dir,up_age,dn_age,aligned_bull,aligned_bear,price,ema25,ema200,atr_m1,adx_m1,min_adx,adx_pass,trend_quality,tq_pass,htf_block_long,htf_block_short,sideway_block,price_ok,in_session,detected,det_long,gate,atr_pctile,min_entry_pctile,atr_pctile_low,atr_pctile_high,min_entry_block,is_high_risk,potential_loss_usd,entry_max_loss,opposing_pos,entrytype_blocked,final_decision,ema75,ema100,m1_diplus,m1_diminus,m5_adx,m5_diplus,m5_diminus,m15_adx,m15_diplus,m15_diminus
1740959940000,2025.03.02 23:59,410241,1,1,0,-1,1,0,2870.82300,2868.84994,2860.36851,1.53621,31.121,18.000,1,8,1,0,1,0,1,1,1,1,fired,65.63,70.00,20.00,90.00,1,1,160.18,100.00,0,0,HIGH_RISK_ROUTE,2867.07788,2865.35708,33.475,9.563,30.625,25.085,16.127,43.236,26.566,15.458
1740965400000,2025.03.03 01:30,410332,1,1,0,-1,1,0,2871.77700,2868.55125,2865.22376,1.08550,30.550,18.000,1,8,1,0,0,0,1,1,1,1,fired,9.38,70.00,20.00,90.00,1,1,101.66,100.00,0,0,HIGH_RISK_ROUTE,2868.14300,2867.80070,39.859,8.925,24.848,13.013,10.783,26.627,16.342,16.062
1740972420000,2025.03.03 03:27,410449,1,-1,-1,0,0,1,2861.91600,2863.56659,2867.08002,0.99271,39.989,18.000,1,7,1,1,0,0,1,1,1,0,fired,46.88,70.00,20.00,90.00,1,0,80.82,100.00,0,0,BLOCK:min_entry_pctile,2866.38275,2867.03190,13.988,19.979,50.902,3.652,38.592,22.946,9.208,27.782
1740979440000,2025.03.03 05:24,410566,1,1,0,-1,1,0,2866.56000,2866.81786,2866.17730,0.42650,25.504,18.000,1,0,0,1,0,0,0,1,0,0,price,46.88,70.00,20.00,90.00,1,0,0.00,0.00,0,0,NOT_DETECTED:price,2866.37174,2866.24081,14.897,19.235,19.585,18.947,23.784,22.206,22.295,26.913
1740979620000,2025.03.03 05:27,410569,1,1,3,-1,1,0,2866.40000,2866.71589,2866.18255,0.46314,21.539,18.000,1,0,0,1,0,1,0,1,0,0,sideway,71.88,70.00,20.00,90.00,0,0,0.00,0.00,0,0,NOT_DETECTED:sideway,2866.36964,2866.24716,11.098,17.178,19.585,18.947,23.784,22.206,22.295,26.913
1740979680000,2025.03.03 05:28,410570,1,1,4,-1,1,0,2865.62100,2866.69159,2866.18480,0.51029,24.026,18.000,1,0,0,1,0,0,0,1,0,0,price,96.88,70.00,20.00,90.00,0,0,0.00,0.00,0,0,NOT_DETECTED:price,2866.37048,2866.25028,9.619,22.543,19.585,18.947,23.784,22.206,22.295,26.913
1740979740000,2025.03.03 05:29,410571,1,1,5,-1,1,0,2865.83400,2866.60924,2866.17896,0.52086,26.874,18.000,1,0,0,1,0,0,0,1,0,0,price,93.75,70.00,20.00,90.00,0,0,0.00,0.00,0,0,NOT_DETECTED:price,2866.34967,2866.23744,8.336,22.194,20.106,16.421,26.505,21.092,19.322,25.535
1740979800000,2025.03.03 05:30,410572,1,1,6,-1,1,0,2865.39300,2866.54961,2866.17539,0.57750,25.813,18.000,1,0,0,1,0,0,0,1,0,0,price,96.88,70.00,20.00,90.00,0,0,0.00,0.00,0,0,NOT_DETECTED:price,2866.33534,2866.22921,13.115,19.235,20.106,16.421,26.505,21.092,19.322,25.535
1740979860000,2025.03.03 05:31,410573,1,1,7,-1,1,0,2864.72500,2866.46064,2866.16728,0.60871,28.039,18.000,1,0,0,1,0,0,0,1,0,0,price,96.88,70.00,20.00,90.00,0,0,0.00,0.00,0,0,NOT_DETECTED:price,2866.30917,2866.21214,11.367,28.175,20.106,16.421,26.505,21.092,19.322,25.535
1740979920000,2025.03.03 05:32,410574,1,1,8,-1,1,0,2864.27500,2866.32713,2866.15233,0.61871,32.115,18.000,1,0,0,1,0,0,0,1,0,0,price,93.75,70.00,20.00,90.00,0,0,0.00,0.00,0,0,NOT_DETECTED:price,2866.26516,2866.18179,9.851,37.752,20.106,16.421,26.505,21.092,19.322,25.535
