entryTimeUTC,dir,kind,entry,riskPrice,exitPrice,realizedUsd,mfeR,maeR,exitTag
2025.03.03 07:18,S,E5,2862.138,2.717,2862.398,-3.90,0.69,0.67,EA
2025.03.04 00:17,L,E5,2893.694,2.999,2890.688,-45.09,0.02,0.99,SL-LOSS
2025.03.04 06:28,S,E5,2887.166,2.919,2890.111,-44.18,0.91,1.00,SL-LOSS
2025.03.05 12:00,S,E5,2913.425,2.474,2915.919,-37.41,0.42,0.99,SL-LOSS
2025.03.06 01:01,S,E5,2917.519,1.258,2918.119,-9.00,0.37,0.42,EA
2025.03.06 07:33,S,E5,2915.609,4.400,2909.027,76.13,1.47,0.22,TP
2025.03.07 13:23,S,E5,2913.098,6.472,2920.213,-106.73,0.42,0.88,SL-LOSS
2025.03.07 14:56,L,E5,2927.018,8.927,2926.658,-3.96,0.21,0.04,EA
2025.03.10 01:09,L,E5,2916.488,2.559,2915.884,-9.06,0.72,0.59,EA
2025.03.10 05:21,S,E1,2908.947,1.902,2910.867,-28.80,0.99,0.99,SL-LOSS
2025.03.10 13:11,L,E5,2908.097,3.554,2906.649,-21.72,0.00,0.48,EA
2025.03.10 13:38,S,E5,2900.474,4.281,2901.316,-12.63,0.14,0.51,EA
2025.03.14 01:13,L,E2,2990.310,4.490,2986.813,-52.45,0.00,0.86,EA
2025.03.14 07:12,S,E5,2982.048,3.613,2985.667,-54.29,0.31,0.99,SL-LOSS
2025.03.17 02:43,S,E5,2988.368,1.649,2987.399,17.24,1.12,0.46,SL-WIN
2025.03.18 00:26,L,E5,3002.881,2.308,3001.570,-19.67,0.29,0.60,EA
2025.03.18 06:07,L,E2,3016.612,3.054,3014.126,-37.29,0.22,0.94,EA
2025.03.18 13:54,L,E5,3035.795,5.923,3029.871,-88.86,0.26,1.00,SL-LOSS
2025.03.20 01:15,L,E1,3054.857,4.031,3050.804,-60.80,0.34,0.99,SL-LOSS
2025.03.20 06:38,S,E5,3046.550,3.187,3049.763,-48.20,0.00,1.00,SL-LOSS
2025.03.21 12:01,L,E5,3034.751,3.003,3036.390,31.04,1.10,0.10,SL-WIN
2025.03.24 00:56,S,E5,3017.861,5.474,3023.338,-82.15,0.12,1.00,SL-LOSS
2025.03.24 13:43,S,E5,3023.284,2.771,3019.308,59.64,1.41,0.08,TP
2025.03.27 07:53,L,E2,3035.213,2.550,3035.335,1.83,1.12,0.34,SL-WIN
2025.03.28 05:25,L,E2,3075.553,1.616,3077.070,22.75,1.55,0.30,SL-WIN
2025.03.31 01:39,L,E5,3091.476,6.036,3100.377,66.01,1.43,0.22,TP
2025.03.31 07:19,L,E2,3124.664,5.058,3122.048,-39.24,0.16,0.67,EA
2025.03.31 13:38,S,E5,3111.938,7.809,3103.584,86.65,1.04,0.04,TP
2025.04.04 07:36,S,E1,3096.866,6.658,3084.108,191.37,1.91,0.11,TP
2025.04.07 05:05,L,E5,3031.973,5.211,3030.263,-25.65,0.31,0.41,EA
2025.04.08 12:00,L,E5,3017.592,8.992,3011.372,-68.42,0.21,0.75,EA
2025.04.09 00:14,S,E5,2977.600,3.626,2981.232,-54.48,0.51,0.99,SL-LOSS
2025.04.09 06:25,L,E2,3030.703,9.503,3030.354,-3.49,0.53,0.34,EA
2025.04.14 07:55,S,E5,3226.428,4.300,3227.673,-18.68,0.36,0.69,EA
2025.04.15 03:01,L,E2,3226.111,3.036,3225.110,-15.02,0.66,0.53,EA
2025.04.16 03:30,L,E1,3275.982,5.775,3276.291,4.64,1.35,0.17,SL-WIN
2025.04.16 05:00,L,E1,3283.838,7.083,3289.064,65.70,1.12,0.03,SL-WIN
2025.04.21 00:04,L,E2,3353.250,4.799,3360.853,114.05,1.58,0.19,TP
2025.04.21 08:50,L,E5,3391.981,4.613,3394.360,30.44,1.00,0.04,SL-WIN
2025.04.21 13:45,L,E1,3416.989,11.281,3421.280,38.62,0.87,0.20,SL-WIN
2025.04.22 05:45,L,E1,3488.262,8.287,3491.581,47.25,0.88,0.07,SL-WIN
2025.04.23 08:16,S,E1,3307.515,7.239,3314.760,-101.43,0.04,1.00,SL-LOSS
2025.04.24 00:00,L,E5,3316.637,11.777,3321.895,46.21,0.71,0.28,SL-WIN
2025.04.25 00:18,L,E5,3359.712,8.327,3351.362,-100.20,0.20,0.99,SL-LOSS
2025.04.25 08:07,S,E5,3303.200,7.192,3295.980,81.65,0.99,0.02,TP
2025.04.25 08:09,S,E1,3300.816,5.975,3300.522,4.41,1.46,0.00,SL-WIN
2025.04.28 01:29,S,E5,3292.937,15.131,3283.721,51.90,0.90,0.06,SL-WIN
2025.04.29 09:04,S,E5,3313.795,4.151,3311.485,28.82,1.21,0.28,SL-WIN
2025.04.29 13:56,S,E5,3305.434,6.776,3309.451,-56.23,0.26,0.82,EA
2025.05.02 00:08,L,E5,3239.314,4.512,3241.649,49.31,1.10,0.48,SL-WIN
2025.05.02 01:45,S,E5,3233.864,1.852,3235.806,-29.13,0.37,1.00,SL-LOSS
2025.05.05 05:41,L,E2,3261.365,3.410,3257.950,-51.23,0.09,0.99,SL-LOSS
2025.05.06 05:43,S,E5,3353.533,6.161,3359.702,-92.53,0.53,0.98,SL-LOSS
2025.05.07 00:26,S,E5,3387.517,12.434,3381.303,52.66,0.90,0.06,SL-WIN
2025.05.12 00:42,S,E5,3275.556,16.094,3259.706,75.03,0.98,0.42,TP
2025.05.15 00:19,L,E5,3185.434,2.972,3182.440,-26.95,0.26,1.00,SL-LOSS
2025.05.16 07:07,S,E5,3212.215,6.551,3205.736,79.02,0.99,0.90,TP
2025.05.16 12:00,S,E5,3163.173,26.262,3168.462,-21.16,0.31,0.29,EA
2025.05.20 00:17,S,E5,3219.377,6.616,3225.998,-99.31,0.78,1.00,SL-LOSS
2025.05.20 02:11,S,E1,3214.306,6.648,3213.958,5.22,1.45,0.45,SL-WIN
2025.05.21 00:31,L,E2,3298.727,4.061,3301.750,45.34,1.37,0.21,SL-WIN
2025.05.21 00:32,L,E5,3298.784,6.456,3307.960,137.64,1.41,0.00,TP
2025.05.23 00:16,L,E5,3301.404,4.282,3303.214,40.79,1.03,0.23,SL-WIN
2025.05.23 07:49,L,E2,3333.239,3.909,3331.439,-27.00,0.18,0.62,EA
2025.05.26 00:00,S,E5,3342.795,8.668,3334.167,78.09,0.99,0.41,TP
2025.05.26 06:33,S,E5,3341.078,5.840,3337.095,77.38,1.19,0.50,SL-WIN
