entryTimeUTC,dir,kind,entry,riskPrice,exitPrice,realizedUsd,mfeR,maeR,exitTag
2025.03.05 05:56,L,E4,2917.033,2.564,2919.243,36.03,1.81,0.17,SL-WIN
2025.03.10 05:22,S,E4,2908.648,1.679,2909.574,-13.89,0.94,0.83,EA
2025.03.12 00:40,S,E4,2912.969,1.293,2914.283,-19.71,0.56,0.99,SL-LOSS
2025.03.18 06:07,L,E4,3016.612,3.054,3014.126,-37.29,0.22,0.94,EA
2025.03.31 12:14,L,E4,3122.756,3.433,3122.297,-6.88,0.31,0.93,EA
2025.04.03 02:32,S,E4,3148.627,4.102,3148.486,2.12,0.93,0.43,SL-WIN
2025.04.15 03:01,L,E4,3226.111,3.036,3225.110,-15.02,0.66,0.53,EA
2025.04.17 07:13,S,E4,3322.913,6.071,3322.606,4.61,1.40,0.06,SL-WIN
2025.04.21 00:04,L,E4,3353.250,4.799,3364.835,161.90,2.39,0.19,TP
2025.04.25 05:35,S,E4,3313.267,5.478,3318.792,-82.87,0.09,0.99,SL-LOSS
2025.04.25 08:10,S,E4,3300.021,5.183,3299.765,3.84,1.54,0.11,SL-WIN
2025.04.29 12:01,S,E4,3307.667,4.788,3309.613,-29.19,0.33,0.56,EA
2025.04.30 02:10,S,E4,3307.708,5.107,3312.821,-76.70,0.00,1.00,SL-LOSS
2025.05.01 09:20,S,E4,3228.431,4.735,3224.377,64.29,1.81,0.32,SL-WIN
2025.05.05 01:16,L,E4,3260.071,4.503,3270.554,151.44,2.32,0.79,TP
2025.05.08 13:34,L,E4,3365.320,6.356,3361.322,-59.97,0.68,0.99,EA
2025.05.12 00:43,S,E4,3276.403,6.562,3279.672,-49.03,0.63,0.59,EA
2025.05.14 07:40,L,E4,3237.920,4.712,3235.459,-36.91,0.17,0.73,EA
2025.05.14 12:02,S,E4,3218.153,4.947,3213.986,62.51,1.92,0.91,EA
2025.05.15 05:46,S,E4,3132.509,5.507,3126.454,93.55,2.13,0.69,SL-WIN
2025.05.20 02:11,S,E4,3214.306,5.699,3209.482,76.47,1.69,0.53,SL-WIN
2025.05.23 07:49,L,E4,3333.239,3.909,3331.439,-27.00,0.18,0.62,EA
2025.06.03 05:31,S,E4,3358.895,3.548,3361.733,-42.57,0.71,0.81,EA
2025.06.09 06:16,L,E4,3317.787,3.470,3322.262,70.42,2.15,0.47,SL-WIN
2025.06.10 05:38,L,E4,3318.322,4.572,3313.727,-68.92,0.18,1.00,SL-LOSS
2025.06.20 08:45,L,E4,3352.548,3.338,3350.063,-37.27,0.00,0.85,EA
2025.06.26 01:59,S,E4,3330.159,3.094,3331.751,-23.88,0.25,0.79,EA
2025.07.01 05:05,L,E4,3324.527,1.623,3328.077,53.25,2.17,0.37,TP
2025.07.04 01:22,L,E4,3333.542,2.535,3330.984,-38.37,0.31,1.00,SL-LOSS
2025.07.07 02:38,S,E4,3309.106,4.162,3308.891,3.22,0.70,0.43,EA
2025.07.14 14:35,S,E4,3347.410,4.437,3343.366,60.66,1.42,0.21,EA
2025.07.16 13:49,S,E4,3323.940,4.683,3327.827,-58.31,0.40,0.92,EA
2025.07.17 00:47,S,E4,3341.439,2.512,3341.306,2.00,1.49,0.35,SL-WIN
2025.07.24 12:52,S,E4,3353.706,5.536,3358.689,-74.75,0.41,0.91,EA
2025.07.25 12:52,S,E4,3337.842,3.352,3341.216,-50.61,0.14,1.00,SL-LOSS
2025.07.29 08:07,L,E4,3323.955,3.372,3326.827,48.29,1.79,0.14,SL-WIN
2025.08.04 07:31,S,E4,3352.149,3.245,3355.431,-49.23,0.00,1.00,SL-LOSS
2025.08.11 09:10,S,E4,3357.452,3.162,3360.658,-48.09,0.95,1.00,SL-LOSS
2025.08.14 12:08,L,E4,3358.254,2.520,3355.653,-39.01,0.06,0.99,SL-LOSS
2025.08.19 14:40,S,E4,3328.549,4.170,3325.601,44.22,1.81,0.15,EA
2025.08.21 01:04,S,E4,3341.457,2.069,3343.550,-31.39,0.25,1.00,SL-LOSS
2025.08.27 07:16,S,E4,3374.479,2.953,3376.538,-30.88,0.07,0.73,EA
2025.08.29 01:05,S,E4,3412.314,2.019,3409.836,39.75,2.09,0.42,SL-WIN
2025.09.11 09:04,S,E4,3623.689,3.517,3615.263,126.39,2.39,0.13,TP
2025.09.22 01:16,L,E4,3695.957,6.443,3691.299,-69.87,0.08,0.83,EA
2025.09.30 03:13,L,E4,3852.794,3.811,3861.771,134.66,2.35,0.12,TP
2025.10.06 13:35,S,E4,3928.377,6.811,3935.203,-102.39,0.16,1.00,SL-LOSS
2025.10.10 03:13,S,E4,3970.925,6.349,3970.583,5.13,1.40,0.56,SL-WIN
2025.10.10 08:07,L,E4,3979.249,6.406,3993.994,221.17,2.30,0.20,TP
2025.10.13 05:19,L,E4,4067.590,6.263,4067.931,5.12,1.70,0.16,SL-WIN
2025.10.14 01:16,L,E4,4140.685,8.686,4141.153,4.21,1.07,0.11,SL-WIN
2025.10.14 05:10,L,E4,4176.219,6.027,4175.777,-6.63,0.58,0.23,EA
2025.11.11 14:21,S,E4,4132.256,5.096,4131.981,4.12,1.75,0.50,SL-WIN
2025.11.12 02:52,S,E4,4118.860,6.845,4125.473,-99.20,0.00,0.97,EA
2025.11.19 01:07,S,E4,4063.452,6.506,4069.971,-97.79,0.37,1.00,SL-LOSS
2025.11.26 05:19,L,E4,4167.693,3.864,4165.092,-39.02,0.26,0.82,EA
2025.11.27 02:55,S,E4,4146.670,5.612,4148.928,-33.87,0.43,0.48,EA
2025.12.04 05:19,S,E4,4193.308,3.071,4193.380,-1.08,1.19,0.00,SL-LOSS
2025.12.05 06:11,L,E4,4226.336,3.842,4224.610,-25.89,0.79,0.65,EA
2025.12.05 13:01,L,E4,4231.450,3.368,4228.055,-50.92,0.14,0.98,SL-LOSS
2025.12.09 08:47,L,E4,4190.863,4.280,4189.735,-16.92,0.02,0.49,EA
2025.12.10 07:56,S,E4,4203.810,2.783,4205.512,-25.53,1.28,0.88,EA
2025.12.23 13:13,L,E4,4493.400,6.041,4488.079,-79.81,0.66,0.98,EA
