entryTimeUTC,dir,kind,entry,riskPrice,exitPrice,realizedUsd,mfeR,maeR,exitTag
2025.03.05 05:56,L,E4,2917.033,2.564,2919.243,36.03,1.81,0.17,SL-WIN
2025.03.10 05:21,S,E1,2908.947,1.902,2910.867,-28.80,0.99,0.99,SL-LOSS
2025.03.14 01:13,L,E2,2990.310,4.490,2986.813,-52.45,0.00,0.86,EA
2025.03.18 06:07,L,E2,3016.612,3.054,3014.126,-37.29,0.22,0.94,EA
2025.03.20 01:15,L,E1,3054.857,4.031,3050.804,-60.80,0.34,0.99,SL-LOSS
2025.03.27 07:53,L,E2,3035.213,2.550,3035.335,1.83,1.12,0.34,SL-WIN
2025.03.28 05:25,L,E2,3075.553,1.616,3077.070,22.75,1.55,0.30,SL-WIN
2025.03.31 07:19,L,E2,3124.664,5.058,3122.048,-39.24,0.16,0.67,EA
2025.03.31 12:14,L,E4,3122.756,3.433,3122.297,-6.88,0.31,0.93,EA
2025.04.04 07:36,S,E1,3096.866,6.658,3084.108,191.37,1.91,0.11,TP
2025.04.09 06:25,L,E2,3030.703,9.503,3030.354,-3.49,0.53,0.34,EA
2025.04.10 14:12,L,E1,3141.786,13.398,3147.247,52.85,0.82,0.13,SL-WIN
2025.04.15 03:01,L,E2,3226.111,3.036,3225.110,-15.02,0.66,0.53,EA
2025.04.16 03:30,L,E1,3275.982,5.775,3276.291,4.64,1.35,0.17,SL-WIN
2025.04.16 05:00,L,E1,3283.838,7.083,3289.064,70.93,1.12,0.03,SL-WIN
2025.04.21 00:04,L,E2,3353.250,4.799,3360.853,114.05,1.58,0.19,TP
2025.04.21 13:45,L,E1,3416.989,11.281,3417.508,4.67,1.18,0.20,SL-WIN
2025.04.22 05:45,L,E1,3488.262,8.287,3491.581,50.56,0.88,0.07,SL-WIN
2025.04.23 08:16,S,E1,3307.515,7.239,3314.760,-101.43,0.04,1.00,SL-LOSS
2025.04.25 08:08,S,E1,3301.655,6.142,3301.318,5.06,1.56,0.04,SL-WIN
2025.05.05 01:16,L,E4,3260.071,4.503,3270.554,151.44,2.32,0.79,TP
2025.05.05 05:41,L,E2,3261.365,3.410,3257.950,-51.23,0.09,0.99,SL-LOSS
2025.05.08 03:21,L,E1,3405.901,6.561,3399.332,-98.54,0.09,1.00,SL-LOSS
2025.05.08 13:34,L,E4,3365.320,6.356,3361.322,-59.97,0.68,0.99,EA
2025.05.12 00:43,S,E2,3276.403,6.562,3279.672,-49.03,0.63,0.59,EA
2025.05.12 00:50,S,E1,3277.133,8.110,3271.576,72.24,1.16,0.65,SL-WIN
2025.05.14 07:40,L,E4,3237.920,4.712,3235.459,-36.91,0.17,0.73,EA
2025.05.20 02:11,S,E1,3214.306,6.648,3213.958,5.22,1.45,0.45,SL-WIN
2025.05.21 00:31,L,E2,3298.727,4.061,3301.750,45.34,1.37,0.21,SL-WIN
2025.05.23 07:49,L,E2,3333.239,3.909,3331.439,-27.00,0.18,0.62,EA
2025.05.27 00:15,L,E1,3349.581,3.293,3346.283,-49.47,0.14,1.00,SL-LOSS
2025.05.27 07:52,S,E2,3296.770,5.900,3302.694,-88.86,0.69,1.00,SL-LOSS
2025.06.09 00:43,S,E2,3305.338,5.201,3301.466,61.11,1.35,0.06,SL-WIN
2025.06.09 06:16,L,E4,3317.787,3.470,3322.262,70.42,2.15,0.47,SL-WIN
2025.06.10 05:38,L,E4,3318.322,4.572,3313.727,-68.92,0.18,1.00,SL-LOSS
2025.06.12 13:37,L,E1,3391.503,8.853,3395.203,51.73,0.85,0.23,SL-WIN
2025.06.18 02:05,S,E1,3376.053,4.796,3375.881,2.58,1.10,0.27,SL-WIN
2025.06.19 03:25,S,E1,3372.403,3.125,3375.531,-46.92,0.82,0.99,SL-LOSS
2025.06.20 08:45,L,E4,3352.548,3.338,3350.063,-37.27,0.00,0.85,EA
2025.07.01 05:05,L,E4,3324.527,1.623,3328.077,53.25,2.17,0.37,TP
2025.07.04 01:22,L,E4,3333.542,2.535,3330.984,-38.37,0.31,1.00,SL-LOSS
2025.07.08 07:05,L,E1,3338.051,3.067,3334.979,-46.08,0.48,0.99,SL-LOSS
2025.07.10 08:51,L,E1,3328.675,3.097,3325.787,-43.32,0.51,0.93,EA
2025.07.11 00:06,L,E1,3326.652,3.398,3332.690,90.57,1.77,0.53,TP
2025.07.17 09:09,S,E1,3329.087,2.842,3331.950,-42.94,0.51,1.00,SL-LOSS
2025.07.24 12:52,S,E2,3353.706,5.536,3358.689,-74.75,0.41,0.91,EA
2025.07.24 12:55,S,E1,3354.502,6.500,3361.018,-97.74,0.00,1.00,SL-LOSS
2025.07.25 12:48,S,E1,3339.212,3.613,3342.832,-54.30,0.63,0.99,SL-LOSS
2025.07.28 00:46,S,E2,3328.589,3.303,3331.906,-49.75,0.25,1.00,SL-LOSS
2025.07.29 08:07,L,E4,3323.955,3.372,3326.827,48.29,1.79,0.14,SL-WIN
2025.07.30 08:11,L,E2,3331.527,2.887,3331.438,-1.34,0.33,0.57,EA
2025.08.14 12:08,L,E4,3358.254,2.520,3355.653,-39.01,0.06,0.99,SL-LOSS
2025.08.19 14:38,S,E2,3329.338,3.805,3323.126,93.18,1.62,0.24,TP
2025.08.22 01:26,S,E1,3337.565,2.254,3333.282,64.25,1.86,0.48,TP
2025.08.26 05:48,L,E1,3376.385,3.354,3373.027,-50.37,0.29,0.99,SL-LOSS
2025.08.27 07:16,S,E2,3374.479,2.953,3376.538,-30.88,0.07,0.73,EA
2025.08.27 12:10,S,E1,3376.197,2.013,3378.223,-30.39,0.08,0.99,SL-LOSS
2025.09.04 06:01,S,E2,3526.121,5.260,3528.352,-33.46,0.29,0.59,EA
2025.09.16 06:45,L,E2,3690.068,3.108,3692.421,35.30,1.34,0.64,SL-WIN
2025.09.17 05:40,S,E1,3677.715,3.808,3670.561,107.31,1.87,0.67,TP
2025.09.22 01:16,L,E2,3695.957,6.443,3691.299,-69.87,0.08,0.83,EA
2025.09.22 03:30,L,E1,3691.578,2.780,3696.682,76.56,1.82,0.20,TP
2025.09.22 05:16,L,E2,3694.399,2.095,3697.236,38.03,1.33,0.08,TP
2025.09.23 01:15,L,E1,3754.805,6.226,3748.576,-93.44,0.53,0.99,SL-LOSS
2025.09.23 05:31,L,E2,3751.083,2.775,3755.466,65.74,1.58,0.10,TP
2025.09.24 03:07,S,E1,3752.931,4.680,3757.642,-70.66,0.00,0.99,SL-LOSS
2025.09.26 06:15,L,E1,3751.690,5.809,3745.873,-87.25,0.43,1.00,SL-LOSS
2025.09.30 03:13,L,E2,3852.794,3.811,3858.672,88.17,1.52,0.12,TP
2025.09.30 05:20,L,E4,3869.305,3.967,3865.334,-59.57,0.18,0.99,SL-LOSS
2025.10.09 12:55,L,E2,4050.046,5.689,4054.079,60.50,1.31,0.24,SL-WIN
2025.10.10 03:00,S,E1,3978.592,5.701,3968.043,158.23,1.84,0.15,TP
2025.10.10 08:07,L,E4,3979.249,6.406,3993.994,221.17,2.30,0.20,TP
2025.10.13 05:19,L,E2,4067.590,6.263,4077.072,85.34,1.50,0.16,TP
2025.10.13 05:20,L,E4,4067.433,0.344,4067.678,2.20,31.39,0.00,SL-WIN
2025.10.14 05:10,L,E2,4176.219,6.027,4175.777,-6.63,0.58,0.23,EA
