Timestamp,MagicNumber,EntryType,Status,CurrentPrice,EntryPrice,StopLoss,TakeProfit,LotSize,RiskPips,RewardPips,RR,RawSLPips,BufferedSLPips,ATR_M1,SpreadPips,ADX_M1,DIPlus_M1,DIMinus_M1,ADX_M3,DIPlus_M3,DIMinus_M3,ADX_M5,DIPlus_M5,DIMinus_M5,RSI7_M1,RSI14_M1,RSI21_M1,RSI7_M3,RSI14_M3,RSI21_M3,RSI7_M5,RSI14_M5,RSI21_M5,EMA25_M1,EMA75_M1,EMA100_M1,EMA200_M1,EMA25_M3,EMA75_M3,EMA100_M3,EMA200_M3,EMA25_M5,EMA75_M5,EMA100_M5,EMA200_M5
2026.02.02 00:55,20260202005500942,S-E1,SKIPPED_SELL,4791.53,4791.60,4840.14,4714.49,0.15,4854.3,7710.6,1.59,4854.3,4854.3,1332.1,0.0,52.55,5.29,21.85,29.31,14.19,22.76,23.92,16.98,22.42,39.13,39.80,43.06,38.10,45.29,46.56,40.90,45.21,45.50,4811.14,4810.77,4811.01,4822.94,4811.86,4826.77,4841.24,4898.14,4816.20,4855.45,4881.24,4968.75
2026.02.02 01:10,20260202011000962,S-E4,SKIPPED_SELL,4656.36,4656.12,4734.31,4456.45,0.15,7819.2,19967.1,2.55,7819.2,7819.2,2606.4,0.0,56.58,5.76,39.59,39.39,7.80,33.42,30.34,11.06,35.95,19.28,24.79,28.41,12.77,24.82,30.97,15.26,27.55,32.53,4774.30,4793.95,4798.11,4814.29,4800.92,4820.53,4835.17,4892.11,4809.45,4849.76,4875.48,4963.11
2026.02.02 03:00,20260202030000021,S-E1,SKIPPED_SELL,4711.10,4711.06,4758.13,4626.08,0.15,4707.7,8497.4,1.80,4707.7,4707.7,1176.9,0.0,42.46,11.21,23.60,20.44,15.18,29.14,20.77,14.68,19.24,30.66,35.34,39.94,32.10,42.24,44.53,36.17,42.10,43.01,4737.22,4736.60,4737.97,4753.69,4738.24,4759.39,4776.10,4837.79,4742.58,4790.82,4819.20,4913.26
2026.02.02 03:16,20260202031600021,S-E4,SKIPPED_SELL,4674.05,4673.97,4708.89,4603.90,0.15,3492.3,7007.0,2.01,3492.3,3492.3,1164.1,0.0,29.97,10.26,38.23,25.98,10.87,26.36,21.43,9.55,19.44,17.95,27.78,32.92,18.41,33.01,38.51,26.29,35.60,38.70,4719.76,4728.24,4731.13,4747.55,4731.28,4753.88,4770.37,4831.69,4736.59,4784.67,4812.94,4907.17
2026.02.02 05:31,20260202053100079,S-E1,SKIPPED_SELL,4636.58,4636.75,4673.07,4576.02,0.15,3632.2,6073.1,1.67,3632.2,3632.2,908.1,0.0,20.74,15.01,33.60,20.90,10.47,22.76,23.30,10.27,20.31,19.65,30.77,35.87,22.58,35.31,39.54,29.39,38.66,40.92,4667.25,4673.24,4676.12,4691.34,4675.37,4696.66,4712.34,4772.94,4682.13,4726.88,4754.66,4850.69
2026.02.02 05:38,20260202053800079,S-E4,SKIPPED_SELL,4605.57,4605.62,4642.54,4506.39,0.15,3691.5,9922.8,2.69,3691.5,3691.5,1230.5,0.0,34.09,10.01,36.66,29.53,7.86,27.54,27.37,8.90,29.65,20.74,27.02,31.25,16.60,28.76,34.47,20.76,33.05,37.06,4654.43,4666.89,4670.97,4687.58,4673.45,4694.79,4710.33,4770.66,4680.97,4725.22,4752.88,4848.79
2026.02.02 06:25,20260202062500112,S-E4,SKIPPED_SELL,4460.16,4461.66,4514.06,4335.91,0.15,5239.9,12575.8,2.40,5239.9,5239.9,1746.6,0.0,47.63,6.55,39.65,56.50,5.87,36.36,61.99,4.00,38.63,13.86,24.85,29.20,15.57,21.04,24.98,10.21,19.48,25.41,4534.79,4577.06,4593.89,4634.32,4587.75,4646.21,4668.61,4738.82,4619.73,4688.29,4719.84,4821.86
2026.02.03 01:20,20260203012000518,L-E2,SKIPPED_BUY,4840.70,4840.46,4808.96,4887.60,0.15,3150.3,4713.6,1.50,3150.3,3150.3,1050.1,0.0,42.67,28.95,10.73,27.46,32.91,13.43,33.14,31.03,12.73,69.01,64.53,61.70,69.72,65.47,64.86,70.60,67.91,66.08,4814.49,4800.91,4791.23,4760.57,4795.09,4751.81,4737.67,4715.63,4776.74,4729.75,4719.72,4717.29
2026.02.03 06:20,20260203062000582,L-E2,SKIPPED_BUY,4857.22,4857.03,4840.27,4883.43,0.15,1676.3,2640.1,1.58,1676.3,1676.3,558.8,0.0,66.09,38.90,2.36,28.46,32.30,8.78,23.93,23.79,8.50,95.02,82.25,74.18,83.07,71.46,66.18,76.53,67.80,63.60,4833.21,4826.41,4823.64,4814.60,4823.95,4811.32,4803.51,4777.10,4818.71,4796.89,4784.58,4760.37
2026.02.03 06:29,20260203062900597,L-E4,SKIPPED_BUY,4874.49,4874.54,4855.99,4919.07,0.15,1855.4,4452.9,2.40,1855.4,1855.4,618.5,0.0,65.10,46.28,7.08,42.26,36.04,5.74,28.12,25.62,7.37,87.66,81.58,76.47,88.11,77.08,70.88,83.14,72.87,67.40,4846.53,4833.60,4829.53,4818.51,4829.26,4814.35,4806.22,4779.30,4820.61,4798.18,4785.78,4761.23
2026.02.03 07:26,20260203072600610,L-E4,SKIPPED_BUY,4900.17,4900.09,4883.52,4939.84,0.15,1656.3,3975.2,2.40,1656.3,1656.3,552.1,0.0,33.51,28.68,7.78,41.81,21.22,7.50,52.47,22.17,7.17,78.66,68.10,64.66,70.20,67.23,65.91,72.32,69.74,67.07,4884.24,4872.79,4865.98,4846.80,4870.42,4841.69,4830.15,4797.33,4856.51,4820.90,4805.81,4774.82
2026.02.03 08:20,20260203082000620,L-E2,SKIPPED_BUY,4939.70,4939.77,4922.15,4964.18,0.15,1761.6,2441.6,1.39,1761.6,1761.6,587.2,0.0,35.81,32.52,10.50,34.63,35.69,14.08,43.72,31.19,12.92,76.88,67.43,63.96,75.88,71.21,69.39,74.31,71.41,69.29,4921.78,4909.22,4901.54,4877.55,4903.74,4870.07,4855.80,4817.03,4890.24,4845.42,4827.51,4789.72
2026.02.04 00:05,20260204000500802,L-E4,SKIPPED_BUY,4957.47,4957.40,4941.01,4994.77,0.15,1639.1,3737.1,2.28,1639.1,1639.1,546.4,0.0,34.40,24.50,9.65,38.39,28.08,8.51,24.49,24.21,8.85,69.56,62.59,59.24,68.79,58.97,56.06,66.67,58.64,56.05,4946.60,4943.08,4942.42,4940.13,4941.48,4939.14,4937.76,4929.42,4939.79,4935.89,4932.37,4909.82
2026.02.04 00:16,20260204001600802,L-E2,SKIPPED_BUY,4988.23,4988.29,4973.01,5011.15,0.15,1527.9,2286.1,1.50,1527.9,1527.9,509.3,0.0,61.18,49.38,6.41,53.54,46.02,4.80,34.98,39.10,6.65,86.72,78.69,72.60,86.84,71.79,65.37,81.62,69.32,63.91,4958.60,4949.18,4947.17,4942.89,4945.85,4941.05,4939.28,4930.54,4941.68,4936.79,4933.18,4910.70
2026.02.04 02:01,20260204020100829,L-E2,SKIPPED_BUY,5052.49,5052.41,5036.62,5073.20,0.15,1579.1,2079.2,1.32,1579.1,1579.1,526.4,0.0,28.63,39.22,11.12,22.42,19.86,15.09,25.39,19.42,13.85,71.89,63.60,60.82,66.93,64.06,63.40,66.79,66.91,65.78,5037.73,5026.25,5018.38,4995.93,5023.19,4990.29,4979.77,4956.61,5007.45,4972.26,4962.01,4930.96
2026.02.04 02:08,20260204020800830,L-E4,SKIPPED_BUY,5064.40,5064.35,5048.18,5096.79,0.15,1616.9,3244.2,2.01,1616.9,1616.9,539.0,0.0,39.19,34.66,14.09,26.93,27.81,11.33,27.59,29.33,12.00,74.87,67.95,64.56,70.64,66.62,65.28,72.18,69.87,67.94,5045.54,5031.49,5023.37,5000.11,5026.00,4993.13,4982.29,4958.37,5009.74,4974.06,4963.54,4932.07
2026.02.04 07:01,20260204070100864,L-E1,SKIPPED_BUY,5078.34,5078.24,5065.13,5100.16,0.15,1310.9,2191.8,1.67,1310.9,1310.9,327.7,0.0,33.85,26.70,10.50,30.29,16.66,11.38,30.03,20.50,9.16,68.34,64.45,60.65,68.45,58.75,55.93,63.60,56.76,56.37,5071.53,5070.09,5070.33,5066.80,5069.87,5064.90,5057.57,5028.30,5069.72,5050.52,5036.87,4993.85
2026.02.04 07:25,20260204072500866,L-E1,SKIPPED_BUY,5081.22,5081.26,5069.65,5100.69,0.15,1161.9,1942.7,1.67,1161.9,1161.9,290.5,0.0,37.82,50.94,8.38,22.07,22.48,11.79,21.92,22.84,13.77,83.55,69.85,63.82,72.68,61.81,57.98,65.75,58.36,57.06,5069.36,5069.48,5069.76,5067.26,5069.25,5065.74,5059.32,5031.57,5069.57,5053.03,5040.08,4997.70
