entryTimeUTC,dir,kind,entry,riskPrice,exitPrice,realizedUsd,mfeR,maeR,exitTag
2024.01.04 02:11,L,E5,2043.219,1.664,2043.940,15.80,0.88,0.08,SL-WIN
2024.01.04 06:09,L,E5,2044.845,1.365,2046.535,22.25,1.18,0.38,TP
2024.01.04 12:00,S,E5,2045.173,2.671,2044.952,3.32,0.65,0.21,EA
2024.01.05 08:18,S,E2,2041.913,1.668,2043.338,-21.37,0.00,0.99,EA
2024.01.08 01:51,S,E5,2043.631,1.722,2040.722,33.05,1.66,0.35,TP
2024.01.08 07:11,S,E5,2031.875,2.465,2030.288,30.50,1.29,0.57,SL-WIN
2024.01.09 12:02,S,E5,2034.227,1.152,2034.497,-4.05,0.00,0.58,EA
2024.01.10 01:20,S,E5,2027.876,2.324,2030.206,-34.95,0.00,0.98,SL-LOSS
2024.01.10 01:52,L,E5,2031.718,2.056,2031.682,-0.54,0.56,0.66,EA
2024.01.10 12:51,S,E5,2032.209,2.256,2033.051,-12.63,0.83,0.87,EA
2024.01.12 03:11,L,E2,2035.120,1.246,2034.432,-10.32,0.44,0.61,EA
2024.01.12 07:30,L,E1,2038.098,2.205,2035.755,-35.14,0.58,0.96,SL-LOSS
2024.01.16 05:25,S,E2,2048.242,0.611,2048.855,-9.20,0.09,0.96,SL-LOSS
2024.01.16 08:28,S,E1,2048.103,1.986,2043.713,65.85,2.19,0.15,TP
2024.01.16 12:14,S,E4,2036.017,1.833,2037.876,-27.88,0.16,0.98,SL-LOSS
2024.01.16 13:13,S,E4,2035.955,2.130,2035.913,0.63,2.14,0.14,SL-WIN
2024.01.17 09:16,S,E5,2019.978,2.438,2022.420,-36.63,0.20,0.99,SL-LOSS
2024.01.18 00:56,L,E4,2010.549,1.051,2010.440,-1.64,0.58,0.34,EA
2024.01.18 03:09,S,E5,2006.718,2.672,2008.104,-20.79,0.04,0.97,EA
2024.01.18 05:11,S,E2,2007.098,0.898,2007.050,0.72,1.36,0.20,SL-WIN
2024.01.18 05:26,S,E5,2007.059,1.370,2008.435,-20.64,0.60,1.00,SL-LOSS
2024.01.19 05:26,S,E4,2020.477,0.663,2021.161,-10.26,0.00,0.98,SL-LOSS
2024.01.19 12:05,L,E4,2033.537,1.150,2032.357,-17.70,0.48,1.00,SL-LOSS
2024.01.19 14:47,S,E5,2026.593,6.431,2029.839,-48.69,0.02,0.52,EA
2024.01.22 01:09,L,E5,2030.949,3.157,2028.625,-34.86,0.37,0.71,EA
2024.01.22 03:25,S,E5,2026.837,2.397,2027.098,-3.91,0.31,0.41,EA
2024.01.22 06:17,S,E4,2020.415,1.774,2021.806,-20.86,0.00,0.95,EA
2024.01.22 14:02,S,E5,2022.332,3.029,2019.878,48.03,1.88,0.59,SL-WIN
2024.01.25 01:42,L,E5,2016.967,1.910,2016.059,-13.62,0.19,0.62,EA
2024.01.25 05:26,L,E5,2016.380,0.733,2015.618,-11.43,0.00,0.99,SL-LOSS
2024.01.25 06:18,S,E1,2014.710,1.240,2015.974,-18.96,0.00,0.98,SL-LOSS
2024.01.25 07:10,S,E4,2014.060,1.156,2015.228,-17.52,0.30,0.98,SL-LOSS
2024.01.26 01:04,L,E2,2023.217,1.362,2022.873,-5.16,0.73,0.69,EA
2024.01.26 13:23,L,E1,2023.626,1.600,2022.008,-24.27,0.00,0.99,SL-LOSS
2024.01.26 14:46,S,E5,2019.566,3.142,2020.380,-12.21,0.12,0.43,EA
2024.01.29 13:30,L,E1,2031.438,2.644,2037.525,91.31,2.28,0.09,TP
2024.01.30 06:12,L,E1,2033.948,1.571,2033.972,0.36,1.31,0.26,SL-WIN
2024.01.30 07:34,L,E2,2036.708,1.399,2038.807,31.49,1.47,0.10,TP
2024.01.31 06:09,L,E5,2035.503,1.548,2034.405,-9.88,0.03,0.95,EA
