entryTimeUTC,dir,kind,entry,riskPrice,exitPrice,realizedUsd,mfeR,maeR,exitTag
2024.01.02 07:09,L,E2,2075.961,1.966,2074.992,-14.53,0.24,0.00,EA
2024.01.02 14:49,S,E1,2066.423,3.900,2070.323,-58.50,0.11,0.00,SL-LOSS
2024.01.04 14:50,S,E2,2036.538,2.492,2039.030,-37.38,0.08,0.00,SL-LOSS
2024.01.05 01:15,L,E1,2047.185,1.952,2045.233,-29.27,0.56,0.00,SL-LOSS
2024.01.08 01:42,S,E1,2043.555,1.887,2040.344,47.24,1.72,0.00,TP
2024.01.08 07:25,S,E2,2030.208,1.680,2031.888,-25.20,0.90,0.00,SL-LOSS
2024.01.09 06:45,L,E1,2034.520,2.295,2032.225,-34.43,0.07,0.00,SL-LOSS
2024.01.10 01:09,S,E1,2028.893,1.504,2030.397,-22.56,1.00,0.00,SL-LOSS
2024.01.10 14:46,S,E1,2028.196,3.577,2027.124,16.08,0.47,0.00,EA
2024.01.11 01:49,L,E1,2028.705,1.721,2031.655,43.45,1.72,0.00,TP
2024.01.11 06:13,L,E2,2034.479,1.396,2033.083,-20.93,0.40,0.00,SL-LOSS
2024.01.12 05:57,L,E1,2036.171,1.576,2034.595,-23.64,0.62,0.00,SL-LOSS
2024.01.12 13:35,L,E1,2052.444,5.206,2062.129,142.43,1.86,0.00,TP
2024.01.15 05:50,L,E1,2055.452,1.401,2054.051,-21.02,0.00,0.00,SL-LOSS
2024.01.16 02:00,S,E1,2050.878,2.028,2050.658,3.30,0.49,0.00,EA
2024.01.16 07:25,S,E1,2049.036,1.610,2050.646,-24.15,0.45,0.00,SL-LOSS
2024.01.16 08:15,S,E1,2047.801,2.111,2049.912,-31.66,0.10,0.00,SL-LOSS
2024.01.16 08:28,S,E1,2048.103,2.229,2045.325,40.84,1.29,0.00,TP
2024.01.16 12:13,S,E2,2037.359,1.669,2036.483,15.39,0.97,0.00,SL-WIN
2024.01.17 01:16,S,E1,2027.669,1.203,2028.872,-18.04,0.00,0.00,SL-LOSS
2024.01.17 05:16,S,E2,2020.555,1.758,2020.960,-6.07,0.62,0.00,EA
2024.01.17 12:27,L,E1,2027.632,2.481,2025.151,-37.22,0.57,0.00,SL-LOSS
2024.01.18 05:13,S,E2,2006.970,0.868,2006.271,10.96,1.26,0.00,SL-WIN
2024.01.22 01:02,L,E1,2029.411,1.757,2027.654,-26.36,1.54,0.00,SL-LOSS
2024.01.22 06:17,S,E2,2020.415,1.708,2021.806,-20.87,0.00,0.00,EA
2024.01.23 03:27,L,E1,2023.946,1.711,2023.827,-1.78,0.24,0.00,EA
2024.01.24 12:00,L,E1,2033.572,1.935,2031.637,-29.03,1.60,0.00,SL-LOSS
2024.01.25 06:18,S,E1,2014.710,1.210,2015.920,-18.15,0.00,0.00,SL-LOSS
2024.01.25 12:48,S,E1,2014.627,2.027,2016.654,-30.40,0.57,0.00,SL-LOSS
2024.01.29 13:31,L,E2,2032.384,1.894,2034.873,35.40,1.35,0.00,TP
2024.01.29 13:30,L,E1,2031.438,2.297,2035.443,58.94,1.76,0.00,TP
2024.01.30 06:12,L,E1,2033.948,1.480,2035.509,25.04,1.45,0.00,SL-WIN
2024.01.31 07:18,L,E1,2037.004,1.351,2039.197,32.36,1.64,0.00,TP
2024.02.02 05:41,L,E2,2056.504,1.139,2055.692,-12.18,0.00,0.00,EA
2024.02.02 13:30,S,E1,2052.627,2.832,2047.825,71.46,2.30,0.00,TP
2024.02.06 14:45,L,E1,2030.338,3.106,2030.488,2.25,0.87,0.00,EA
2024.02.07 08:17,S,E1,2034.009,1.425,2031.691,34.12,1.65,0.00,TP
2024.02.07 13:41,L,E1,2036.336,2.522,2033.814,-37.83,0.68,0.00,SL-LOSS
2024.02.08 05:02,S,E2,2031.895,0.767,2032.351,-6.84,0.88,0.00,EA
2024.02.09 05:54,S,E1,2032.516,0.883,2033.399,-13.25,0.00,0.00,SL-LOSS
2024.02.09 07:04,L,E2,2034.740,0.897,2033.843,-13.46,0.31,0.00,SL-LOSS
2024.02.09 13:44,S,E1,2028.993,5.930,2024.297,70.44,0.98,0.00,EA
2024.02.14 06:13,S,E1,1991.827,0.838,1992.665,-12.57,0.92,0.00,SL-LOSS
2024.02.14 13:21,S,E1,1989.649,2.229,1991.878,-33.43,0.00,0.00,SL-LOSS
2024.02.14 15:00,S,E1,1987.517,3.712,1986.673,12.66,0.33,0.00,EA
2024.02.15 06:13,L,E1,1992.857,1.085,1991.772,-16.27,0.46,0.00,SL-LOSS
2024.02.15 13:39,L,E1,2001.670,6.237,2004.458,41.82,1.06,0.00,EA
2024.02.20 13:43,L,E2,2029.532,2.078,2029.457,-1.12,0.61,0.00,EA
2024.02.21 05:47,L,E2,2031.819,0.893,2031.239,-8.70,0.50,0.00,EA
2024.02.21 13:16,L,E2,2031.439,1.377,2030.062,-20.66,0.00,0.00,SL-LOSS
2024.02.22 06:13,L,E2,2030.058,0.982,2029.150,-13.62,0.52,0.00,EA
2024.02.22 07:10,L,E1,2030.399,1.409,2032.609,32.53,1.58,0.00,TP
2024.02.22 14:43,S,E2,2022.452,2.411,2024.863,-36.17,0.18,0.00,SL-LOSS
2024.02.23 08:15,S,E1,2020.714,1.618,2018.884,29.14,1.53,0.00,SL-WIN
2024.02.23 12:39,L,E1,2026.765,2.329,2024.637,-31.92,1.06,0.00,EA
2024.02.26 13:36,L,E1,2034.208,2.099,2032.109,-31.48,0.11,0.00,SL-LOSS
2024.02.27 01:11,L,E1,2032.406,1.149,2034.333,28.34,1.71,0.00,TP
2024.02.27 02:38,L,E2,2034.422,0.843,2033.579,-12.65,0.20,0.00,SL-LOSS
2024.02.27 06:40,L,E1,2034.920,1.008,2033.912,-15.12,0.00,0.00,SL-LOSS
2024.02.27 07:20,L,E1,2034.537,1.095,2035.779,19.59,1.53,0.00,SL-WIN
2024.02.27 07:28,L,E2,2035.518,0.937,2035.609,1.36,0.75,0.00,EA
2024.02.27 08:27,L,E2,2037.388,1.176,2038.118,11.98,1.07,0.00,SL-WIN
2024.02.28 03:16,S,E1,2030.584,0.965,2031.376,-11.88,0.66,0.00,EA
2024.02.28 06:48,S,E1,2030.016,0.870,2029.001,16.17,1.57,0.00,SL-WIN
2024.02.29 01:45,L,E1,2036.264,1.254,2035.462,-12.03,0.64,0.00,EA
2024.02.29 07:35,L,E1,2037.295,1.182,2036.113,-17.72,0.49,0.00,SL-LOSS
2024.03.01 07:07,L,E2,2048.084,0.942,2047.142,-14.13,0.76,0.00,SL-LOSS
2024.03.01 08:46,S,E1,2040.123,1.927,2042.050,-28.90,0.48,0.00,SL-LOSS
2024.03.04 05:39,L,E1,2081.995,1.017,2083.559,23.04,1.57,0.00,TP
2024.03.05 00:06,L,E1,2115.671,1.526,2114.145,-22.89,0.79,0.00,SL-LOSS
2024.03.05 07:00,L,E1,2117.345,2.021,2115.324,-30.32,0.21,0.00,SL-LOSS
2024.03.05 08:15,L,E1,2118.789,2.163,2122.386,53.02,1.67,0.00,TP
2024.03.05 13:48,L,E1,2131.101,6.379,2124.722,-95.68,0.00,0.00,SL-LOSS
2024.03.06 07:11,L,E1,2129.947,1.762,2128.185,-26.43,0.88,0.00,SL-LOSS
2024.03.07 12:03,L,E1,2157.149,2.263,2154.886,-33.94,0.18,0.00,SL-LOSS
2024.03.08 01:04,L,E1,2161.176,1.730,2159.446,-25.95,0.00,0.00,SL-LOSS
2024.03.11 05:05,L,E1,2181.418,1.733,2179.685,-26.00,0.13,0.00,SL-LOSS
2024.03.11 09:22,S,E1,2177.225,2.877,2178.167,-14.13,0.31,0.00,EA
2024.03.11 13:36,L,E1,2181.613,3.603,2178.010,-54.05,0.98,0.00,SL-LOSS
2024.03.12 05:37,S,E2,2177.441,0.932,2176.991,7.95,0.93,0.00,SL-WIN
2024.03.12 05:35,S,E1,2177.942,1.116,2176.218,25.42,1.57,0.00,TP
2024.03.14 01:00,L,E1,2176.442,1.492,2174.950,-22.39,0.38,0.00,SL-LOSS
2024.03.15 05:50,L,E1,2167.648,1.892,2165.756,-28.39,1.31,0.00,SL-LOSS
2024.03.15 12:46,S,E1,2158.415,4.196,2162.611,-62.94,0.18,0.00,SL-LOSS
2024.03.18 01:10,S,E1,2153.616,1.898,2150.474,46.27,1.66,0.00,TP
