entryTimeUTC,dir,kind,entry,riskPrice,exitPrice,realizedUsd,mfeR,maeR,exitTag
2024.01.05 08:18,S,E2,2041.913,1.668,2043.338,-21.37,0.00,0.99,EA
2024.01.12 03:11,L,E2,2035.120,1.246,2034.432,-10.32,0.44,0.61,EA
2024.01.12 07:30,L,E1,2038.098,2.205,2035.755,-35.14,0.58,0.96,SL-LOSS
2024.01.12 13:35,L,E1,2052.444,6.001,2055.988,53.16,1.65,0.04,EA
2024.01.16 05:25,S,E2,2048.242,0.611,2048.855,-9.20,0.09,0.96,SL-LOSS
2024.01.16 08:28,S,E1,2048.103,1.986,2043.713,65.85,2.19,0.15,TP
2024.01.18 05:11,S,E2,2007.098,0.898,2007.050,0.72,1.36,0.20,SL-WIN
2024.01.22 14:32,S,E2,2020.040,2.623,2022.682,-39.63,0.03,0.99,SL-LOSS
2024.01.25 06:18,S,E1,2014.710,1.240,2015.974,-18.96,0.00,0.98,SL-LOSS
2024.01.26 01:04,L,E2,2023.217,1.362,2022.873,-5.16,0.73,0.69,EA
2024.01.26 13:23,L,E1,2023.626,1.600,2022.008,-24.27,0.00,0.99,SL-LOSS
2024.01.29 13:30,L,E1,2031.438,2.644,2037.525,91.31,2.28,0.09,TP
2024.01.30 06:12,L,E1,2033.948,1.571,2033.972,0.36,1.31,0.26,SL-WIN
2024.01.30 07:34,L,E2,2036.708,1.399,2038.807,31.49,1.47,0.10,TP
2024.02.05 08:11,S,E2,2025.227,2.043,2023.453,16.96,1.76,0.22,SL-WIN
2024.02.06 07:14,L,E1,2028.409,1.870,2026.521,-28.32,0.31,0.99,SL-LOSS
2024.02.06 14:45,L,E1,2030.338,3.212,2030.634,4.44,0.84,0.08,EA
2024.02.08 05:02,S,E2,2031.895,0.827,2032.351,-6.84,0.81,0.57,EA
2024.02.09 07:19,L,E1,2034.190,1.058,2033.123,-16.00,0.24,0.92,SL-LOSS
2024.02.13 03:20,S,E2,2017.138,0.725,2017.709,-8.57,0.23,0.87,EA
2024.02.14 01:13,S,E1,1991.015,1.359,1990.947,1.02,1.51,0.19,SL-WIN
2024.02.14 08:05,S,E2,1989.118,1.384,1988.105,15.19,1.36,0.40,SL-WIN
2024.02.14 13:21,S,E1,1989.694,2.408,1992.122,-36.42,0.00,0.99,SL-LOSS
2024.02.15 08:16,L,E2,1995.764,1.290,1995.179,-8.77,0.20,0.69,EA
2024.02.21 05:47,L,E2,2031.819,0.935,2031.239,-8.70,0.48,0.87,EA
2024.02.21 13:16,L,E2,2031.485,1.534,2029.951,-23.01,0.00,0.98,SL-LOSS
2024.02.22 06:13,L,E2,2030.058,1.098,2029.150,-13.62,0.46,0.85,EA
2024.02.22 07:10,L,E1,2030.399,1.488,2033.212,42.19,1.76,0.69,TP
2024.02.27 02:38,L,E2,2034.422,0.858,2033.558,-12.96,0.20,1.00,SL-LOSS
2024.02.27 07:20,L,E1,2034.537,0.852,2035.956,21.28,1.59,0.15,TP
2024.02.27 08:27,L,E2,2037.388,1.254,2039.509,31.82,1.61,0.39,TP
2024.02.29 01:45,L,E1,2036.264,1.376,2035.416,-12.72,0.59,0.60,EA
2024.03.05 08:32,L,E2,2121.771,1.960,2121.108,-9.95,0.83,0.76,EA
2024.03.05 13:48,L,E1,2131.138,6.173,2124.915,-93.34,0.00,1.00,SL-LOSS
2024.03.14 01:00,L,E1,2176.442,1.565,2174.842,-24.00,0.36,1.00,SL-LOSS
2024.03.14 12:19,S,E2,2165.683,1.938,2167.621,-29.07,0.00,0.98,SL-LOSS
2024.03.28 05:40,L,E1,2196.163,1.410,2198.690,37.90,1.77,0.09,TP
2024.03.28 12:04,L,E2,2213.059,3.081,2212.381,-10.17,1.27,0.47,EA
2024.04.03 03:14,L,E2,2285.808,1.887,2285.908,1.50,1.15,0.46,SL-WIN
2024.04.09 05:07,L,E2,2346.100,1.817,2345.477,-9.34,0.30,0.52,EA
2024.04.11 08:10,S,E1,2335.081,3.974,2326.656,126.38,2.11,0.06,TP
2024.04.12 00:53,L,E2,2378.886,1.794,2377.071,-27.22,0.15,0.99,SL-LOSS
2024.04.12 14:16,L,E2,2417.371,8.559,2426.593,110.67,1.37,0.66,EA
2024.04.22 12:48,S,E1,2341.036,6.634,2340.706,4.95,1.20,0.09,SL-WIN
2024.04.26 05:52,L,E2,2338.570,2.185,2336.356,-33.21,0.01,0.99,SL-LOSS
2024.04.26 05:54,L,E1,2337.990,2.749,2338.135,2.18,1.16,0.60,SL-WIN
2024.05.01 03:25,S,E1,2285.918,2.103,2282.884,45.51,2.00,0.82,SL-WIN
2024.05.02 13:10,S,E1,2289.771,5.715,2295.515,-86.16,0.63,1.00,SL-LOSS
2024.05.06 07:27,L,E2,2315.620,2.441,2317.663,32.02,1.46,0.83,SL-WIN
2024.05.09 14:10,L,E2,2331.172,4.599,2334.922,60.46,1.70,0.23,SL-WIN
2024.05.10 00:18,L,E1,2347.712,1.841,2350.792,46.20,1.66,0.43,TP
2024.05.10 05:47,L,E2,2357.573,2.506,2356.396,-10.60,0.49,0.74,EA
2024.05.13 06:16,S,E2,2349.865,2.211,2352.099,-33.51,0.32,0.99,SL-LOSS
2024.05.15 07:15,L,E1,2362.204,3.319,2368.523,94.79,1.89,0.22,TP
2024.05.16 01:17,L,E2,2395.357,3.271,2394.453,-13.56,0.61,0.31,EA
2024.05.17 02:57,S,E1,2374.841,3.137,2377.986,-47.17,0.00,1.00,SL-LOSS
2024.05.17 12:49,L,E2,2392.388,2.880,2397.262,73.11,1.68,0.36,TP
2024.05.17 12:51,L,E1,2392.231,3.945,2401.434,138.04,2.33,0.00,TP
2024.05.23 01:09,S,E1,2380.329,1.585,2377.031,49.47,2.06,0.81,TP
