entryTimeUTC,dir,kind,entry,riskPrice,exitPrice,realizedUsd,mfeR,maeR,exitTag
2024.01.25 06:18,S,E1,2014.710,1.240,2015.974,-103.65,0.00,0.98,SL-LOSS
2024.02.06 14:45,L,E1,2030.338,3.212,2030.634,9.77,0.84,0.08,EA
2024.02.14 13:21,S,E1,1989.694,2.408,1992.122,-99.55,0.00,0.99,SL-LOSS
2024.02.22 07:10,L,E1,2030.399,1.488,2031.258,65.29,1.11,0.69,SL-WIN
2024.02.27 07:20,L,E1,2034.537,0.852,2035.671,158.76,1.31,0.15,TP
2024.03.05 13:48,L,E1,2131.138,6.173,2124.915,-105.79,0.00,1.00,SL-LOSS
2024.03.28 05:40,L,E1,2196.163,1.410,2197.748,129.97,1.10,0.09,TP
2024.04.11 08:10,S,E1,2335.081,3.974,2332.793,67.52,1.11,0.06,SL-WIN
2024.04.22 12:48,S,E1,2341.036,6.634,2338.052,55.71,1.20,0.09,SL-WIN
2024.04.26 05:54,L,E1,2337.990,2.749,2339.947,76.32,1.16,0.60,SL-WIN
2024.05.01 03:25,S,E1,2285.918,2.103,2283.161,137.85,1.27,0.82,TP
2024.05.10 00:18,L,E1,2347.712,1.841,2348.343,46.62,0.75,0.19,SL-WIN
2024.05.17 12:51,L,E1,2392.231,3.945,2396.183,119.28,1.60,0.15,SL-WIN
2024.05.23 01:09,S,E1,2380.329,1.585,2378.161,143.08,1.34,0.81,TP
2024.05.27 13:21,L,E1,2350.375,4.688,2354.759,104.47,1.42,0.32,SL-WIN
2024.05.29 05:48,L,E1,2359.465,2.144,2357.285,-115.54,0.13,0.99,SL-LOSS
2024.06.13 02:40,S,E1,2311.793,2.829,2314.651,-105.75,0.30,0.99,SL-LOSS
2024.06.26 05:50,S,E1,2313.346,2.895,2309.838,126.29,1.20,0.46,TP
2024.07.03 06:08,L,E1,2335.068,2.567,2336.775,80.03,1.12,0.84,SL-WIN
2024.07.19 12:00,S,E1,2410.093,3.423,2407.892,76.02,1.18,0.08,SL-WIN
2024.07.31 06:25,L,E1,2420.853,3.511,2422.605,59.11,0.86,0.05,SL-WIN
2024.08.08 06:30,L,E1,2399.065,4.814,2395.727,-76.78,0.33,0.67,EA
2024.08.27 13:20,S,E1,2506.482,4.265,2510.801,-103.65,0.68,1.00,SL-LOSS
2024.08.29 05:32,L,E1,2517.165,2.328,2518.713,74.26,1.20,0.19,SL-WIN
2024.09.13 00:57,L,E1,2560.291,2.386,2562.877,118.95,1.05,0.17,TP
2024.09.26 01:58,L,E1,2661.100,2.516,2658.494,-117.27,0.19,1.00,SL-LOSS
2024.09.26 05:17,L,E1,2662.062,1.693,2662.754,45.67,0.84,0.29,SL-WIN
2024.09.27 07:30,S,E1,2662.272,4.227,2666.534,-110.81,0.29,1.00,SL-LOSS
2024.10.15 00:14,S,E1,2648.898,1.290,2650.188,-101.91,0.62,0.99,SL-LOSS
2024.11.06 09:20,S,E1,2721.958,6.075,2719.161,54.96,0.89,0.37,SL-WIN
2024.11.07 02:35,S,E1,2652.665,4.655,2657.328,-102.59,0.10,1.00,SL-LOSS
2024.11.11 08:25,S,E1,2668.655,3.109,2666.355,75.90,1.33,0.74,SL-WIN
2024.12.02 02:15,S,E1,2632.401,5.930,2630.312,39.10,0.71,0.02,SL-WIN
2024.12.02 06:00,S,E1,2623.194,4.175,2626.664,-90.22,0.29,0.82,EA
2024.12.04 00:45,S,E1,2640.756,1.836,2638.227,139.09,1.36,0.30,TP
2024.12.23 13:26,S,E1,2615.698,2.381,2618.081,-112.00,0.31,1.00,SL-LOSS
2025.01.22 02:55,L,E1,2749.161,2.817,2750.074,37.57,0.69,0.45,SL-WIN
2025.02.10 06:05,L,E1,2881.259,4.148,2886.296,103.29,1.21,0.06,TP
2025.02.12 01:12,S,E1,2894.065,3.717,2891.345,81.60,1.18,0.15,SL-WIN
2025.02.28 05:41,S,E1,2862.805,3.140,2865.954,-113.36,0.01,1.00,SL-LOSS
2025.02.28 13:25,S,E1,2856.881,5.216,2853.102,75.58,1.29,0.44,SL-WIN
2025.03.10 05:21,S,E1,2908.947,2.174,2911.141,-109.70,0.86,1.00,SL-LOSS
2025.03.20 01:15,L,E1,3054.857,4.571,3050.603,-97.84,0.30,0.89,EA
2025.03.26 12:50,L,E1,3029.180,3.752,3025.934,-90.89,0.00,0.86,EA
2025.04.04 07:36,S,E1,3096.866,6.658,3088.540,124.89,1.24,0.11,TP
2025.04.21 13:45,L,E1,3416.989,11.850,3423.752,75.11,1.12,0.19,SL-WIN
2025.04.23 08:16,S,E1,3307.515,8.281,3315.836,-99.85,0.04,1.00,SL-LOSS
2025.05.08 03:21,L,E1,3405.901,6.931,3398.967,-104.01,0.08,0.99,SL-LOSS
2025.05.27 00:15,L,E1,3349.581,3.743,3345.809,-109.39,0.13,1.00,SL-LOSS
2025.06.12 13:37,L,E1,3391.503,10.097,3385.247,-62.56,0.75,0.71,EA
2025.07.03 12:46,S,E1,3314.187,15.021,3329.246,-105.41,0.00,1.00,SL-LOSS
2025.07.08 07:05,L,E1,3338.051,3.498,3334.551,-105.00,0.42,0.99,SL-LOSS
2025.07.11 00:06,L,E1,3326.652,3.398,3330.771,131.81,1.20,0.53,TP
2025.07.24 12:55,S,E1,3354.502,7.426,3361.963,-104.45,0.41,1.00,SL-LOSS
2025.08.08 07:55,L,E1,3403.343,9.129,3397.598,-63.19,0.03,0.66,EA
2025.08.27 12:10,S,E1,3376.197,2.013,3378.223,-99.28,0.08,0.99,SL-LOSS
2025.09.15 00:35,S,E1,3635.953,4.218,3634.374,39.48,0.77,0.28,SL-WIN
2025.09.23 01:15,L,E1,3754.805,7.088,3749.958,-72.71,0.64,0.99,EA
2025.09.26 06:15,L,E1,3751.690,6.614,3745.054,-106.18,0.38,1.00,SL-LOSS
2025.10.15 01:10,L,E1,4179.250,11.178,4182.522,29.45,0.68,0.47,EA
