ts,dir,result,gate,detail
2025.01.02 00:54:00,L,BLOCK,htf_trend,
2025.01.02 00:55:00,L,BLOCK,htf_trend,
2025.01.02 00:56:00,L,BLOCK,htf_trend,
2025.01.02 00:57:00,L,BLOCK,htf_trend,
2025.01.02 00:58:00,L,BLOCK,htf_trend,
2025.01.02 00:59:00,L,BLOCK,htf_trend,
2025.01.02 01:00:00,L,BLOCK,htf_trend,
2025.01.02 01:01:00,L,BLOCK,htf_trend,
2025.01.02 01:02:00,L,BLOCK,htf_trend,
2025.01.02 01:03:00,L,BLOCK,htf_trend,
2025.01.02 01:04:00,L,BLOCK,htf_trend,
2025.01.02 01:05:00,L,BLOCK,htf_trend,
2025.01.02 01:06:00,L,BLOCK,htf_trend,
2025.01.02 01:07:00,L,BLOCK,htf_trend,
2025.01.02 01:08:00,L,BLOCK,htf_trend,
2025.01.02 01:09:00,L,PASS,all,tq=7
2025.01.02 01:53:00,L,BLOCK,price_pos,px=157.515,ema25=157.552
2025.01.02 01:54:00,L,BLOCK,price_pos,px=157.500,ema25=157.549
2025.01.02 01:55:00,L,BLOCK,price_pos,px=157.496,ema25=157.545
2025.01.02 02:01:00,L,BLOCK,trend_strength,adx=17.04,min=19.50
2025.01.02 02:02:00,L,BLOCK,htf_trend,
2025.01.02 02:03:00,L,BLOCK,htf_trend,
2025.01.02 02:04:00,L,BLOCK,htf_trend,
2025.01.02 02:05:00,L,BLOCK,htf_trend,
2025.01.02 02:06:00,L,BLOCK,trend_strength,adx=18.40,min=19.50
2025.01.02 02:07:00,L,BLOCK,trend_strength,adx=19.16,min=19.50
2025.01.02 02:08:00,L,BLOCK,htf_trend,
2025.01.02 02:09:00,L,BLOCK,trend_strength,adx=19.11,min=19.50
2025.01.02 02:10:00,L,BLOCK,htf_trend,
2025.01.02 02:11:00,L,BLOCK,htf_trend,
2025.01.02 02:12:00,L,BLOCK,htf_trend,
2025.01.02 02:13:00,L,BLOCK,htf_trend,
2025.01.02 02:14:00,L,BLOCK,htf_trend,
2025.01.02 02:15:00,L,BLOCK,htf_trend,
2025.01.02 02:16:00,L,BLOCK,htf_trend,
2025.01.02 02:17:00,L,BLOCK,htf_trend,
2025.01.02 02:18:00,L,BLOCK,htf_trend,
2025.01.02 02:19:00,L,BLOCK,htf_trend,
2025.01.02 02:20:00,L,BLOCK,htf_trend,
2025.01.02 02:21:00,L,BLOCK,htf_trend,
2025.01.02 05:27:00,S,BLOCK,htf_trend,
2025.01.02 05:28:00,S,BLOCK,htf_trend,
2025.01.02 05:29:00,S,BLOCK,htf_trend,
2025.01.02 05:30:00,S,BLOCK,htf_trend,
2025.01.02 05:31:00,S,BLOCK,htf_trend,
2025.01.02 05:32:00,S,BLOCK,htf_trend,
2025.01.02 05:33:00,S,BLOCK,htf_trend,
2025.01.02 05:34:00,S,BLOCK,htf_trend,
2025.01.02 05:35:00,S,BLOCK,htf_trend,
2025.01.02 05:36:00,S,BLOCK,htf_trend,
2025.01.02 05:37:00,S,BLOCK,htf_trend,
2025.01.02 05:38:00,S,BLOCK,htf_trend,
2025.01.02 05:39:00,S,BLOCK,htf_trend,
