entryTimeUTC,dir,kind,entry,riskPrice,exitPrice,realizedUsd,mfeR,maeR,exitTag
2025.01.22 02:55,L,E1,2749.161,2.817,2750.074,37.57,0.69,0.45,SL-WIN
2025.02.10 06:05,L,E1,2881.259,4.148,2886.296,101.40,1.21,0.06,TP
2025.02.12 01:12,S,E1,2894.065,3.717,2891.345,76.16,1.18,0.15,SL-WIN
2025.02.28 05:41,S,E1,2862.805,3.140,2865.954,-107.07,0.01,1.00,SL-LOSS
2025.02.28 13:25,S,E1,2856.881,5.216,2853.102,75.58,1.29,0.44,SL-WIN
2025.03.10 05:21,S,E1,2908.947,2.174,2911.141,-105.31,0.86,1.00,SL-LOSS
2025.03.20 01:15,L,E1,3054.857,4.571,3050.603,-97.84,0.30,0.89,EA
2025.03.26 12:50,L,E1,3029.180,3.752,3025.934,-90.89,0.00,0.86,EA
2025.04.04 07:36,S,E1,3096.866,6.658,3088.540,124.89,1.24,0.11,TP
2025.04.21 13:45,L,E1,3416.989,11.850,3423.752,75.11,1.12,0.19,SL-WIN
2025.04.23 08:16,S,E1,3307.515,8.281,3315.836,-99.85,0.04,1.00,SL-LOSS
2025.05.08 03:21,L,E1,3405.901,6.931,3398.967,-104.01,0.08,0.99,SL-LOSS
2025.05.27 00:15,L,E1,3349.581,3.743,3345.809,-105.62,0.13,1.00,SL-LOSS
2025.06.12 13:37,L,E1,3391.503,10.097,3385.247,-62.56,0.75,0.71,EA
2025.07.03 12:46,S,E1,3314.187,15.021,3329.246,-105.41,0.00,1.00,SL-LOSS
2025.07.08 07:05,L,E1,3338.051,3.498,3334.551,-101.50,0.42,0.99,SL-LOSS
2025.07.11 00:06,L,E1,3326.652,3.398,3330.771,123.57,1.20,0.53,TP
2025.07.24 12:55,S,E1,3354.502,7.426,3361.963,-96.99,0.41,1.00,SL-LOSS
2025.08.08 07:55,L,E1,3403.343,9.129,3397.598,-63.19,0.03,0.66,EA
2025.08.27 12:10,S,E1,3376.197,2.013,3378.223,-95.22,0.08,0.99,SL-LOSS
2025.09.15 00:35,S,E1,3635.953,4.218,3634.374,36.32,0.77,0.28,SL-WIN
2025.09.23 01:15,L,E1,3754.805,7.088,3749.958,-67.86,0.64,0.99,EA
2025.09.26 06:15,L,E1,3751.690,6.614,3745.054,-99.54,0.38,1.00,SL-LOSS
2025.10.15 01:10,L,E1,4179.250,11.178,4182.522,26.18,0.68,0.47,EA
2025.10.16 01:15,L,E1,4220.940,10.508,4232.704,105.88,1.12,0.24,TP
2025.10.23 05:40,L,E1,4093.670,9.807,4107.023,133.53,1.35,0.27,TP
2025.11.13 07:30,L,E1,4216.649,6.406,4224.934,132.56,1.28,0.64,TP
2025.11.18 02:55,S,E1,4021.254,9.649,4014.102,71.52,1.15,0.09,SL-WIN
2025.11.20 07:24,S,E1,4061.336,9.556,4052.511,88.25,1.32,0.73,SL-WIN
2025.11.26 01:00,L,E1,4143.003,6.105,4150.669,130.32,1.25,0.73,TP
2025.12.16 05:25,S,E1,4285.048,5.342,4278.377,126.75,1.24,0.05,TP
2026.02.04 07:45,L,E1,5080.704,13.903,5085.275,39.26,0.77,0.04,SL-WIN
2026.03.09 13:45,S,E1,5076.178,23.938,5096.132,-79.82,0.63,0.83,EA
2026.04.10 08:05,S,E1,4747.474,7.607,4737.118,144.99,1.22,0.65,TP
2026.04.14 00:20,L,E1,4763.945,11.081,4771.082,72.43,1.08,0.39,SL-WIN
2026.04.17 07:45,S,E1,4785.834,7.800,4782.982,49.75,0.89,0.07,SL-WIN
2026.05.05 14:27,L,E1,4582.267,15.398,4582.557,2.03,0.29,0.43,EA
2026.05.06 05:57,L,E1,4659.216,9.024,4662.032,33.79,0.71,0.20,SL-WIN
2026.05.08 13:36,L,E1,4741.672,14.193,4727.478,-99.35,0.56,1.00,SL-LOSS
2026.05.11 02:55,S,E1,4680.631,12.037,4690.196,-86.08,0.46,0.78,EA
2026.05.11 05:48,S,E1,4659.834,11.570,4653.247,69.52,0.99,0.40,SL-WIN
2026.05.21 01:18,L,E1,4560.410,13.678,4546.981,-107.43,0.77,1.00,EA
