entryTimeUTC,dir,kind,entry,riskPrice,exitPrice,realizedUsd,mfeR,maeR,exitTag
2024.01.05 08:18,S,E4,2041.913,1.668,2043.338,-21.37,0.00,0.99,EA
2024.01.11 05:44,L,E4,2033.300,1.395,2033.285,-0.22,0.95,0.24,SL-LOSS
2024.01.16 05:25,S,E4,2048.242,0.611,2048.855,-9.20,0.09,0.96,SL-LOSS
2024.01.16 13:13,S,E4,2035.955,2.130,2035.913,0.63,2.14,0.14,SL-WIN
2024.01.18 00:56,L,E4,2010.549,1.051,2010.440,-1.64,0.58,0.34,EA
2024.01.19 05:26,S,E4,2020.477,0.663,2021.161,-10.26,0.00,0.98,SL-LOSS
2024.01.22 06:17,S,E4,2020.415,1.774,2021.806,-20.86,0.00,0.95,EA
2024.01.25 07:10,S,E4,2014.060,1.156,2015.228,-17.52,0.30,0.98,SL-LOSS
2024.01.26 01:04,L,E4,2023.217,1.362,2022.873,-5.16,0.73,0.69,EA
2024.01.30 06:12,L,E4,2033.948,1.219,2034.864,15.44,1.68,0.34,SL-WIN
2024.02.01 02:07,L,E4,2043.502,1.351,2046.168,39.99,1.94,0.10,TP
2024.02.05 05:04,S,E4,2030.775,1.013,2030.720,0.83,1.06,0.27,SL-WIN
2024.02.05 08:11,S,E4,2025.227,2.043,2021.885,30.64,2.19,0.22,EA
2024.02.07 08:28,S,E4,2032.580,1.251,2032.581,-0.02,0.96,0.37,SL-LOSS
2024.02.14 08:05,S,E4,1989.118,1.384,1989.081,0.55,2.18,0.40,SL-WIN
2024.02.21 08:20,S,E4,2028.276,1.035,2027.319,15.23,1.84,0.45,SL-WIN
2024.02.23 08:43,S,E4,2019.365,1.468,2019.602,-2.13,0.57,0.27,EA
2024.02.27 02:38,L,E4,2034.422,0.858,2033.558,-12.96,0.20,1.00,SL-LOSS
2024.02.27 08:27,L,E4,2037.388,1.254,2037.658,4.05,1.69,0.39,EA
2024.02.28 06:50,S,E4,2029.786,0.697,2029.198,9.51,1.63,0.18,SL-WIN
2024.02.29 01:38,L,E4,2035.854,0.919,2035.787,-1.00,0.72,0.54,EA
2024.03.15 03:25,L,E4,2163.745,1.252,2163.982,3.55,1.20,0.29,EA
2024.03.18 07:28,L,E4,2150.577,1.452,2149.099,-22.17,0.03,1.00,SL-LOSS
2024.03.21 13:19,S,E4,2202.378,3.031,2192.825,143.29,3.13,0.40,TP
2024.03.22 13:50,L,E4,2179.236,3.615,2178.317,-13.78,0.24,0.70,EA
2024.03.28 12:13,L,E4,2214.627,4.041,2212.381,-33.69,0.58,0.63,EA
