ts_ms,dt,bar,interesting,armed_dir,up_age,dn_age,aligned_bull,aligned_bear,price,ema25,ema200,atr_m1,adx_m1,min_adx,adx_pass,trend_quality,tq_pass,htf_block_long,htf_block_short,sideway_block,price_ok,in_session,detected,det_long,gate,atr_pctile,min_entry_pctile,atr_pctile_low,atr_pctile_high,min_entry_block,is_high_risk,potential_loss_usd,entry_max_loss,opposing_pos,entrytype_blocked,final_decision
1767311940000,2026.01.01 23:59,353136,1,1,0,-1,1,0,4348.37300,4343.96022,4326.18885,2.23214,29.849,18.000,1,7,1,0,1,0,1,1,1,1,fired,84.38,65.00,20.00,90.00,0,1,336.12,100.00,0,0,HIGH_RISK_ROUTE
1767321540000,2026.01.02 02:39,353296,1,1,0,-1,1,0,4352.19600,4348.48465,4344.34879,2.11486,20.213,18.000,1,7,1,0,0,0,1,1,1,1,fired,81.25,65.00,20.00,90.00,0,1,121.07,99.91,0,0,HIGH_RISK_ROUTE
1767335340000,2026.01.02 06:29,353526,1,1,0,-1,1,0,4379.75100,4377.28018,4372.78743,1.43536,24.045,18.000,1,6,1,0,0,0,1,1,1,1,fired,71.88,65.00,20.00,90.00,0,1,107.81,99.74,0,0,HIGH_RISK_ROUTE
1767339540000,2026.01.02 07:39,353596,1,1,0,-1,1,0,4379.73100,4376.41984,4374.25746,1.47671,30.319,18.000,1,6,1,0,0,0,1,1,1,1,fired,12.50,65.00,20.00,90.00,1,0,85.46,99.54,0,0,BLOCK:min_entry_pctile
1767355860000,2026.01.02 12:11,353868,1,1,0,-1,1,0,4396.02800,4393.86690,4391.20066,1.24721,30.922,18.000,1,8,1,0,0,0,1,1,1,1,fired,68.75,65.00,20.00,90.00,0,0,75.77,99.54,0,0,FIRE
1767359340000,2026.01.02 13:09,353926,1,1,0,-1,1,0,4397.18400,4393.64538,4391.95934,1.61000,59.726,18.000,1,6,1,0,1,0,1,1,1,1,fired,12.50,65.00,20.00,90.00,1,0,81.73,99.72,0,0,BLOCK:min_entry_pctile
1767360780000,2026.01.02 13:33,353950,1,-1,-1,0,0,1,4369.60500,4385.41781,4391.22674,4.44821,62.776,18.000,1,8,1,0,0,0,1,1,1,0,fired,84.38,65.00,20.00,90.00,0,1,327.69,99.72,0,0,HIGH_RISK_ROUTE
1767571140000,2026.01.04 23:59,354507,1,1,0,-1,1,0,4372.59400,4368.69060,4343.28654,2.53071,41.954,18.000,1,6,1,0,1,0,1,1,1,1,fired,9.38,65.00,20.00,90.00,1,1,442.97,100.00,0,0,HIGH_RISK_ROUTE
1767580020000,2026.01.05 02:27,354655,1,1,0,-1,1,0,4401.45600,4396.32161,4384.32421,2.28229,34.905,18.000,1,6,1,0,1,0,1,1,1,1,fired,0.00,65.00,20.00,90.00,1,1,260.34,100.00,0,0,HIGH_RISK_ROUTE
1767614340000,2026.01.05 11:59,355227,1,-1,-1,0,0,1,4419.37300,4422.19718,4427.90538,1.55343,35.326,18.000,1,8,1,1,0,0,1,1,1,0,fired,34.38,65.00,20.00,90.00,1,1,131.35,100.00,0,0,HIGH_RISK_ROUTE
1767624180000,2026.01.05 14:43,355391,1,1,0,-1,1,0,4426.15000,4422.67565,4418.93717,4.16779,25.472,18.000,1,7,1,0,1,0,1,1,1,1,fired,87.50,65.00,20.00,90.00,0,1,111.55,100.00,0,0,HIGH_RISK_ROUTE
1767657780000,2026.01.06 00:03,355885,1,-1,-1,0,0,1,4438.60900,4441.22735,4444.98979,1.81571,31.189,18.000,1,7,1,1,0,0,1,1,1,0,fired,43.75,65.00,20.00,90.00,1,0,99.07,100.00,0,0,BLOCK:min_entry_pctile
1767665100000,2026.01.06 02:05,356007,1,1,0,-1,1,0,4452.24000,4447.17330,4441.78895,2.27364,45.617,18.000,1,7,1,0,1,0,1,1,1,1,fired,50.00,65.00,20.00,90.00,1,1,160.13,100.00,0,0,HIGH_RISK_ROUTE
