entryTimeUTC,dir,kind,entry,riskPrice,exitPrice,realizedUsd,mfeR,maeR,exitTag
2024.01.05 08:18,S,E2,2041.913,1.668,2043.338,-21.37,0.00,0.99,EA
2024.01.12 03:11,L,E2,2035.120,1.246,2034.432,-10.32,0.44,0.61,EA
2024.01.16 05:25,S,E2,2048.242,0.611,2048.855,-9.20,0.09,0.96,SL-LOSS
2024.01.18 05:11,S,E2,2007.098,0.898,2007.050,0.72,1.36,0.20,SL-WIN
2024.01.22 14:32,S,E2,2020.040,2.623,2022.682,-39.63,0.03,0.99,SL-LOSS
2024.01.26 01:04,L,E2,2023.217,1.362,2022.873,-5.16,0.73,0.69,EA
2024.01.30 07:34,L,E2,2036.708,1.399,2038.807,31.49,1.47,0.10,TP
2024.02.05 08:11,S,E2,2025.227,2.043,2023.453,28.60,1.76,0.22,SL-WIN
2024.02.08 05:02,S,E2,2031.895,0.827,2032.351,-6.84,0.81,0.57,EA
2024.02.13 03:20,S,E2,2017.138,0.725,2017.709,-8.57,0.23,0.87,EA
2024.02.14 08:05,S,E2,1989.118,1.384,1988.105,15.19,1.36,0.40,SL-WIN
2024.02.15 08:16,L,E2,1995.764,1.290,1995.179,-8.77,0.20,0.69,EA
2024.02.21 05:47,L,E2,2031.819,0.935,2031.239,-8.70,0.48,0.87,EA
2024.02.21 13:16,L,E2,2031.485,1.534,2029.951,-23.01,0.00,0.98,SL-LOSS
2024.02.22 06:13,L,E2,2030.058,1.098,2029.150,-13.62,0.46,0.85,EA
2024.02.27 02:38,L,E2,2034.422,0.858,2033.558,-12.96,0.20,1.00,SL-LOSS
2024.02.27 08:27,L,E2,2037.388,1.254,2039.509,31.82,1.61,0.39,TP
2024.03.05 08:32,L,E2,2121.771,1.960,2121.108,-9.95,0.83,0.76,EA
2024.03.14 12:19,S,E2,2165.683,1.938,2167.621,-29.07,0.00,0.98,SL-LOSS
2024.03.28 12:04,L,E2,2213.059,3.081,2212.381,-10.17,1.27,0.47,EA
2024.04.03 03:14,L,E2,2285.808,1.887,2285.908,1.50,1.15,0.46,SL-WIN
2024.04.09 05:07,L,E2,2346.100,1.817,2345.477,-9.34,0.30,0.52,EA
2024.04.12 00:53,L,E2,2378.886,1.794,2377.071,-27.22,0.15,0.99,SL-LOSS
2024.04.12 14:16,L,E2,2417.371,8.559,2426.593,101.44,1.37,0.66,EA
2024.04.26 05:52,L,E2,2338.570,2.185,2336.356,-33.21,0.01,0.99,SL-LOSS
2024.05.06 07:27,L,E2,2315.620,2.441,2317.663,32.02,1.46,0.83,SL-WIN
2024.05.09 14:10,L,E2,2331.172,4.599,2334.922,60.46,1.70,0.23,SL-WIN
2024.05.10 05:47,L,E2,2357.573,2.506,2356.396,-17.66,0.49,0.74,EA
2024.05.13 06:16,S,E2,2349.865,2.211,2352.099,-33.51,0.32,0.99,SL-LOSS
2024.05.16 01:17,L,E2,2395.357,3.271,2394.453,-13.56,0.61,0.31,EA
2024.05.17 12:49,L,E2,2392.388,2.880,2397.262,73.11,1.68,0.36,TP
2024.05.23 01:26,S,E2,2374.509,4.316,2371.832,40.16,1.24,0.14,SL-WIN
2024.05.28 08:11,S,E2,2342.067,2.056,2342.074,-0.10,0.81,0.24,EA
2024.06.07 00:35,L,E2,2378.199,1.280,2376.907,-11.63,0.04,0.98,SL-LOSS
2024.06.11 13:10,L,E2,2318.488,3.784,2314.693,-56.92,0.30,0.99,SL-LOSS
2024.06.28 08:37,L,E2,2330.759,2.463,2329.816,-14.15,0.26,0.48,EA
2024.07.02 00:14,L,E2,2333.921,1.129,2332.776,-17.18,0.00,1.00,SL-LOSS
2024.07.03 06:46,L,E2,2337.232,2.078,2340.752,52.80,1.61,0.57,TP
2024.07.19 02:22,S,E2,2424.235,3.152,2424.450,-3.22,0.47,0.30,EA
2024.07.19 06:10,S,E2,2417.680,3.198,2417.682,-0.03,0.99,0.10,SL-LOSS
2024.07.19 07:43,S,E2,2414.739,2.910,2416.369,-24.45,0.18,0.65,EA
2024.07.22 06:16,S,E2,2400.029,2.942,2402.994,-44.47,0.34,1.00,SL-LOSS
2024.07.22 13:46,S,E2,2392.716,5.194,2393.988,-19.08,0.24,0.38,EA
2024.07.25 01:19,S,E2,2395.388,4.118,2388.725,88.47,1.56,0.05,TP
2024.07.25 05:31,S,E2,2370.768,2.155,2372.927,-32.39,0.74,0.99,SL-LOSS
2024.07.30 07:10,L,E2,2391.348,2.247,2389.081,-34.00,0.29,0.99,SL-LOSS
2024.08.01 01:16,L,E2,2452.735,4.414,2455.536,46.01,1.29,0.20,SL-WIN
2024.08.02 00:31,L,E2,2451.059,2.439,2448.591,-37.02,0.55,0.99,SL-LOSS
2024.08.02 02:19,L,E2,2454.419,3.971,2450.424,-59.93,0.12,1.00,SL-LOSS
2024.08.14 08:39,L,E2,2474.739,2.352,2478.556,57.25,1.56,0.31,TP
2024.08.19 00:13,L,E2,2506.402,1.336,2505.722,-10.20,0.30,0.69,EA
2024.08.30 09:13,L,E2,2526.076,2.394,2524.165,-28.66,0.36,0.86,EA
2024.09.03 00:09,S,E2,2496.698,1.366,2495.852,12.69,1.18,0.72,SL-WIN
2024.09.05 02:55,L,E2,2498.729,1.224,2498.356,-5.60,0.00,0.54,EA
2024.09.05 08:12,L,E2,2507.593,2.377,2510.782,47.83,1.32,0.12,TP
2024.09.06 05:15,L,E2,2520.072,1.148,2519.860,-3.18,1.05,0.51,EA
2024.09.12 12:46,L,E2,2533.167,6.169,2529.303,-57.96,0.36,0.73,EA
2024.09.23 05:47,L,E2,2631.005,2.081,2629.089,-28.74,0.12,0.93,EA
2024.10.01 12:04,L,E2,2652.427,2.257,2655.241,42.21,1.35,0.41,EA
