entryTimeUTC,dir,kind,entry,riskPrice,exitPrice,realizedUsd,mfeR,maeR,exitTag
2026.01.02 00:00,L,E5,4348.494,22.529,4346.273,-8.89,0.34,0.32,EA
2026.01.02 02:40,L,E5,4352.312,8.187,4350.920,-16.70,0.03,0.19,EA
2026.01.02 06:30,L,E5,4379.873,7.310,4378.413,-20.44,0.00,0.38,EA
2026.01.02 12:12,L,E5,4396.150,5.173,4397.375,18.38,0.36,0.50,EA
2026.01.02 13:34,S,E5,4369.574,21.877,4359.945,54.77,0.89,0.39,SL-WIN
2026.01.06 09:21,S,E5,4453.355,10.473,4449.979,43.09,0.80,0.39,SL-WIN
2026.01.07 12:00,S,E5,4447.681,12.900,4441.367,50.51,0.65,0.21,EA
2026.01.08 00:53,S,E5,4450.578,7.454,4448.272,43.35,0.81,0.27,SL-WIN
2026.01.08 08:16,S,E5,4426.533,5.613,4426.242,2.62,1.17,0.78,SL-WIN
2026.01.12 06:55,L,E5,4579.099,5.892,4584.369,99.28,1.44,0.75,SL-WIN
2026.01.12 12:06,S,E5,4583.818,5.330,4580.249,53.53,0.89,0.30,EA
2026.01.15 12:00,L,E5,4619.426,5.610,4620.257,12.47,0.24,0.12,EA
2026.01.16 05:45,L,E5,4607.089,7.526,4615.003,91.95,1.04,0.06,TP
2026.01.23 07:45,S,E5,4946.283,9.116,4932.531,123.77,1.50,0.55,TP
2026.01.23 12:48,L,E5,4938.211,10.120,4942.367,54.54,0.97,0.45,SL-WIN
2026.01.26 12:48,S,E5,5083.985,5.168,5074.055,148.95,1.90,0.38,TP
2026.01.27 12:00,S,E5,5076.726,8.659,5076.749,-0.28,0.14,0.69,EA
2026.01.28 13:09,L,E5,5283.834,15.185,5268.598,-106.65,0.12,1.00,SL-LOSS
2026.01.29 08:08,S,E5,5534.430,21.527,5525.468,56.69,0.78,0.39,SL-WIN
2026.01.29 12:48,L,E5,5536.024,14.100,5538.276,15.76,0.45,0.41,EA
2026.01.30 01:22,S,E5,5340.241,57.385,5358.575,-36.67,0.13,0.57,EA
2026.01.30 06:03,S,E5,5196.849,29.528,5168.038,74.13,0.97,0.29,TP
2026.01.30 12:00,L,E5,5136.482,36.246,5129.329,-21.46,0.26,0.42,EA
2026.02.03 12:06,L,E5,4932.578,23.120,4909.419,-92.63,0.08,0.99,SL-LOSS
2026.02.04 14:49,S,E5,4991.504,47.248,4986.567,9.88,0.31,0.57,EA
2026.02.05 05:02,S,E5,4873.586,19.674,4861.802,63.41,0.92,0.08,SL-WIN
2026.02.05 09:15,S,E5,4862.812,47.665,4864.060,-2.50,0.28,0.66,EA
2026.02.09 07:33,S,E5,5011.181,11.482,5006.603,53.53,0.85,0.33,SL-WIN
2026.02.10 07:02,S,E5,5024.677,6.858,5030.058,-80.71,0.00,0.73,EA
2026.02.10 08:09,L,E5,5036.182,5.927,5036.115,-1.00,0.85,0.77,SL-LOSS
