entryTimeUTC,dir,kind,entry,riskPrice,exitPrice,realizedUsd,mfeR,maeR,exitTag
2026.01.02 12:19,L,E5,4397.470,6.084,4391.386,-91.25,0.05,0.00,SL-LOSS
2026.01.02 13:35,S,E5,4372.952,18.151,4358.240,73.06,1.17,0.00,SL-WIN
2026.01.06 09:21,S,E5,4453.147,10.557,4456.301,-28.39,0.00,0.00,EA
2026.01.08 00:53,S,E5,4450.781,7.127,4448.260,46.30,0.63,0.00,SL-WIN
2026.01.08 08:16,S,E5,4426.597,5.425,4426.300,4.45,1.14,0.00,SL-WIN
2026.01.09 12:05,L,E5,4477.324,5.598,4471.726,-83.98,0.49,0.00,SL-LOSS
2026.01.12 06:55,L,E5,4579.062,5.731,4584.430,100.26,1.37,0.00,SL-WIN
2026.01.12 12:06,S,E5,4583.818,5.206,4589.024,-78.09,0.82,0.00,SL-LOSS
2026.01.14 14:45,S,E5,4619.002,13.734,4612.770,55.12,0.81,0.00,SL-WIN
2026.01.15 02:50,S,E5,4604.018,6.376,4603.670,5.22,0.99,0.00,SL-WIN
2026.01.16 05:45,L,E5,4607.089,7.402,4614.851,90.01,0.70,0.00,TP
2026.01.20 13:25,S,E5,4721.552,5.377,4726.929,-80.65,0.87,0.00,SL-LOSS
2026.01.22 13:35,S,E5,4822.543,4.849,4820.261,34.23,0.49,0.00,EA
2026.01.26 12:48,S,E5,5083.985,5.044,5076.270,115.72,1.13,0.00,TP
2026.01.27 12:00,S,E5,5076.726,8.535,5085.261,-102.42,0.23,0.00,SL-LOSS
2026.01.28 13:09,L,E5,5283.834,15.061,5268.773,-105.43,0.00,0.00,SL-LOSS
2026.01.29 08:08,S,E5,5534.430,21.403,5525.420,57.21,0.71,0.00,SL-WIN
2026.01.29 12:20,L,E5,5532.233,14.740,5538.276,42.30,0.68,0.00,EA
2026.01.30 01:23,S,E5,5336.617,60.293,5358.575,-43.92,0.00,0.00,EA
2026.01.30 06:03,S,E5,5196.882,29.371,5168.170,73.96,0.82,0.00,TP
2026.01.30 12:00,L,E5,5136.207,35.847,5129.286,-20.76,0.24,0.00,EA
2026.02.05 09:15,S,E5,4862.887,47.186,4877.063,-28.35,0.08,0.00,EA
2026.02.10 00:45,S,E5,5023.845,20.610,5014.894,44.76,0.44,0.00,EA
2026.02.10 07:02,S,E5,5024.677,6.622,5031.299,-99.33,0.00,0.00,SL-LOSS
2026.02.10 08:09,L,E5,5036.182,5.691,5036.490,4.62,0.88,0.00,SL-WIN
2026.02.10 12:00,L,E5,5056.281,8.961,5053.353,-32.21,0.00,0.00,EA
2026.02.11 14:45,S,E5,5042.663,31.050,5058.129,-46.40,0.00,0.00,EA
2026.02.12 06:37,S,E5,5049.288,15.869,5063.751,-86.78,0.11,0.00,EA
2026.02.12 09:00,L,E5,5068.463,5.279,5068.376,-1.30,0.00,0.00,EA
2026.02.12 12:55,S,E5,5051.978,11.328,5063.306,-90.62,0.17,0.00,SL-LOSS
2026.02.16 00:05,S,E5,5008.171,18.685,5014.108,-29.68,0.00,0.00,EA
2026.02.17 13:32,S,E5,4913.991,13.553,4895.596,128.77,0.27,0.00,TP
2026.02.18 01:11,L,E5,4883.678,8.424,4886.190,39.17,0.57,0.00,SL-WIN
2026.02.23 06:45,S,E5,5148.418,9.776,5142.160,67.66,0.93,0.00,SL-WIN
2026.02.24 08:20,S,E5,5168.131,7.403,5173.417,-68.72,0.36,0.00,EA
2026.03.04 06:06,S,E5,5143.508,16.634,5127.131,98.26,0.00,0.00,TP
2026.03.04 14:06,S,E5,5178.316,5.023,5168.837,142.19,1.42,0.00,TP
2026.03.06 08:25,S,E5,5110.077,7.647,5102.722,97.20,0.87,0.00,TP
2026.03.09 13:20,S,E5,5093.253,4.838,5085.879,100.67,1.32,0.00,TP
2026.03.09 13:45,S,E5,5076.178,21.058,5080.204,-20.13,0.64,0.00,EA
