entryTimeUTC,dir,kind,entry,riskPrice,exitPrice,realizedUsd,mfeR,maeR,exitTag
2025.03.03 00:00,L,E5,2871.036,11.748,2867.776,-48.90,0.03,0.40,EA
2025.03.03 05:37,S,E5,2863.336,2.882,2863.567,-3.47,0.69,0.99,EA
2025.03.03 07:18,S,E5,2862.138,2.780,2862.398,-3.90,0.67,0.65,EA
2025.03.04 01:15,S,E5,2884.457,6.257,2888.927,-67.05,0.38,0.76,EA
2025.03.04 06:29,S,E5,2887.685,2.336,2886.017,27.16,0.87,0.21,SL-WIN
2025.03.04 14:44,S,E5,2909.562,9.677,2903.484,91.17,0.63,0.30,EA
2025.03.05 01:07,S,E5,2912.957,2.395,2910.280,40.16,1.10,0.45,TP
2025.03.05 12:00,S,E5,2913.425,2.555,2916.010,-38.77,0.41,0.99,SL-LOSS
2025.03.05 13:12,S,E5,2913.458,2.628,2916.139,-40.22,0.11,0.98,SL-LOSS
2025.03.06 01:01,S,E5,2917.519,1.298,2918.119,-9.00,0.36,0.41,EA
2025.03.06 05:52,S,E5,2916.956,2.238,2918.405,-21.74,0.02,0.68,EA
2025.03.06 07:33,S,E5,2915.609,4.412,2910.241,64.17,1.21,0.22,TP
2025.03.07 00:18,S,E5,2902.857,8.753,2908.347,-82.35,0.15,0.62,EA
2025.03.07 13:24,S,E5,2913.959,5.458,2920.213,-93.81,0.66,0.89,SL-LOSS
2025.03.07 14:56,L,E5,2927.018,8.928,2926.658,-5.40,0.21,0.04,EA
2025.03.10 01:09,L,E5,2916.488,2.761,2915.884,-9.06,0.67,0.55,EA
2025.03.10 08:08,S,E5,2909.139,2.886,2906.712,33.53,1.08,0.48,SL-WIN
2025.03.10 13:38,S,E5,2900.474,4.408,2901.316,-12.63,0.14,0.49,EA
2025.03.11 06:38,L,E5,2899.610,3.729,2901.774,37.20,0.87,0.13,SL-WIN
2025.03.11 13:41,L,E5,2917.859,6.461,2914.166,-55.40,0.69,0.94,EA
2025.03.12 02:40,L,E5,2916.747,1.643,2915.811,-14.04,0.22,0.76,EA
2025.03.12 05:13,S,E5,2914.063,1.810,2912.575,20.37,1.02,0.19,SL-WIN
2025.03.12 12:19,S,E5,2913.486,1.996,2913.756,-4.05,0.41,0.16,EA
2025.03.12 13:26,S,E5,2908.403,7.651,2916.082,-115.18,0.24,1.00,SL-LOSS
2025.03.14 01:03,L,E5,2988.196,2.748,2989.658,25.71,0.73,0.83,SL-WIN
2025.03.14 07:12,S,E5,2982.048,3.731,2983.889,-27.62,0.30,0.99,EA
2025.03.14 13:34,S,E5,2990.361,5.107,2984.392,89.54,1.16,0.02,TP
2025.03.17 06:36,L,E5,2989.350,3.376,2988.373,-14.65,0.42,0.32,EA
2025.03.17 09:07,L,E5,2989.983,3.398,2991.602,28.56,0.71,0.32,SL-WIN
2025.03.18 00:26,L,E5,3002.881,2.428,3000.559,-34.83,0.28,0.93,EA
2025.03.18 13:54,L,E5,3035.795,6.457,3029.290,-97.58,0.24,1.00,SL-LOSS
2025.03.19 08:13,S,E5,3032.601,5.920,3029.139,58.73,0.89,0.38,SL-WIN
2025.03.19 13:39,S,E5,3028.331,7.953,3030.114,-26.74,0.30,0.82,EA
2025.03.20 00:00,L,E5,3050.159,2.993,3053.607,47.28,1.14,0.04,TP
2025.03.20 06:38,S,E5,3046.550,3.248,3049.836,-49.29,0.00,1.00,SL-LOSS
2025.03.21 00:00,L,E5,3046.471,2.156,3044.306,-32.48,0.46,0.99,SL-LOSS
2025.03.21 01:11,S,E5,3042.875,1.581,3042.990,-1.72,0.05,0.49,EA
2025.03.21 12:01,L,E5,3034.751,3.074,3037.013,31.75,1.08,0.09,SL-WIN
2025.03.21 13:39,S,E5,3017.535,15.653,3007.259,104.86,0.85,0.12,SL-WIN
2025.03.24 00:58,S,E5,3018.620,4.497,3023.126,-67.59,0.05,1.00,SL-LOSS
2025.03.24 02:51,S,E5,3018.318,4.074,3018.045,4.09,0.62,0.40,EA
2025.03.24 13:43,S,E5,3023.284,2.794,3020.007,49.15,1.15,0.08,TP
2025.03.25 02:50,S,E5,3008.529,3.052,3011.605,-46.14,0.28,0.98,SL-LOSS
2025.03.26 00:42,S,E5,3018.291,2.853,3019.868,-23.65,0.62,0.76,EA
2025.03.26 06:08,L,E5,3024.985,6.516,3029.263,65.94,0.83,0.27,SL-WIN
2025.03.26 13:42,S,E5,3021.876,3.642,3018.785,50.59,1.06,0.27,SL-WIN
2025.03.27 00:10,L,E5,3022.886,3.145,3026.563,47.09,1.16,0.39,TP
2025.03.28 00:08,L,E5,3058.870,3.653,3060.797,33.18,0.86,0.12,SL-WIN
2025.03.28 08:30,S,E5,3066.303,11.999,3073.671,-110.52,0.00,0.66,EA
2025.03.31 01:38,L,E5,3090.960,5.637,3097.580,79.64,1.17,0.16,TP
2025.03.31 12:11,L,E5,3122.350,4.452,3122.297,-0.79,0.33,0.62,EA
2025.03.31 13:39,S,E5,3109.653,9.948,3101.971,126.40,0.98,0.19,SL-WIN
2025.04.01 06:09,S,E5,3129.652,11.770,3134.382,-70.95,0.14,0.73,EA
2025.04.02 00:30,L,E5,3121.664,7.190,3130.249,106.07,1.19,0.19,TP
2025.04.02 05:00,S,E5,3116.180,9.207,3115.570,9.15,0.80,0.40,EA
2025.04.02 08:08,L,E5,3126.523,7.368,3132.208,78.82,0.99,0.43,SL-WIN
2025.04.02 13:44,L,E5,3128.461,4.661,3123.773,-70.32,0.14,0.99,SL-LOSS
2025.04.03 01:10,L,E5,3155.844,8.915,3160.506,80.33,0.81,0.89,SL-WIN
2025.04.03 05:00,S,E5,3140.594,7.404,3131.063,119.79,1.28,0.08,TP
2025.04.04 07:05,S,E5,3097.412,5.720,3099.635,-33.35,0.11,0.93,EA
2025.04.07 01:45,L,E5,3052.322,46.571,3034.959,-69.45,0.08,0.55,EA
2025.04.07 07:07,S,E5,3025.452,3.123,3021.302,50.57,1.32,0.40,TP
