entryTimeUTC,dir,rev,retest,regimeTrend,session,entry,riskPrice,mfeR,maeR,realizedUsd,entryReason,brkDistAtr,bodyPct,adx,diSpread,runwayAtr,nodeNet,spreadPips,spreadAtr,exitTag
2025.06.02 05:40,L,0,0,1,2,3322.705,3.203,3.65,0.06,363.38,L-BRK,0.93,0.66,59.2,33.2,5.16,0.65,112.0,0.045,TP
2025.06.02 06:20,L,0,0,1,2,3334.972,3.493,3.91,0.33,411.27,L-BRK,5.30,0.88,77.3,42.7,0.55,0.46,112.0,0.039,TP
2025.06.02 07:05,L,0,0,1,2,3348.555,4.759,2.21,0.05,55.47,L-BRK,7.44,0.44,86.6,43.4,0.73,0.27,112.0,0.029,SL-WIN
2025.06.02 14:00,L,0,0,1,3,3372.299,6.146,0.95,0.75,1.84,L-BRK,11.06,0.62,35.1,17.3,1.08,0.00,112.0,0.023,SL-WIN
2025.06.02 14:20,L,0,0,1,3,3373.428,6.910,0.82,0.22,0.73,L-BRK,11.61,0.65,31.3,10.1,0.06,0.00,112.0,0.020,SL-WIN
2025.06.02 18:45,L,0,0,1,3,3377.441,2.514,1.96,0.22,48.36,L-BRK,13.49,0.67,23.5,15.1,0.99,0.00,112.0,0.058,SL-WIN
2025.06.02 20:15,L,0,0,1,3,3381.475,1.839,0.28,0.99,-110.10,L-BRK,18.67,0.05,25.1,11.2,1.49,0.00,112.0,0.078,SL-LOSS
2025.06.02 22:00,L,0,0,1,1,3384.925,2.139,3.42,0.91,118.80,L-BRK,16.30,0.63,26.4,19.9,2.39,0.00,112.0,0.064,SL-WIN
2025.06.03 14:00,S,0,0,1,3,3335.818,5.873,0.44,0.99,-111.99,S-BRK,0.96,0.93,42.5,28.3,10.43,-0.86,112.0,0.023,SL-LOSS
2025.06.03 14:10,S,0,0,1,3,3338.821,6.085,0.28,1.00,-109.73,S-BRK,2.14,0.45,45.6,15.1,7.22,-0.86,112.0,0.022,SL-LOSS
2025.06.04 05:40,S,0,0,1,2,3353.062,3.785,1.07,0.35,1.32,S-BRK,0.90,0.74,49.1,15.4,5.44,-0.19,112.0,0.036,SL-WIN
2025.06.04 14:35,L,0,0,1,3,3378.718,6.389,0.93,0.03,1.68,L-BRK,1.78,0.68,49.7,36.1,1.33,1.00,112.0,0.021,SL-WIN
2025.06.04 14:55,L,0,0,1,3,3377.530,6.224,0.24,1.00,-106.40,L-BRK,3.35,0.53,54.4,12.6,0.82,0.37,112.0,0.022,SL-LOSS
2025.06.04 18:00,L,0,0,1,3,3380.115,2.457,0.87,0.03,1.23,L-BRK,8.38,0.45,35.8,9.5,3.00,0.37,112.0,0.061,SL-WIN
2025.06.04 18:05,L,0,0,1,3,3380.615,2.434,0.42,1.00,-105.18,L-BRK,8.58,0.36,37.8,20.7,2.60,0.37,112.0,0.058,SL-LOSS
2025.06.05 00:25,L,0,0,1,1,3381.128,2.937,0.16,1.00,-106.27,L-BRK,5.57,0.84,22.3,17.3,1.34,0.71,112.0,0.048,SL-LOSS
2025.06.05 03:35,L,0,0,1,2,3374.557,2.479,0.37,0.98,-99.24,L-BRK,1.66,0.75,24.5,21.4,4.55,0.10,112.0,0.054,SL-LOSS
2025.06.05 09:25,L,0,0,1,2,3388.003,3.345,0.61,1.00,-103.69,L-BRK,1.08,0.77,45.8,34.4,1.99,0.95,112.0,0.042,SL-LOSS
2025.06.05 09:30,L,0,0,1,2,3384.248,4.043,3.61,0.35,386.77,L-BRK,2.07,0.76,49.8,32.8,0.82,0.10,112.0,0.036,TP
2025.06.05 10:45,L,0,0,1,2,3397.436,4.012,1.54,0.39,0.93,L-BRK,6.21,0.54,74.5,29.1,0.43,0.02,112.0,0.034,SL-WIN
2025.06.05 15:55,S,0,0,1,3,3344.716,8.139,0.58,1.00,-106.07,S-BRK,1.82,0.76,46.2,25.1,0.33,-1.00,112.0,0.017,SL-LOSS
2025.06.06 14:10,S,0,0,1,3,3334.063,7.887,2.24,0.23,1.31,S-BRK,1.37,0.43,41.4,22.6,0.78,-0.29,112.0,0.017,SL-WIN
2025.06.06 14:50,S,0,0,1,3,3326.530,8.117,0.50,1.00,-105.60,S-BRK,2.65,0.75,37.0,13.6,2.17,-0.12,112.0,0.017,SL-LOSS
2025.06.06 18:00,S,0,0,1,3,3321.340,2.809,2.69,0.37,51.84,S-BRK,10.65,0.27,29.5,10.0,3.18,-0.12,112.0,0.049,SL-WIN
2025.06.06 18:45,S,0,0,1,3,3317.094,3.374,2.94,0.59,136.74,S-BRK,10.45,0.31,28.6,9.2,2.24,-0.29,112.0,0.042,SL-WIN
2025.06.08 22:40,S,0,0,1,1,3312.323,3.201,0.92,0.48,1.12,S-BRK,11.08,0.88,27.7,11.5,3.81,-0.08,112.0,0.042,SL-WIN
2025.06.08 22:50,S,0,0,1,1,3313.215,3.409,0.45,1.00,-106.73,S-BRK,10.68,0.77,29.4,16.8,2.45,-0.07,112.0,0.038,SL-LOSS
2025.06.09 00:15,S,0,0,1,1,3306.993,2.888,0.78,0.99,-104.15,S-BRK,13.67,0.52,23.1,24.2,2.89,-0.03,112.0,0.046,SL-LOSS
2025.06.09 00:25,S,0,0,1,1,3310.194,3.326,3.57,0.58,72.75,S-BRK,13.12,0.23,27.0,15.0,1.22,-0.05,112.0,0.040,SL-WIN
2025.06.09 09:25,S,0,0,1,2,3318.669,3.017,0.15,1.00,-106.40,S-BRK,1.67,1.00,34.7,18.9,9.76,-0.11,112.0,0.046,SL-LOSS
2025.06.09 10:25,S,0,0,1,2,3316.877,2.750,1.70,0.04,0.52,S-BRK,1.92,0.48,39.3,17.5,9.87,-0.19,112.0,0.050,SL-WIN
2025.06.10 06:45,L,0,0,1,2,3328.686,4.040,0.22,0.98,-101.27,L-BRK,1.36,0.51,54.4,33.2,2.72,1.00,112.0,0.034,SL-LOSS
2025.06.10 07:30,L,0,0,1,2,3331.397,4.084,0.20,1.00,-102.55,L-BRK,0.94,0.80,28.5,9.7,3.24,0.10,112.0,0.034,SL-LOSS
2025.06.10 10:35,L,0,0,1,2,3335.032,2.449,3.09,0.90,62.36,L-BRK,4.69,0.13,26.4,20.0,2.35,0.10,112.0,0.059,SL-WIN
2025.06.11 03:35,L,0,0,1,2,3340.636,2.618,0.24,1.00,-103.07,L-BRK,1.25,0.70,33.7,21.0,3.54,0.29,112.0,0.052,SL-LOSS
2025.06.11 05:00,L,0,0,1,2,3342.822,2.207,0.01,0.98,-101.75,L-BRK,1.25,0.20,24.0,16.3,4.12,0.24,112.0,0.063,SL-LOSS
2025.06.11 07:55,L,0,0,1,2,3345.703,3.253,0.32,0.98,-98.49,L-BRK,1.94,0.84,26.5,26.4,1.01,0.54,112.0,0.041,SL-LOSS
2025.06.11 14:50,S,1,0,0,3,3338.088,22.704,0.83,0.21,42.76,S-REV,-3.94,0.78,23.1,7.4,8.57,-0.00,112.0,0.028,SL-WIN
2025.06.11 19:20,L,0,0,1,3,3343.743,4.353,3.80,0.06,382.77,L-BRK,1.18,0.51,48.2,13.3,4.11,0.31,112.0,0.032,TP
2025.06.11 22:10,L,0,0,1,1,3361.139,3.042,3.92,0.53,395.30,L-BRK,7.46,0.54,78.7,38.2,0.64,0.37,112.0,0.045,TP
2025.06.11 23:00,L,0,0,1,1,3372.215,3.856,0.17,0.99,-113.02,L-BRK,9.55,0.53,80.1,37.7,1.68,0.22,112.0,0.038,SL-LOSS
2025.06.11 23:10,L,0,0,1,1,3366.881,3.638,0.30,1.00,-106.46,L-BRK,9.05,0.64,74.3,18.0,1.20,0.22,112.0,0.037,SL-LOSS
2025.06.12 00:50,L,0,0,1,1,3368.303,5.167,0.10,0.99,-103.34,L-BRK,6.86,0.80,22.3,9.5,0.68,0.22,112.0,0.026,SL-LOSS
2025.06.12 05:20,L,0,0,1,2,3374.549,2.346,0.54,1.00,-104.24,L-BRK,14.07,0.76,22.9,10.4,2.61,0.13,112.0,0.059,SL-LOSS
2025.06.12 06:50,L,0,0,1,2,3375.069,3.257,0.18,0.99,-102.73,L-BRK,9.69,0.64,23.9,13.1,1.77,0.04,112.0,0.043,SL-LOSS
