entryTimeUTC,dir,rev,retest,regimeTrend,session,entry,riskPrice,mfeR,maeR,realizedUsd,entryReason,brkDistAtr,bodyPct,adx,diSpread,runwayAtr,nodeNet,spreadPips,spreadAtr,exitTag
2024.01.03 01:39,L,0,0,1,1,45267.540,152.420,1.19,0.40,14.52,L-BRK,0.67,0.02,22.7,7.8,1.54,0.31,1785.0,0.288,SL-WIN
2024.01.03 04:00,L,0,0,1,1,45276.230,121.040,0.10,0.98,-109.46,L-BRK,1.24,0.71,26.5,13.7,3.48,0.31,1883.0,0.403,SL-LOSS
2024.01.03 07:09,L,0,0,1,2,45374.340,166.530,0.18,0.94,-110.94,L-BRK,0.66,0.45,28.5,13.0,1.51,0.28,2213.0,0.350,SL-LOSS
2024.01.06 00:09,L,0,0,1,1,44216.350,173.560,0.01,0.99,-101.44,L-BRK,1.63,0.41,23.5,19.1,2.78,0.71,2050.0,0.298,SL-LOSS
2024.01.07 00:24,L,0,0,1,1,44015.600,117.610,2.07,0.87,6.59,L-BRK,0.73,0.01,56.4,17.2,3.58,0.51,1742.0,0.388,SL-WIN
2024.01.07 12:36,L,0,0,1,3,44121.330,113.030,3.35,0.39,82.39,L-BRK,0.86,0.42,26.1,13.1,1.24,0.20,1584.0,0.360,SL-WIN
2024.01.08 01:42,S,0,0,1,1,43683.680,149.690,2.99,0.94,50.90,S-BRK,1.54,0.40,31.8,14.0,1.05,0.02,2104.0,0.313,SL-WIN
2024.01.14 00:27,S,0,0,1,1,42727.080,116.360,0.51,0.98,-88.63,S-BRK,1.60,0.78,25.3,17.1,1.14,-0.06,2291.0,0.430,SL-LOSS
2024.01.14 03:48,S,0,0,1,1,42667.950,130.660,0.82,0.58,14.57,S-BRK,0.86,0.68,31.6,9.2,1.09,0.10,2235.0,0.376,SL-WIN
2024.01.14 12:57,S,0,0,1,3,42754.790,128.600,0.03,1.00,-88.35,S-BRK,1.28,0.73,31.4,15.9,0.44,-0.91,2278.0,0.387,SL-LOSS
2024.01.16 00:00,S,0,0,1,1,42544.450,143.750,0.61,0.98,-86.45,S-BRK,1.29,0.49,27.9,13.3,2.97,0.05,2582.0,0.389,SL-LOSS
2024.01.17 07:06,S,0,0,1,2,42776.230,117.570,1.95,0.83,16.86,S-BRK,2.77,0.92,25.1,10.5,0.30,-0.09,2145.0,0.405,SL-WIN
2024.01.17 12:33,S,0,0,1,3,42550.040,143.380,0.69,0.99,-87.12,S-BRK,1.49,0.73,30.6,13.9,0.67,-0.25,2633.0,0.400,SL-LOSS
2024.01.18 01:42,S,0,0,1,1,42478.900,126.020,0.00,0.94,-86.78,S-BRK,0.67,0.32,38.4,16.4,3.84,-0.29,2252.0,0.393,SL-LOSS
2024.01.19 14:18,S,0,0,1,3,41135.560,136.690,2.44,0.53,16.28,S-BRK,0.76,0.74,24.6,23.9,1.45,-1.00,2782.0,0.434,SL-WIN
2024.01.20 09:33,S,0,0,1,2,41524.620,126.150,0.40,0.89,-85.77,S-BRK,1.05,0.45,38.3,13.3,0.57,-0.12,2179.0,0.381,SL-LOSS
2024.01.21 14:18,L,0,0,1,3,41840.360,100.910,0.20,0.95,-107.44,L-BRK,1.68,0.75,39.6,9.4,0.28,-0.08,1676.0,0.431,SL-LOSS
2024.01.22 02:45,S,0,0,1,1,41286.570,126.790,4.60,0.62,177.06,S-BRK,2.40,0.22,22.4,13.3,1.85,-0.09,2151.0,0.370,SL-WIN
2024.01.25 00:42,L,0,0,1,1,40185.360,149.450,0.03,1.00,-102.77,L-BRK,1.50,0.66,31.5,16.7,0.76,0.24,2215.0,0.391,SL-LOSS
2024.01.26 02:42,L,0,0,1,1,40148.070,149.750,0.30,0.75,-22.53,L-BRK,3.11,0.18,55.5,9.7,1.07,-0.09,2120.0,0.362,EA
2024.01.26 09:45,L,0,0,1,2,40352.340,122.400,0.19,1.00,-100.46,L-BRK,2.52,0.78,52.9,32.2,3.04,0.21,1913.0,0.395,SL-LOSS
2024.01.27 15:39,L,0,0,1,3,41886.170,104.080,0.00,0.99,-103.23,L-BRK,1.20,0.48,40.7,15.9,0.54,0.47,1670.0,0.438,SL-LOSS
2024.01.28 04:06,L,0,0,1,1,42305.510,109.070,4.93,0.64,177.70,L-BRK,2.64,0.45,64.0,32.6,2.12,0.53,1868.0,0.437,SL-WIN
2024.01.28 07:21,L,0,0,1,2,42484.920,126.770,0.09,0.99,-93.92,L-BRK,0.92,0.28,31.3,20.2,6.77,0.63,1695.0,0.318,SL-LOSS
2024.01.29 01:27,L,0,0,1,1,42213.610,151.600,0.62,0.43,11.01,L-BRK,1.64,0.29,47.4,28.3,1.03,0.40,2222.0,0.386,SL-WIN
