entryTimeUTC,dir,rev,retest,regimeTrend,session,entry,riskPrice,mfeR,maeR,realizedUsd,entryReason,brkDistAtr,bodyPct,adx,diSpread,runwayAtr,nodeNet,spreadPips,spreadAtr,exitTag
2025.06.20 05:10,L,1,0,0,1,104332.860,140.310,8.80,0.84,877.70,L-REV,-9.61,0.49,49.6,7.4,17.09,0.00,15.3,0.194,TP
2025.06.20 07:45,L,0,0,1,1,105579.090,277.910,3.85,0.06,142.52,L-BRK,3.87,0.62,46.4,31.9,1.24,1.00,15.3,0.126,SL-WIN
2025.06.21 04:10,S,0,0,1,1,103336.220,164.200,0.53,0.98,-110.62,S-BRK,2.40,0.57,31.0,16.8,14.60,-0.92,15.3,0.204,SL-LOSS
2025.06.21 08:05,L,1,0,0,2,103460.040,230.040,2.24,0.28,69.55,L-REV,-32.52,0.72,22.8,0.5,51.59,-0.00,15.1,0.241,SL-WIN
2025.06.21 15:00,L,1,0,0,2,103589.760,277.140,0.09,0.98,-114.13,L-REV,-12.04,0.65,30.7,3.2,22.67,-0.00,15.1,0.109,SL-LOSS
2025.06.22 01:35,S,0,0,1,1,102345.500,654.480,0.82,0.76,2.27,S-BRK,2.49,0.85,32.2,17.2,4.71,-0.41,15.1,0.051,SL-WIN
2025.06.22 13:25,S,0,0,1,2,101009.610,461.320,1.56,0.17,2.61,S-BRK,1.72,0.63,38.2,41.1,5.44,-0.95,15.1,0.072,SL-WIN
2025.06.22 13:55,S,0,0,1,2,100851.970,792.630,2.66,0.51,64.42,S-BRK,3.76,0.21,55.3,21.8,1.25,-0.75,15.1,0.042,SL-WIN
2025.06.23 09:55,L,1,0,0,2,101547.920,198.160,0.11,0.86,-110.22,L-REV,-21.02,0.57,26.5,0.2,21.02,0.00,15.1,0.133,SL-LOSS
2025.06.23 10:30,S,0,0,1,2,101378.850,245.960,0.84,0.25,2.14,S-BRK,1.17,0.51,32.6,12.1,25.28,-0.86,15.1,0.135,SL-WIN
2025.06.23 10:45,S,0,0,1,2,101401.800,263.590,1.15,0.63,0.23,S-BRK,1.10,0.92,32.6,12.4,26.51,0.02,15.1,0.126,SL-WIN
2025.06.23 12:20,S,0,0,1,2,101199.900,262.300,0.24,0.99,-107.62,S-BRK,1.47,0.56,33.1,16.5,24.62,-0.00,15.1,0.127,SL-LOSS
2025.06.24 05:30,L,0,0,1,1,105347.530,331.000,1.87,0.21,2.19,L-BRK,13.15,0.33,32.4,19.0,6.47,0.03,15.1,0.105,SL-WIN
2025.06.24 09:25,L,0,0,1,2,105506.400,443.230,0.16,1.00,-106.54,L-BRK,11.12,0.65,33.5,27.6,3.98,0.00,15.1,0.078,SL-LOSS
2025.06.25 01:20,S,1,0,0,1,106139.340,568.080,0.10,0.99,-108.32,S-REV,-24.03,0.50,27.5,2.3,37.21,-0.00,15.1,0.074,SL-LOSS
2025.06.25 09:40,S,1,0,0,2,106568.280,490.350,0.07,0.98,-104.35,S-REV,-37.03,0.55,28.8,6.2,56.80,-0.00,15.1,0.106,SL-LOSS
2025.06.26 06:35,L,0,0,1,1,107818.220,223.110,1.40,0.48,1.08,L-BRK,4.04,0.86,31.5,17.2,5.93,0.02,15.1,0.160,SL-WIN
2025.06.27 08:35,S,0,0,1,2,106862.680,294.850,0.19,0.99,-103.26,S-BRK,1.03,0.11,41.9,13.4,7.02,-1.00,15.1,0.113,SL-LOSS
2025.06.27 12:10,L,1,0,0,2,107029.500,127.050,1.83,0.63,2.74,L-REV,-8.83,0.56,18.7,5.1,14.17,-1.00,15.1,0.164,SL-WIN
2025.06.29 08:35,L,0,0,1,2,107684.070,140.950,0.80,0.11,1.42,L-BRK,3.05,0.73,41.9,20.4,7.07,-0.09,15.1,0.264,SL-WIN
2025.06.29 08:40,L,0,0,1,2,107751.590,159.700,5.00,0.55,177.77,L-BRK,2.73,0.23,45.9,26.0,7.02,-0.09,15.1,0.231,SL-WIN
2025.06.30 00:20,L,0,0,1,1,108703.970,342.140,0.31,1.00,-106.81,L-BRK,5.85,0.07,32.0,17.7,2.01,0.21,15.1,0.102,SL-LOSS
2025.06.30 11:25,L,0,0,1,2,107865.790,175.210,0.66,0.99,-111.50,L-BRK,1.43,0.35,42.4,27.9,12.36,0.78,15.1,0.209,SL-LOSS
2025.06.30 14:55,S,0,0,1,2,106827.720,510.480,0.08,1.00,-103.87,S-BRK,1.20,0.75,35.5,25.0,1.00,-0.30,15.1,0.065,SL-LOSS
2025.07.01 04:25,L,1,0,0,1,107173.250,94.760,0.15,0.97,-104.40,L-REV,-8.12,0.49,19.0,11.0,23.15,-0.18,15.1,0.228,SL-LOSS
2025.07.01 04:50,S,0,0,1,1,106975.990,158.780,0.92,0.33,1.92,S-BRK,1.90,0.64,38.2,28.1,4.20,-1.00,15.1,0.210,SL-WIN
2025.07.01 05:30,S,0,0,1,1,106922.240,183.770,1.23,0.96,2.07,S-BRK,3.98,0.02,52.7,12.0,1.28,-1.00,15.1,0.181,SL-WIN
2025.07.01 08:40,S,0,0,1,2,106834.710,232.550,1.63,0.33,1.81,S-BRK,1.98,0.37,31.4,21.3,1.80,-0.55,15.1,0.143,SL-WIN
2025.07.01 14:50,S,0,0,1,2,106012.520,591.100,1.14,0.73,-17.53,S-BRK,4.34,0.60,32.1,23.1,0.51,-0.00,15.1,0.056,SL-LOSS
2025.07.02 15:00,L,0,0,1,2,108394.650,471.020,3.00,0.27,179.24,L-BRK,1.48,0.66,41.5,25.7,1.69,0.31,15.1,0.073,SL-WIN
2025.07.03 04:35,L,0,0,1,1,109009.670,232.360,5.73,0.78,291.26,L-BRK,10.22,0.07,30.5,14.9,8.17,0.00,15.1,0.153,SL-WIN
2025.07.04 13:40,S,0,0,1,2,108408.260,269.740,4.11,0.14,227.24,S-BRK,1.51,0.54,43.8,19.5,23.24,-1.00,15.1,0.126,SL-WIN
2025.07.05 00:00,S,0,0,1,1,108060.520,167.690,0.23,0.98,-107.93,S-BRK,7.07,0.54,35.8,17.9,10.70,-0.46,15.1,0.198,SL-LOSS
2025.07.05 02:20,S,0,0,1,1,107933.050,184.770,0.63,0.99,-108.95,S-BRK,7.20,0.19,30.2,12.5,8.01,-0.06,15.1,0.180,SL-LOSS
2025.07.05 05:40,S,0,0,1,1,108119.480,141.300,0.02,1.00,-109.06,S-BRK,7.04,0.60,35.4,9.2,11.27,-0.00,15.1,0.235,SL-LOSS
2025.07.05 07:20,S,0,0,1,1,108204.840,158.040,1.66,0.10,1.43,S-BRK,1.39,0.52,30.1,11.2,12.29,-0.42,15.1,0.210,SL-WIN
2025.07.06 13:25,L,0,0,1,2,108537.450,158.750,4.12,0.17,159.02,L-BRK,2.87,0.78,70.4,30.1,24.61,1.00,15.1,0.234,SL-WIN
2025.07.07 01:35,L,0,0,1,1,109109.110,289.180,2.26,0.36,60.03,L-BRK,6.09,0.54,33.9,8.3,5.68,0.05,15.1,0.121,SL-WIN
2025.07.08 02:00,S,0,0,1,1,107780.690,285.260,1.06,0.21,2.27,S-BRK,1.04,0.64,51.5,25.3,1.67,-0.80,15.1,0.116,SL-WIN
2025.07.08 02:15,S,0,0,1,1,107677.720,336.060,0.25,1.00,-107.93,S-BRK,1.76,0.01,59.2,22.7,1.57,-0.78,15.1,0.099,SL-LOSS
2025.07.08 11:05,L,0,0,1,2,108925.790,252.960,1.39,0.99,1.53,L-BRK,1.45,0.99,46.3,28.4,7.84,0.57,15.1,0.140,SL-WIN
2025.07.09 12:15,L,0,0,1,2,109492.520,242.970,1.31,0.82,-0.10,L-BRK,1.93,0.76,36.4,18.4,3.44,1.00,15.1,0.146,SL-LOSS
2025.07.10 01:35,L,0,0,1,1,111202.830,223.370,1.57,0.38,1.01,L-BRK,20.33,0.43,36.4,11.4,9.51,0.00,15.1,0.160,SL-WIN
2025.07.10 02:30,L,0,0,1,1,111240.940,290.950,0.04,1.00,-105.45,L-BRK,17.16,0.49,42.8,12.6,6.48,0.00,15.1,0.121,SL-LOSS
2025.07.10 04:35,L,0,0,1,1,111064.030,141.770,0.65,0.94,-109.22,L-BRK,34.00,0.81,31.1,19.7,17.59,0.00,15.1,0.263,SL-LOSS
2025.07.10 06:10,L,0,0,1,1,111130.320,169.660,0.92,0.20,0.27,L-BRK,27.16,0.57,30.3,16.7,13.83,0.00,15.1,0.215,SL-WIN
2025.07.10 08:35,L,0,0,1,2,111336.120,201.190,0.28,1.00,-102.68,L-BRK,23.88,0.36,32.9,12.4,9.48,0.00,15.1,0.178,SL-LOSS
2025.07.11 01:40,L,0,0,1,1,115927.130,381.410,7.80,0.79,553.18,L-BRK,25.06,0.28,31.2,17.6,8.87,0.00,15.1,0.091,SL-WIN
2025.07.12 00:20,S,1,0,0,1,117450.540,207.180,1.81,0.24,-1.45,S-REV,-84.87,0.68,17.1,4.2,84.87,-0.00,15.1,0.149,SL-LOSS
2025.07.12 01:30,L,0,0,1,1,117612.710,294.890,1.96,0.51,28.76,L-BRK,1.04,0.71,43.6,15.8,9.87,0.49,15.1,0.119,SL-WIN
2025.07.13 12:30,L,0,0,1,2,118075.720,203.650,2.68,0.43,21.43,L-BRK,2.12,0.64,31.9,13.7,8.75,0.21,15.1,0.174,SL-WIN
2025.07.13 13:25,L,0,0,1,2,118259.640,375.330,3.39,0.05,53.09,L-BRK,2.01,0.57,31.8,9.6,3.99,1.00,16.1,0.098,SL-WIN
2025.07.13 15:05,L,0,0,1,2,119009.300,704.700,0.60,0.99,-107.05,L-BRK,2.31,0.06,30.5,12.8,2.94,0.00,16.0,0.051,SL-LOSS
2025.07.14 00:20,L,0,0,1,1,119240.390,427.560,9.39,0.96,766.81,L-BRK,5.76,0.64,32.7,18.9,2.93,-0.00,15.9,0.085,SL-WIN
2025.07.15 04:10,S,0,0,1,1,116904.130,867.660,0.77,1.00,-113.14,S-BRK,1.15,0.45,48.0,26.4,1.26,-1.00,15.1,0.038,SL-LOSS
2025.07.15 14:55,S,0,0,1,2,115928.740,888.580,0.25,0.89,-117.46,S-BRK,1.58,0.87,52.5,38.1,0.95,-0.45,15.1,0.037,SL-LOSS
2025.07.18 00:35,L,0,0,1,1,119719.910,449.980,2.50,0.31,42.66,L-BRK,1.20,0.44,32.8,9.6,7.02,-0.08,15.1,0.077,SL-WIN
2025.07.18 04:50,L,0,0,1,1,120527.710,351.470,1.01,0.80,2.10,L-BRK,6.11,0.85,32.6,26.2,3.34,0.19,15.1,0.100,SL-WIN
2025.07.20 14:10,L,0,0,1,2,118557.070,295.500,0.88,0.39,-0.46,L-BRK,1.35,0.25,48.4,25.5,20.34,0.81,15.1,0.119,SL-LOSS
2025.07.20 14:25,L,0,0,1,2,118652.540,368.260,0.63,0.99,-117.64,L-BRK,1.12,0.02,50.3,20.6,14.73,0.81,15.1,0.094,SL-LOSS
2025.07.21 00:15,S,0,0,1,1,116647.110,446.650,0.27,0.98,-113.16,S-BRK,4.36,0.86,34.5,25.6,2.26,0.26,15.1,0.074,SL-LOSS
2025.07.21 03:35,L,0,0,1,1,118446.250,436.260,2.90,0.61,110.34,L-BRK,1.05,0.76,47.3,16.2,1.46,0.07,15.1,0.079,SL-WIN
2025.07.22 01:05,S,0,0,1,1,116986.870,382.610,2.42,0.46,0.90,S-BRK,4.14,0.77,31.0,19.8,2.97,-0.31,15.1,0.087,SL-WIN
2025.07.22 01:20,S,0,0,1,1,117050.660,608.220,0.00,1.00,-110.32,S-BRK,3.19,0.03,33.7,11.6,3.36,0.04,15.1,0.055,SL-LOSS
2025.07.22 01:50,L,1,0,0,1,117841.850,1800.050,1.00,0.72,51.99,L-REV,-2.81,0.69,27.7,13.8,5.88,-0.42,15.1,0.047,SL-WIN
2025.07.23 13:50,S,0,0,1,2,117704.920,609.450,0.61,1.00,-110.18,S-BRK,1.13,0.63,39.5,22.7,5.28,-0.87,15.1,0.054,SL-LOSS
2025.07.24 07:05,S,0,0,1,1,117645.540,471.490,0.02,1.00,-108.72,S-BRK,1.13,1.00,39.1,16.2,6.49,-0.24,15.1,0.070,SL-LOSS
2025.07.24 15:10,L,0,0,1,2,119355.070,645.220,0.00,1.00,-110.64,L-BRK,1.04,0.47,50.8,28.4,2.85,1.00,15.1,0.053,SL-LOSS
2025.07.25 00:40,S,0,0,1,1,117807.890,354.950,7.77,0.19,596.85,S-BRK,1.49,0.83,41.1,30.1,4.03,-1.00,15.1,0.094,SL-WIN
2025.07.25 07:50,S,0,0,1,1,114789.500,574.010,0.05,1.00,-115.92,S-BRK,10.22,0.01,32.2,23.6,2.03,-0.30,15.1,0.058,SL-LOSS
2025.07.25 07:55,S,0,0,1,1,115340.210,659.040,0.08,1.00,-112.55,S-BRK,11.10,0.86,33.2,16.2,0.25,-0.28,15.1,0.050,SL-LOSS
2025.07.25 12:30,S,0,0,1,2,116061.040,395.230,0.16,1.00,-111.76,S-BRK,8.75,0.01,30.6,25.3,9.53,-0.01,15.1,0.083,SL-LOSS
2025.07.25 12:40,S,0,0,1,2,116437.200,482.180,1.06,0.17,-0.09,S-BRK,8.56,0.25,33.8,14.4,6.43,-0.01,15.1,0.069,SL-LOSS
