entryTimeUTC,dir,rev,retest,regimeTrend,session,entry,riskPrice,mfeR,maeR,realizedUsd,entryReason,brkDistAtr,bodyPct,adx,diSpread,runwayAtr,nodeNet,spreadPips,spreadAtr,exitTag
2025.06.19 03:20,S,0,0,1,3,3372.403,2.341,1.09,0.08,4.30,S-BRK,2.19,0.92,23.4,21.8,5.34,-0.05,112.0,0.056,SL-WIN
2025.06.19 03:30,S,0,0,1,3,3373.473,2.570,0.54,0.97,-101.24,S-BRK,3.10,0.41,30.3,18.7,4.38,-0.05,112.0,0.052,SL-LOSS
2025.06.19 03:35,S,0,0,1,3,3374.637,2.803,0.90,0.20,-22.54,S-BRK,1.88,0.66,28.7,8.5,5.11,-0.05,112.0,0.048,SL-LOSS
2025.06.19 05:10,S,0,0,1,3,3373.067,1.754,0.22,0.99,-98.51,S-BRK,3.67,0.67,22.4,11.5,7.18,-0.05,112.0,0.074,SL-LOSS
2025.06.19 14:25,S,0,0,1,1,3362.233,4.139,0.13,1.00,-99.60,S-BRK,1.66,0.89,27.4,21.7,4.85,0.02,112.0,0.033,SL-LOSS
2025.06.19 14:40,S,0,0,1,1,3366.316,3.899,0.88,0.14,2.77,S-BRK,1.30,0.55,30.7,8.3,5.36,0.02,112.0,0.034,SL-WIN
2025.06.20 01:15,S,0,0,1,2,3359.284,3.055,0.23,0.99,-98.46,S-BRK,2.04,0.78,25.1,20.6,5.20,-0.77,112.0,0.046,SL-LOSS
2025.06.20 01:20,S,0,0,1,2,3362.463,3.113,1.01,0.18,3.56,S-BRK,1.86,0.03,25.6,13.0,4.86,-0.77,112.0,0.043,SL-WIN
2025.06.20 01:55,S,0,0,1,2,3356.500,3.860,0.14,1.00,-96.78,S-BRK,1.67,0.96,26.5,17.7,3.67,-0.31,112.0,0.035,SL-LOSS
2025.06.20 02:00,S,0,0,1,2,3359.984,3.989,3.82,0.20,184.01,S-BRK,2.33,0.66,26.7,13.1,2.84,-0.31,112.0,0.034,SL-WIN
2025.06.20 03:25,S,0,0,1,3,3352.562,3.898,0.39,1.00,-98.08,S-BRK,4.46,0.25,51.6,11.0,1.57,-0.32,112.0,0.034,SL-LOSS
2025.06.20 05:05,S,0,0,1,3,3354.272,1.855,4.06,0.57,162.55,S-BRK,4.18,0.44,29.4,8.0,5.79,-0.21,112.0,0.072,SL-WIN
2025.06.20 05:30,S,0,0,1,3,3349.620,2.433,0.68,1.00,-98.96,S-BRK,1.32,0.81,31.5,21.4,2.64,-0.49,112.0,0.056,SL-LOSS
2025.06.20 05:35,S,0,0,1,3,3352.531,2.732,4.41,0.12,146.41,S-BRK,0.97,0.09,32.2,14.2,2.54,-0.17,112.0,0.049,SL-WIN
2025.06.22 22:20,L,0,0,1,2,3382.597,4.243,0.10,0.99,-97.59,L-BRK,2.36,0.56,24.9,15.5,2.26,-0.16,112.0,0.033,SL-LOSS
2025.06.22 22:55,L,0,0,1,2,3379.279,6.268,0.22,0.99,-94.11,L-BRK,1.05,0.73,23.4,14.2,1.01,-0.14,112.0,0.022,SL-LOSS
2025.06.23 14:00,L,0,0,1,1,3376.437,5.678,0.00,0.99,-97.41,L-BRK,3.00,0.82,47.7,18.5,1.96,0.39,112.0,0.024,SL-LOSS
2025.06.23 14:15,L,0,0,1,1,3377.918,6.131,2.55,0.13,145.64,L-BRK,1.10,0.44,35.9,12.4,2.78,0.35,112.0,0.022,SL-WIN
