entryTimeUTC,dir,rev,retest,regimeTrend,session,entry,riskPrice,mfeR,maeR,realizedUsd,entryReason,brkDistAtr,bodyPct,adx,diSpread,runwayAtr,nodeNet,spreadPips,spreadAtr,exitTag
2026.01.02 05:10,L,0,0,1,3,4377.900,4.170,0.93,0.63,18.70,L-BRK,1.87,0.88,27.4,15.5,1.24,-1.00,11.2,0.033,SL-WIN
2026.01.02 07:55,L,0,0,1,3,4382.899,4.288,0.88,0.55,19.93,L-BRK,7.40,0.65,23.1,11.3,0.81,0.28,11.2,0.032,SL-WIN
2026.01.02 08:25,L,0,0,1,3,4385.495,4.144,2.91,0.31,87.08,L-BRK,7.91,0.24,25.1,10.0,0.88,1.00,11.2,0.033,SL-WIN
2026.01.02 08:55,L,0,0,1,3,4387.219,4.647,0.97,0.21,17.74,L-BRK,9.95,0.55,37.3,12.7,1.36,1.00,11.2,0.029,SL-WIN
2026.01.04 23:15,L,0,0,1,2,4365.418,6.934,0.50,1.01,-104.01,L-BRK,2.71,0.87,48.0,35.0,6.21,0.89,11.2,0.020,SL-LOSS
2026.01.04 23:30,L,0,0,1,2,4356.814,7.250,8.87,0.31,521.37,L-BRK,1.98,0.39,49.3,11.0,6.45,-0.34,11.2,0.019,SL-WIN
2026.01.05 01:10,L,0,0,1,2,4403.018,10.563,0.36,1.00,-105.63,L-BRK,5.15,0.39,69.4,26.1,1.31,0.37,11.2,0.013,SL-LOSS
2026.01.05 02:00,L,0,0,1,2,4398.959,10.425,1.45,0.99,19.42,L-BRK,3.26,0.67,42.8,9.4,2.23,0.23,11.2,0.013,SL-WIN
2026.01.05 05:05,L,0,0,1,3,4405.356,4.583,2.01,0.08,20.93,L-BRK,6.08,0.63,23.6,11.9,3.99,0.59,11.2,0.030,SL-WIN
2026.01.05 05:50,L,0,0,1,3,4410.289,5.340,5.57,0.47,358.72,L-BRK,3.76,0.64,32.2,12.1,3.51,0.36,11.2,0.026,SL-WIN
2026.01.05 15:05,L,0,0,1,1,4454.470,8.945,0.04,1.00,-107.34,L-BRK,2.11,0.90,62.2,31.7,0.51,0.57,11.2,0.015,SL-LOSS
2026.01.05 15:10,L,0,0,1,1,4449.270,9.191,0.35,1.00,-110.30,L-BRK,2.46,0.38,60.5,20.3,0.19,0.57,11.2,0.015,SL-LOSS
2026.01.06 05:05,L,0,0,1,3,4467.905,3.739,1.71,0.28,19.89,L-BRK,3.23,0.69,22.9,12.2,0.25,0.76,11.2,0.037,SL-WIN
