entryTimeUTC,dir,rev,retest,regimeTrend,session,entry,riskPrice,mfeR,maeR,realizedUsd,entryReason,brkDistAtr,bodyPct,adx,diSpread,runwayAtr,nodeNet,spreadPips,spreadAtr,exitTag
2026.01.02 05:10,L,0,0,1,3,4377.985,4.255,0.87,0.66,18.27,L-BRK,1.87,0.88,27.4,15.5,1.24,-1.00,28.2,0.083,SL-WIN
2026.01.02 07:55,L,0,0,1,3,4382.984,4.373,0.82,0.58,19.51,L-BRK,7.40,0.65,23.1,11.3,0.81,0.28,28.2,0.080,SL-WIN
2026.01.02 08:25,L,0,0,1,3,4385.580,4.229,2.82,0.34,86.89,L-BRK,7.91,0.24,25.1,10.0,0.88,1.00,28.2,0.084,SL-WIN
2026.01.02 08:55,L,0,0,1,3,4387.304,4.732,0.80,0.25,17.40,L-BRK,9.95,0.55,37.3,12.7,1.36,1.00,28.2,0.074,SL-WIN
2026.01.04 23:15,L,0,0,1,2,4365.503,7.019,0.47,1.00,-105.29,L-BRK,2.71,0.87,48.0,35.0,6.21,0.89,28.2,0.050,SL-LOSS
2026.01.04 23:30,L,0,0,1,2,4356.899,7.335,8.74,0.33,519.51,L-BRK,1.98,0.39,49.3,11.0,6.45,-0.34,28.2,0.047,SL-WIN
2026.01.05 01:10,L,0,0,1,2,4403.103,10.648,0.34,1.01,-106.48,L-BRK,5.15,0.39,69.4,26.1,1.31,0.37,28.2,0.032,SL-LOSS
2026.01.05 02:00,L,0,0,1,2,4399.044,10.510,1.42,0.99,19.25,L-BRK,3.26,0.67,42.8,9.4,2.23,0.23,28.2,0.033,SL-WIN
2026.01.05 05:05,L,0,0,1,3,4405.441,4.668,1.94,0.11,20.52,L-BRK,6.08,0.63,23.6,11.9,3.99,0.59,28.2,0.075,SL-WIN
2026.01.05 05:50,L,0,0,1,3,4410.374,5.425,5.45,0.50,359.19,L-BRK,3.76,0.64,32.2,12.1,3.51,0.36,28.2,0.065,SL-WIN
2026.01.05 15:05,L,0,0,1,1,4454.555,9.030,0.02,1.00,-108.36,L-BRK,2.11,0.90,62.2,31.7,0.51,0.57,28.2,0.038,SL-LOSS
2026.01.05 15:10,L,0,0,1,1,4449.355,9.276,0.33,1.00,-111.32,L-BRK,2.46,0.38,60.5,20.3,0.19,0.57,28.2,0.037,SL-LOSS
2026.01.06 05:05,L,0,0,1,3,4467.990,3.824,1.63,0.32,19.39,L-BRK,3.23,0.69,22.9,12.2,0.25,0.76,28.2,0.094,SL-WIN
2026.01.06 05:35,L,0,0,1,3,4464.190,4.355,0.43,1.01,-113.22,L-BRK,4.50,0.33,33.1,9.8,0.97,-0.00,28.2,0.083,SL-LOSS
2026.01.06 06:35,L,0,0,1,3,4464.531,4.953,0.76,0.71,18.08,L-BRK,1.63,0.58,27.4,16.2,2.42,-0.40,28.2,0.071,SL-WIN
2026.01.06 07:00,L,0,0,1,3,4465.547,4.635,1.04,0.28,21.01,L-BRK,2.09,0.38,33.0,20.7,2.27,-0.40,28.2,0.075,SL-WIN
2026.01.06 14:40,L,0,0,1,1,4479.902,6.876,0.84,0.07,18.85,L-BRK,1.56,0.02,23.8,14.0,0.75,0.43,28.2,0.051,SL-WIN
2026.01.06 14:50,L,0,0,1,1,4488.120,7.086,0.38,1.01,-106.30,L-BRK,1.91,0.41,30.0,19.4,1.06,0.43,28.2,0.049,SL-LOSS
2026.01.06 18:10,L,0,0,1,1,4491.265,5.072,0.55,1.00,-106.52,L-BRK,0.96,0.37,25.8,12.2,0.55,0.00,28.2,0.069,SL-LOSS
2026.01.06 18:55,L,0,0,1,1,4488.761,4.798,0.12,1.03,-110.36,L-BRK,1.74,0.24,23.5,13.6,1.58,-0.15,28.2,0.074,SL-LOSS
2026.01.06 21:00,L,0,0,1,2,4493.413,4.220,1.67,0.41,17.66,L-BRK,3.06,0.48,28.0,19.2,0.92,-0.22,28.2,0.085,SL-WIN
2026.01.07 15:20,S,0,0,1,1,4430.682,9.215,0.00,1.00,-101.36,S-BRK,2.17,0.27,22.7,11.0,0.18,0.00,28.2,0.037,SL-LOSS
2026.01.08 02:35,S,0,0,1,2,4438.972,5.984,0.22,1.01,-101.73,S-BRK,0.96,0.76,58.0,32.2,2.72,-0.35,28.2,0.056,SL-LOSS
2026.01.08 05:00,S,0,0,1,3,4430.136,4.105,3.51,0.10,97.87,S-BRK,1.43,0.54,46.0,20.1,2.36,-0.65,28.2,0.085,SL-WIN
2026.01.08 05:55,S,0,0,1,3,4425.372,5.992,1.55,0.69,17.64,S-BRK,3.51,0.48,60.6,10.8,0.74,0.12,28.2,0.057,SL-WIN
2026.01.08 08:35,S,0,0,1,3,4421.093,5.837,0.18,1.01,-105.07,S-BRK,1.11,0.49,44.4,23.6,1.78,-0.30,28.2,0.058,SL-LOSS
2026.01.08 10:15,S,0,0,1,3,4424.307,4.764,0.22,1.00,-104.80,S-BRK,0.88,0.22,23.8,18.0,3.69,0.10,28.2,0.072,SL-LOSS
2026.01.08 20:30,L,0,0,1,1,4476.347,5.223,1.49,0.85,17.39,L-BRK,1.05,0.57,40.7,37.4,1.99,0.94,28.2,0.068,SL-WIN
2026.01.08 23:05,L,0,0,1,2,4478.521,4.728,0.08,1.03,-108.74,L-BRK,3.02,0.62,42.3,17.7,1.90,0.37,28.2,0.076,SL-LOSS
2026.01.09 02:00,L,0,0,1,2,4475.730,5.581,0.13,1.00,-100.47,L-BRK,1.21,0.60,46.9,26.8,3.52,0.16,28.2,0.062,SL-LOSS
2026.01.09 02:15,L,0,0,1,2,4470.759,5.354,0.90,0.14,19.14,L-BRK,1.83,0.59,45.4,9.7,2.79,0.16,28.2,0.065,SL-WIN
2026.01.09 14:25,L,0,0,1,1,4494.577,8.587,0.00,1.00,-103.05,L-BRK,3.36,0.76,22.1,11.1,0.36,0.99,28.2,0.041,SL-LOSS
2026.01.09 15:25,L,0,0,1,1,4505.514,9.794,1.18,0.04,18.54,L-BRK,1.40,0.61,22.1,12.4,0.28,-0.10,28.2,0.035,SL-WIN
2026.01.09 21:20,L,0,0,1,2,4510.121,4.082,9.58,0.99,797.04,L-BRK,1.12,0.71,32.1,21.3,2.08,0.05,28.2,0.086,TP
2026.01.12 00:05,L,0,0,1,2,4550.421,6.229,8.15,0.33,441.74,L-BRK,7.62,0.54,53.4,26.7,1.22,-0.23,28.2,0.056,SL-WIN
2026.01.12 01:05,L,0,0,1,2,4586.536,10.315,0.45,1.00,-113.46,L-BRK,9.41,0.10,68.2,15.1,1.63,0.00,28.2,0.034,SL-LOSS
2026.01.12 02:40,L,0,0,1,2,4579.082,8.748,0.35,1.01,-113.72,L-BRK,8.12,0.44,24.5,9.9,3.86,0.00,28.2,0.040,SL-LOSS
2026.01.12 05:20,L,0,0,1,3,4572.736,4.899,2.51,0.63,40.79,L-BRK,15.01,0.64,23.2,8.9,7.15,0.00,28.2,0.072,SL-WIN
2026.01.12 07:20,L,0,0,1,3,4584.101,4.879,0.22,1.00,-112.21,L-BRK,14.64,0.74,23.9,18.0,3.96,0.00,28.2,0.072,SL-LOSS
2026.01.12 07:45,L,0,0,1,3,4585.392,5.134,0.83,0.25,18.56,L-BRK,10.73,0.14,24.1,14.1,4.12,0.00,28.2,0.069,SL-WIN
2026.01.12 08:00,L,0,0,1,3,4587.315,5.092,0.13,1.00,-112.02,L-BRK,10.91,0.41,35.0,20.7,3.34,0.00,28.2,0.070,SL-LOSS
2026.01.12 14:00,L,0,0,1,1,4600.479,7.279,0.53,1.00,-109.18,L-BRK,7.02,0.78,58.2,13.3,0.94,0.00,28.2,0.047,SL-LOSS
2026.01.13 14:05,L,0,0,1,1,4614.594,6.859,1.34,0.38,18.80,L-BRK,1.14,0.05,43.9,11.5,3.43,0.43,28.2,0.051,SL-WIN
2026.01.13 14:40,L,0,0,1,1,4625.961,7.776,1.12,0.17,21.84,L-BRK,1.60,0.26,35.3,10.1,2.11,0.51,28.2,0.044,SL-WIN
