entryTimeUTC,dir,rev,retest,regimeTrend,session,entry,riskPrice,mfeR,maeR,realizedUsd,entryReason,brkDistAtr,bodyPct,adx,diSpread,runwayAtr,nodeNet,spreadPips,spreadAtr,exitTag
2026.01.02 05:10,L,0,0,1,3,4377.900,4.170,0.93,0.63,18.70,L-BRK,1.87,0.88,27.4,15.5,1.24,-1.00,11.2,0.033,SL-WIN
2026.01.02 07:55,L,0,0,1,3,4382.899,4.288,0.88,0.55,19.93,L-BRK,7.40,0.65,23.1,11.3,0.81,0.28,11.2,0.032,SL-WIN
2026.01.02 08:25,L,0,0,1,3,4385.495,4.144,2.91,0.31,87.08,L-BRK,7.91,0.24,25.1,10.0,0.88,1.00,11.2,0.033,SL-WIN
2026.01.02 08:55,L,0,0,1,3,4387.219,4.647,0.97,0.21,17.74,L-BRK,9.95,0.55,37.3,12.7,1.36,1.00,11.2,0.029,SL-WIN
2026.01.05 01:10,L,0,0,1,2,4403.018,10.563,0.36,1.00,-105.63,L-BRK,5.15,0.39,69.4,26.1,1.31,0.37,11.2,0.013,SL-LOSS
2026.01.05 02:00,L,0,0,1,2,4398.959,10.425,1.45,0.99,19.42,L-BRK,3.26,0.67,42.8,9.4,2.23,0.23,11.2,0.013,SL-WIN
2026.01.05 05:05,L,0,0,1,3,4405.356,4.583,2.01,0.08,17.42,L-BRK,6.08,0.63,23.6,11.9,3.99,0.59,11.2,0.030,SL-WIN
2026.01.05 05:50,L,0,0,1,3,4410.289,5.340,5.57,0.47,337.30,L-BRK,3.76,0.64,32.2,12.1,3.51,0.36,11.2,0.026,SL-WIN
2026.01.05 15:05,L,0,0,1,1,4454.470,8.945,0.04,1.00,-107.34,L-BRK,2.11,0.90,62.2,31.7,0.51,0.57,11.2,0.015,SL-LOSS
2026.01.05 15:10,L,0,0,1,1,4449.270,9.191,0.35,1.00,-101.10,L-BRK,2.46,0.38,60.5,20.3,0.19,0.57,11.2,0.015,SL-LOSS
2026.01.05 16:00,L,0,0,1,1,4448.714,8.680,0.03,1.00,-104.16,L-BRK,1.04,0.66,27.7,9.9,1.00,-0.09,11.2,0.016,SL-LOSS
2026.01.06 05:05,L,0,0,1,3,4467.905,3.739,1.71,0.28,19.75,L-BRK,3.23,0.69,22.9,12.2,0.25,0.76,11.2,0.037,SL-WIN
2026.01.06 06:35,L,0,0,1,3,4464.446,4.868,0.81,0.68,18.23,L-BRK,1.63,0.58,27.4,16.2,2.42,-0.40,11.2,0.028,SL-WIN
