entryTimeUTC,dir,rev,retest,regimeTrend,session,entry,riskPrice,mfeR,maeR,realizedUsd,entryReason,brkDistAtr,bodyPct,adx,diSpread,runwayAtr,nodeNet,spreadPips,spreadAtr,exitTag
2026.01.05 15:05,L,0,0,1,1,4454.555,9.030,0.02,1.00,-99.33,L-BRK,2.11,0.90,62.2,31.7,0.51,0.65,28.2,0.038,SL-LOSS
2026.01.05 15:10,L,0,0,1,1,4449.355,9.276,0.33,1.00,-102.04,L-BRK,2.46,0.38,60.5,20.3,0.19,0.65,28.2,0.037,SL-LOSS
2026.01.05 16:00,L,0,0,1,1,4448.799,8.765,0.01,1.00,-105.18,L-BRK,1.04,0.66,27.7,9.9,1.00,-0.08,28.2,0.040,SL-LOSS
2026.01.06 05:05,L,0,0,1,3,4467.990,3.824,1.63,0.32,16.56,L-BRK,3.23,0.69,22.9,12.2,0.25,0.76,28.2,0.094,SL-WIN
2026.01.06 05:35,L,0,0,1,3,4464.190,4.355,0.43,1.01,-104.51,L-BRK,4.50,0.33,33.1,9.8,0.97,-0.00,28.2,0.083,SL-LOSS
2026.01.06 06:35,L,0,0,1,3,4464.531,4.953,0.76,0.71,17.70,L-BRK,1.63,0.58,27.4,16.2,2.42,-0.40,28.2,0.071,SL-WIN
2026.01.06 07:00,L,0,0,1,3,4465.547,4.635,1.04,0.28,17.30,L-BRK,2.09,0.38,33.0,20.7,2.27,-0.40,28.2,0.075,SL-WIN
2026.01.06 14:40,L,0,0,1,1,4479.902,6.876,0.84,0.07,18.57,L-BRK,1.56,0.02,23.8,14.0,0.75,0.43,28.2,0.051,SL-WIN
2026.01.06 14:50,L,0,0,1,1,4488.120,7.086,0.38,1.01,-99.21,L-BRK,1.91,0.41,30.0,19.4,1.06,0.43,28.2,0.049,SL-LOSS
2026.01.06 16:40,L,0,0,1,1,4488.332,6.959,0.82,0.97,18.06,L-BRK,0.92,0.32,31.3,23.7,0.73,0.20,28.2,0.050,SL-WIN
2026.01.06 18:20,L,0,0,1,1,4488.686,5.165,0.27,1.01,-98.14,L-BRK,2.44,0.02,27.6,9.9,0.77,0.20,28.2,0.068,SL-LOSS
2026.01.06 21:00,L,0,0,1,2,4493.413,4.220,1.67,0.41,17.38,L-BRK,3.06,0.48,28.0,19.2,0.92,-0.22,28.2,0.085,SL-WIN
2026.01.07 15:20,S,0,0,1,1,4430.682,9.215,0.00,1.00,-92.15,S-BRK,2.17,0.27,22.7,11.0,0.18,0.00,28.2,0.037,SL-LOSS
2026.01.08 02:35,S,0,0,1,2,4438.972,5.984,0.22,1.01,-95.74,S-BRK,0.96,0.76,58.0,32.2,2.72,-0.35,28.2,0.056,SL-LOSS
2026.01.08 04:45,S,0,0,1,3,4431.103,4.319,3.56,0.58,104.61,S-BRK,1.22,0.74,39.5,29.3,2.36,-0.65,28.2,0.081,SL-WIN
2026.01.08 05:55,S,0,0,1,3,4425.372,5.992,1.55,0.69,17.39,S-BRK,3.51,0.48,60.6,10.8,0.74,0.12,28.2,0.057,SL-WIN
2026.01.08 08:35,S,0,0,1,3,4421.093,5.837,0.18,1.01,-93.40,S-BRK,1.11,0.49,44.4,23.6,1.78,-0.30,28.2,0.058,SL-LOSS
2026.01.08 10:15,S,0,0,1,3,4424.307,4.764,0.22,1.00,-95.27,S-BRK,0.88,0.22,23.8,18.0,3.69,0.10,28.2,0.072,SL-LOSS
2026.01.08 20:30,L,0,0,1,1,4476.347,5.223,1.49,0.85,17.22,L-BRK,1.05,0.57,40.7,37.4,1.99,0.94,28.2,0.068,SL-WIN
2026.01.08 23:05,L,0,0,1,2,4478.521,4.728,0.08,1.03,-99.28,L-BRK,3.02,0.62,42.3,17.7,1.90,0.37,28.2,0.076,SL-LOSS
2026.01.09 02:00,L,0,0,1,2,4475.730,5.581,0.13,1.00,-94.89,L-BRK,1.21,0.60,46.9,26.8,3.52,0.16,28.2,0.062,SL-LOSS
2026.01.09 02:15,L,0,0,1,2,4470.759,5.354,0.90,0.14,14.93,L-BRK,1.83,0.59,45.4,9.7,2.79,0.16,28.2,0.065,SL-WIN
2026.01.09 14:25,L,0,0,1,1,4494.577,8.587,0.00,1.00,-94.46,L-BRK,3.36,0.76,22.1,11.1,0.36,0.99,28.2,0.041,SL-LOSS
2026.01.09 15:25,L,0,0,1,1,4505.514,9.794,1.18,0.04,18.14,L-BRK,1.40,0.61,22.1,12.4,0.28,-0.10,28.2,0.035,SL-WIN
2026.01.09 17:00,L,0,0,1,1,4507.363,7.297,0.42,1.00,-94.86,L-BRK,5.72,0.37,27.4,11.6,1.84,0.00,28.2,0.048,SL-LOSS
2026.01.09 21:20,L,0,0,1,2,4510.121,4.082,9.58,0.99,718.83,L-BRK,1.12,0.71,32.1,21.3,2.08,0.05,28.2,0.086,TP
2026.01.12 00:05,L,0,0,1,2,4550.421,6.229,8.15,0.33,406.91,L-BRK,7.62,0.54,53.4,26.7,1.22,-0.23,28.2,0.056,SL-WIN
2026.01.12 01:05,L,0,0,1,2,4586.536,10.315,0.45,1.00,-103.15,L-BRK,9.41,0.10,68.2,15.1,1.63,0.00,28.2,0.034,SL-LOSS
2026.01.12 02:40,L,0,0,1,2,4579.082,8.748,0.35,1.01,-104.97,L-BRK,8.12,0.44,24.5,9.9,3.86,0.00,28.2,0.040,SL-LOSS
2026.01.12 05:20,L,0,0,1,3,4572.736,4.899,2.51,0.63,35.95,L-BRK,15.01,0.64,23.2,8.9,7.15,0.00,28.2,0.072,SL-WIN
2026.01.12 07:20,L,0,0,1,3,4584.101,4.879,0.22,1.00,-102.46,L-BRK,14.64,0.74,23.9,18.0,3.96,0.00,28.2,0.072,SL-LOSS
2026.01.12 07:45,L,0,0,1,3,4585.392,5.134,0.83,0.25,18.16,L-BRK,10.73,0.14,24.1,14.1,4.12,0.00,28.2,0.069,SL-WIN
