entryTimeUTC,dir,rev,retest,regimeTrend,session,entry,riskPrice,mfeR,maeR,realizedUsd,entryReason,brkDistAtr,bodyPct,adx,diSpread,runwayAtr,nodeNet,spreadPips,spreadAtr,exitTag
2025.06.01 22:51,L,0,0,1,2,3309.973,2.524,2.69,0.18,79.20,L-BRK,1.34,0.89,29.0,24.2,5.91,0.58,112.0,0.047,SL-WIN
2025.06.02 00:12,L,0,0,1,2,3313.336,1.893,0.87,0.45,19.69,L-BRK,4.52,0.67,26.2,9.8,5.76,0.58,112.0,0.066,SL-WIN
2025.06.02 00:18,L,0,0,1,2,3313.772,1.856,0.00,1.00,-101.58,L-BRK,4.11,0.18,25.2,10.4,5.64,0.58,112.0,0.063,SL-LOSS
2025.06.02 00:57,L,0,0,1,2,3311.618,3.048,0.73,0.99,-102.69,L-BRK,1.76,0.59,22.5,8.5,4.19,-0.15,112.0,0.039,SL-LOSS
2025.06.02 03:30,S,1,0,0,3,3304.465,12.305,0.08,1.00,-98.45,S-REV,-10.49,0.96,19.2,16.5,20.46,0.00,112.0,0.067,SL-LOSS
2025.06.02 04:54,L,0,0,1,3,3317.073,1.610,0.77,0.98,-101.81,L-BRK,3.90,0.40,46.3,25.9,1.46,0.41,112.0,0.076,SL-LOSS
2025.06.02 04:57,L,0,0,1,3,3314.019,1.838,9.15,0.06,739.71,L-BRK,7.48,0.74,48.3,25.7,0.93,0.10,112.0,0.066,TP
2025.06.02 06:18,L,0,0,1,3,3334.729,2.456,0.00,0.99,-103.87,L-BRK,9.44,0.55,83.1,40.2,2.96,-0.36,112.0,0.047,SL-LOSS
2025.06.02 14:00,L,0,0,1,1,3373.631,4.432,0.40,1.00,-106.75,L-BRK,5.83,0.86,42.2,27.4,1.35,0.00,112.0,0.027,SL-LOSS
2025.06.02 14:12,L,0,0,1,1,3374.572,4.340,0.83,0.38,18.20,L-BRK,5.47,0.39,39.0,12.8,0.88,0.00,112.0,0.026,SL-WIN
2025.06.02 14:48,S,1,0,0,1,3376.601,5.089,1.30,0.51,18.56,S-REV,-23.58,0.64,31.8,6.6,29.61,0.00,112.0,0.033,SL-WIN
2025.06.02 22:06,S,1,0,0,2,3384.601,2.438,0.10,0.98,-107.33,S-REV,-43.39,0.80,24.5,6.9,65.96,0.00,112.0,0.071,SL-LOSS
2025.06.03 07:18,L,1,0,0,3,3357.200,6.031,1.28,0.50,15.81,L-REV,-6.34,0.61,20.9,4.5,10.61,-0.00,112.0,0.034,SL-WIN
2025.06.03 14:00,S,0,0,1,1,3337.360,4.798,0.86,0.39,19.41,S-BRK,2.28,0.71,44.0,18.0,2.07,-0.30,112.0,0.023,SL-WIN
2025.06.03 14:06,S,0,0,1,1,3336.779,5.479,0.00,1.00,-104.50,S-BRK,4.51,0.58,47.8,19.7,0.14,-0.11,112.0,0.021,SL-LOSS
2025.06.04 02:06,L,0,0,1,2,3370.933,2.794,0.62,0.99,-101.85,L-BRK,1.02,0.57,70.3,18.8,2.36,0.47,112.0,0.042,SL-LOSS
