entryTimeUTC,dir,rev,retest,regimeTrend,session,entry,riskPrice,mfeR,maeR,realizedUsd,entryReason,brkDistAtr,bodyPct,adx,diSpread,runwayAtr,nodeNet,spreadPips,spreadAtr,exitTag
2025.01.02 04:40,L,0,0,1,1,95730.330,368.020,0.57,0.98,-99.43,L-BRK,3.11,0.88,31.4,35.2,4.04,0.55,20.3,0.129,SL-LOSS
2025.01.02 07:20,L,0,0,1,1,95801.110,287.180,0.82,0.51,-1.74,L-BRK,2.95,0.31,31.9,23.9,4.50,0.11,20.3,0.167,SL-LOSS
2025.01.02 08:15,L,0,0,1,2,95826.120,278.760,4.07,0.89,115.69,L-BRK,3.77,0.33,31.0,11.8,2.41,0.11,20.2,0.171,SL-WIN
2025.01.02 14:30,L,0,0,1,2,96639.930,648.930,1.06,0.66,2.05,L-BRK,4.50,0.97,32.1,11.8,4.58,0.00,20.2,0.071,SL-WIN
2025.01.05 14:20,S,0,0,1,2,97390.060,266.550,0.14,1.00,-103.50,S-BRK,2.19,0.93,37.8,27.5,10.85,-0.82,20.3,0.168,SL-LOSS
2025.01.06 02:05,L,0,0,1,1,99222.920,440.390,0.15,1.00,-101.66,L-BRK,3.00,0.46,32.5,27.9,2.30,0.21,20.2,0.106,SL-LOSS
2025.01.06 02:15,L,0,0,1,1,98906.020,485.930,2.06,0.58,42.47,L-BRK,3.08,0.53,33.8,11.1,1.36,0.21,20.2,0.092,SL-WIN
2025.01.06 11:25,L,0,0,1,2,99225.600,319.020,1.48,0.28,2.00,L-BRK,6.04,0.69,32.2,22.5,5.89,0.00,20.2,0.148,SL-WIN
2025.01.06 15:05,L,0,0,1,2,101090.100,1090.660,1.55,0.16,75.27,L-BRK,4.98,0.38,31.5,16.6,0.67,0.00,20.2,0.041,SL-WIN
2025.01.07 03:35,L,0,0,1,1,101744.840,224.200,0.94,0.98,0.85,L-BRK,24.81,0.69,34.3,8.7,11.46,0.00,20.2,0.217,SL-WIN
2025.01.07 08:50,L,0,0,1,2,101930.910,214.300,0.07,1.00,-98.59,L-BRK,12.21,0.62,30.4,14.0,9.09,0.00,20.2,0.228,SL-LOSS
2025.01.07 15:40,S,0,0,1,2,97532.150,1232.850,1.15,0.64,30.88,S-BRK,1.05,0.58,53.0,33.0,0.91,-0.72,20.3,0.036,SL-WIN
2025.01.08 03:30,S,0,0,1,1,96792.490,393.320,3.95,0.15,168.48,S-BRK,7.05,0.65,30.9,12.8,3.12,-0.06,20.3,0.113,SL-WIN
2025.01.08 09:45,S,0,0,1,2,95736.600,266.560,1.27,0.22,1.35,S-BRK,9.48,0.21,30.4,14.2,4.52,-0.00,20.3,0.168,SL-WIN
2025.01.08 10:20,S,0,0,1,2,95722.260,354.340,3.44,0.96,11.19,S-BRK,8.15,0.46,37.7,11.1,2.68,-0.00,20.3,0.124,SL-WIN
2025.01.09 02:05,S,0,0,1,1,93898.260,487.030,0.96,0.31,-20.61,S-BRK,1.82,0.15,32.4,27.6,17.95,-0.00,20.3,0.091,SL-LOSS
2025.01.09 02:10,S,0,0,1,1,94047.070,595.020,0.01,0.99,-101.17,S-BRK,5.84,0.81,36.6,28.0,6.47,-0.00,20.3,0.075,SL-LOSS
2025.01.09 02:15,S,0,0,1,1,94307.890,669.690,0.87,0.82,-22.70,S-BRK,4.26,0.19,35.9,14.7,5.93,-0.00,20.3,0.067,SL-LOSS
2025.01.09 07:35,S,0,0,1,1,93576.150,403.270,2.21,0.25,2.23,S-BRK,2.18,0.65,39.9,38.9,6.41,-0.99,20.3,0.112,SL-WIN
2025.01.09 13:25,S,0,0,1,2,92792.310,449.180,2.39,0.16,1.54,S-BRK,1.57,0.60,47.2,27.8,1.71,-0.61,20.3,0.101,SL-WIN
2025.01.12 09:45,S,0,0,1,2,93742.660,246.230,0.10,0.99,-98.52,S-BRK,1.34,0.79,65.7,36.2,19.22,-1.00,20.3,0.184,SL-LOSS
2025.01.13 00:35,L,0,0,1,1,95733.710,561.510,0.14,1.00,-96.10,L-BRK,3.31,0.63,60.1,29.5,0.96,0.78,20.3,0.083,SL-LOSS
2025.01.13 06:45,S,0,0,1,1,93323.790,389.320,0.31,1.00,-97.51,S-BRK,1.60,0.16,34.3,30.6,4.44,-0.69,20.3,0.116,SL-LOSS
2025.01.13 07:05,S,0,0,1,1,93601.080,437.270,9.80,0.69,964.58,S-BRK,2.02,0.34,32.1,10.4,2.33,-0.69,20.3,0.102,TP
2025.01.13 14:35,S,0,0,1,2,90173.650,897.660,0.05,0.99,-107.97,S-BRK,11.96,0.93,39.9,24.8,2.64,-0.04,20.3,0.050,SL-LOSS
2025.01.13 14:40,S,0,0,1,2,91195.500,1063.460,0.25,1.00,-107.03,S-BRK,9.00,0.22,37.4,10.6,2.90,-0.04,20.3,0.042,SL-LOSS
2025.01.14 09:25,L,0,0,1,2,96462.180,488.140,2.01,0.34,1.89,L-BRK,2.01,0.90,42.1,36.5,1.54,0.26,20.2,0.095,SL-WIN
2025.01.15 04:05,L,0,0,1,1,97513.610,460.990,0.00,1.00,-101.90,L-BRK,2.76,0.87,30.2,24.3,0.28,0.10,20.2,0.100,SL-LOSS
2025.01.15 13:35,L,0,0,1,2,98483.390,642.580,2.11,0.38,33.23,L-BRK,4.73,0.93,54.2,30.8,0.38,0.44,20.2,0.070,SL-WIN
2025.01.16 00:00,L,0,0,1,1,100587.100,468.840,0.50,1.00,-104.72,L-BRK,16.52,0.86,49.2,31.2,2.36,0.00,20.2,0.100,SL-LOSS
2025.01.16 00:20,L,0,0,1,1,100439.740,601.900,0.20,0.98,-104.42,L-BRK,10.23,0.02,45.0,11.0,2.35,0.00,20.2,0.076,SL-LOSS
2025.01.16 07:00,L,0,0,1,1,99830.100,279.590,0.03,0.98,-100.66,L-BRK,17.70,0.69,30.8,14.4,9.84,0.00,20.2,0.171,SL-LOSS
2025.01.16 10:30,L,0,0,1,2,99390.300,335.600,0.04,1.00,-101.41,L-BRK,1.48,0.51,30.4,17.8,10.71,0.06,20.2,0.141,SL-LOSS
2025.01.17 01:40,L,0,0,1,1,101655.660,512.400,0.94,0.91,0.88,L-BRK,2.83,0.92,43.1,39.9,2.60,0.28,20.2,0.090,SL-WIN
2025.01.17 04:55,L,0,0,1,1,101435.760,355.110,0.84,0.25,1.97,L-BRK,4.97,0.68,32.9,24.5,5.38,0.43,20.2,0.132,SL-WIN
2025.01.17 08:35,L,0,0,1,2,101983.260,386.550,9.40,0.79,948.22,L-BRK,8.91,0.74,31.3,29.9,0.88,0.00,20.2,0.121,TP
2025.01.18 05:00,L,0,0,1,1,103716.840,570.040,0.00,1.00,-108.80,L-BRK,3.12,0.83,30.8,9.7,9.13,-0.13,20.2,0.081,SL-LOSS
2025.01.18 12:20,L,0,0,1,2,103824.020,408.310,0.00,1.00,-108.41,L-BRK,1.13,0.99,38.3,31.7,12.31,0.40,20.2,0.114,SL-LOSS
2025.01.18 14:00,L,0,0,1,2,104278.540,534.750,0.41,1.00,-108.14,L-BRK,3.28,0.89,33.1,23.0,7.24,0.21,20.2,0.084,SL-LOSS
2025.01.18 15:35,L,0,0,1,2,104663.310,549.370,0.59,0.99,-105.55,L-BRK,2.50,0.82,30.1,27.3,6.39,-0.17,20.2,0.084,SL-LOSS
2025.01.19 02:35,L,0,0,1,1,105070.500,408.340,0.41,0.99,-102.86,L-BRK,1.28,0.34,52.2,31.8,3.45,-0.49,20.2,0.114,SL-LOSS
2025.01.19 06:30,L,0,0,1,1,105165.980,279.570,1.38,0.07,1.85,L-BRK,1.40,0.72,43.3,19.3,4.38,0.48,20.2,0.142,SL-WIN
2025.01.19 07:10,L,0,0,1,1,105311.850,353.160,0.06,1.00,-102.76,L-BRK,1.41,0.16,44.2,9.1,4.57,0.58,20.2,0.134,SL-LOSS
