entryTimeUTC,dir,rev,retest,regimeTrend,session,entry,riskPrice,mfeR,maeR,realizedUsd,entryReason,brkDistAtr,bodyPct,adx,diSpread,runwayAtr,nodeNet,spreadPips,spreadAtr,exitTag
2025.01.01 23:03,L,0,0,1,2,2625.159,0.560,1.26,0.46,-16.20,L-BRK,10.26,0.28,33.9,14.2,7.55,0.00,112.0,0.251,SL-LOSS
2025.01.01 23:09,L,0,0,1,2,2625.032,0.653,0.00,0.97,-101.90,L-BRK,6.10,0.53,35.8,12.3,4.66,0.00,112.0,0.215,SL-LOSS
2025.01.02 01:30,L,0,0,1,2,2633.760,1.873,0.35,0.99,-99.75,L-BRK,5.15,0.55,27.3,22.1,0.99,0.00,112.0,0.064,SL-LOSS
2025.01.02 10:18,L,0,0,1,3,2643.463,1.733,1.70,0.23,18.84,L-BRK,3.79,0.28,25.8,9.2,4.06,0.00,112.0,0.067,SL-WIN
2025.01.02 14:45,L,0,0,1,1,2650.924,2.432,0.00,0.98,-97.28,L-BRK,2.65,0.19,41.4,16.8,0.90,-0.05,112.0,0.049,SL-LOSS
2025.01.02 14:48,L,0,0,1,1,2647.789,2.368,0.65,1.00,-95.40,L-BRK,3.35,0.69,40.6,11.0,0.14,-0.05,112.0,0.047,SL-LOSS
2025.01.02 15:36,L,0,0,1,1,2653.218,2.228,1.19,0.90,-17.35,L-BRK,4.54,0.74,22.9,14.2,0.65,-1.00,112.0,0.052,SL-LOSS
2025.01.02 16:12,L,0,0,1,1,2653.683,2.089,3.25,0.17,165.36,L-BRK,5.40,0.98,24.1,13.5,1.03,0.00,112.0,0.056,SL-WIN
2025.01.02 23:06,L,0,0,1,2,2658.253,0.762,1.72,0.72,51.54,L-BRK,3.54,0.08,26.8,8.5,4.15,-0.13,112.0,0.171,SL-WIN
2025.01.03 00:00,L,0,0,1,2,2659.900,0.742,1.68,0.16,1.47,L-BRK,5.45,0.34,34.5,14.9,3.83,-0.13,112.0,0.177,SL-WIN
2025.01.03 00:18,L,0,0,1,2,2659.694,0.892,1.18,0.64,-39.60,L-BRK,9.09,0.57,48.8,12.7,0.33,-0.13,112.0,0.144,SL-LOSS
