entryTimeUTC,dir,rev,retest,regimeTrend,session,entry,riskPrice,mfeR,maeR,realizedUsd,entryReason,brkDistAtr,bodyPct,adx,diSpread,runwayAtr,nodeNet,spreadPips,spreadAtr,exitTag
2024.12.31 21:55,L,0,0,1,2,2625.315,1.650,0.33,0.99,-101.33,L-BRK,12.93,0.33,32.3,11.2,4.71,0.00,112.0,0.182,SL-LOSS
2025.01.02 00:20,L,0,0,1,2,2626.271,1.440,1.17,0.58,2.62,L-BRK,6.71,0.07,24.0,17.4,1.70,0.00,112.0,0.100,SL-WIN
2025.01.02 01:10,L,0,0,1,2,2629.678,1.859,3.70,0.18,151.16,L-BRK,6.70,0.66,23.8,10.0,0.94,0.00,112.0,0.073,SL-WIN
2025.01.02 02:55,L,0,0,1,2,2634.802,2.030,0.28,0.99,-101.80,L-BRK,7.47,0.55,34.2,12.1,1.56,0.00,112.0,0.069,SL-LOSS
2025.01.02 06:45,L,0,0,1,3,2633.931,1.556,1.30,0.38,-39.10,L-BRK,7.52,0.26,22.6,14.1,2.03,0.00,112.0,0.092,SL-LOSS
2025.01.02 20:25,L,0,0,1,1,2659.969,1.691,0.31,2.01,-145.29,L-BRK,1.95,0.97,33.0,32.6,0.87,0.32,112.0,0.083,SL-LOSS
2025.01.02 23:15,L,0,0,1,2,2658.550,1.149,0.88,0.58,-58.99,L-BRK,1.60,0.21,23.8,11.0,2.86,0.17,112.0,0.130,SL-LOSS
2025.01.03 00:00,L,0,0,1,2,2660.339,1.088,0.78,0.98,-97.01,L-BRK,2.23,0.20,30.7,14.5,3.09,0.17,112.0,0.143,SL-LOSS
2025.01.03 03:15,L,0,0,1,3,2664.296,2.647,0.36,0.98,-95.44,L-BRK,6.24,0.03,23.0,12.7,0.67,0.00,112.0,0.053,SL-LOSS
2025.01.03 20:40,S,0,0,1,1,2638.269,1.056,1.41,2.47,-128.43,S-BRK,1.08,0.51,34.0,22.0,7.61,-0.49,112.0,0.116,SL-LOSS
2025.01.06 05:00,S,0,0,1,3,2635.610,2.006,1.99,0.38,18.14,S-BRK,1.07,0.05,47.4,14.5,0.81,-0.91,112.0,0.069,SL-WIN
2025.01.06 06:20,S,0,0,1,3,2631.699,2.145,3.03,0.97,122.19,S-BRK,3.32,0.47,30.4,16.2,1.55,0.01,112.0,0.064,SL-WIN
2025.01.06 10:10,S,0,0,1,3,2631.373,1.649,0.06,1.00,-96.81,S-BRK,3.41,0.68,24.9,9.9,4.45,-0.23,112.0,0.081,SL-LOSS
2025.01.06 14:00,S,0,0,1,1,2627.032,5.365,2.31,0.57,23.37,S-BRK,1.41,0.52,41.9,20.3,0.59,-0.55,112.0,0.025,SL-WIN
2025.01.07 06:10,L,0,0,1,3,2645.454,2.001,0.21,1.00,-95.08,L-BRK,0.94,0.74,52.5,19.8,2.03,0.35,112.0,0.072,SL-LOSS
2025.01.07 14:00,L,0,0,1,1,2660.451,3.867,0.34,1.00,-94.10,L-BRK,4.97,0.19,70.0,17.1,0.57,-0.04,112.0,0.036,SL-LOSS
2025.01.07 14:30,L,0,0,1,1,2661.745,3.607,0.36,0.99,-93.91,L-BRK,4.33,0.26,40.9,14.9,1.33,-0.03,112.0,0.039,SL-LOSS
2025.01.07 18:05,S,1,0,0,1,2650.473,13.819,0.37,1.00,-96.83,S-REV,-10.41,0.84,15.4,7.3,19.28,-0.00,112.0,0.060,SL-LOSS
2025.01.08 14:10,L,0,0,1,1,2662.416,3.777,1.39,0.52,2.96,L-BRK,2.15,0.47,59.0,26.8,0.70,0.04,112.0,0.036,SL-WIN
2025.01.08 14:45,L,0,0,1,1,2665.385,3.316,0.25,0.99,-90.10,L-BRK,3.55,0.30,55.7,12.1,0.83,0.05,112.0,0.041,SL-LOSS
2025.01.08 15:35,L,0,0,1,1,2666.703,3.760,0.17,0.99,-90.31,L-BRK,3.58,0.66,24.1,12.9,0.59,0.05,112.0,0.037,SL-LOSS
2025.01.08 20:50,L,0,0,1,1,2663.860,1.536,0.16,1.89,-86.74,L-BRK,1.10,0.73,27.8,28.2,7.01,0.56,112.0,0.089,SL-LOSS
2025.01.08 23:50,L,0,0,1,2,2662.770,1.022,0.10,0.95,-229.52,L-BRK,3.31,0.65,23.7,12.0,9.57,0.27,112.0,0.151,SL-LOSS
2025.01.09 03:35,L,0,0,1,3,2661.908,1.414,0.00,0.98,-86.87,L-BRK,0.97,0.61,37.6,26.2,8.45,0.16,112.0,0.099,SL-LOSS
2025.01.09 03:45,L,0,0,1,3,2660.824,1.421,0.00,0.99,-86.40,L-BRK,1.68,0.43,37.8,9.6,7.74,0.16,112.0,0.103,SL-LOSS
