entryTimeUTC,dir,rev,retest,regimeTrend,session,entry,riskPrice,mfeR,maeR,realizedUsd,entryReason,brkDistAtr,bodyPct,adx,diSpread,runwayAtr,nodeNet,spreadPips,spreadAtr,exitTag
2025.06.02 07:20,L,0,0,1,1,105456.850,290.680,1.95,0.73,127.70,L-BRK,1.38,0.51,31.9,16.7,4.09,0.88,20.3,0.166,SL-WIN
2025.06.02 08:30,L,0,0,1,2,105812.250,361.540,0.01,1.00,-103.30,L-BRK,5.73,0.58,37.3,21.2,1.04,0.07,20.3,0.131,SL-LOSS
2025.06.03 00:10,L,0,0,1,1,106267.530,341.920,0.95,0.62,-0.05,L-BRK,5.97,0.64,33.6,14.2,2.36,0.02,20.3,0.139,SL-LOSS
2025.06.03 14:45,L,0,0,1,2,106249.230,599.850,1.06,0.06,2.11,L-BRK,2.97,0.94,34.0,26.8,0.74,0.07,20.3,0.078,SL-WIN
2025.06.04 14:05,S,0,0,1,2,104323.290,448.600,0.00,1.00,-99.23,S-BRK,1.79,0.91,33.7,30.8,3.98,-1.00,15.3,0.076,SL-LOSS
2025.06.05 05:55,S,0,0,1,1,104628.990,213.930,1.34,0.33,2.39,S-BRK,1.48,0.46,48.7,35.4,5.42,-0.87,15.3,0.157,SL-WIN
2025.06.05 13:05,L,0,0,1,2,105933.060,414.910,0.08,0.99,-100.18,L-BRK,1.10,0.76,74.4,32.2,6.19,1.00,15.3,0.084,SL-LOSS
2025.06.05 14:10,S,0,0,1,2,104282.860,551.740,0.73,1.00,-99.36,S-BRK,1.28,0.65,54.5,24.2,0.53,-0.68,15.3,0.061,SL-LOSS
2025.06.06 00:00,S,0,0,1,1,101488.420,323.680,1.12,0.28,1.99,S-BRK,19.21,0.65,30.1,15.6,7.66,0.04,15.3,0.104,SL-WIN
2025.06.06 00:25,S,0,0,1,1,101510.110,390.660,0.00,0.98,-100.58,S-BRK,17.84,0.11,41.7,14.5,5.92,0.03,15.3,0.086,SL-LOSS
2025.06.06 02:10,S,0,0,1,1,101803.260,271.650,0.81,0.06,-1.81,S-BRK,21.66,0.22,31.5,21.6,11.66,0.01,15.3,0.124,SL-LOSS
2025.06.07 12:40,L,0,0,1,2,105762.550,260.360,0.00,0.99,-96.53,L-BRK,1.05,0.66,30.5,24.5,5.01,1.00,15.1,0.135,SL-LOSS
2025.06.07 13:30,L,0,0,1,2,105698.970,309.710,0.74,1.00,-96.18,L-BRK,1.64,0.56,30.8,21.8,2.71,0.11,15.1,0.113,SL-LOSS
2025.06.08 15:10,L,0,0,1,2,106131.450,250.530,0.93,0.62,-0.48,L-BRK,1.02,0.56,48.1,32.1,1.52,0.65,15.1,0.142,SL-LOSS
2025.06.09 09:30,L,0,0,1,2,106253.780,260.930,2.82,0.15,175.92,L-BRK,1.97,0.87,32.2,19.3,3.60,-0.12,15.1,0.136,SL-WIN
2025.06.09 09:50,L,0,0,1,2,106771.560,372.750,2.10,0.38,136.52,L-BRK,4.30,0.36,47.4,36.0,1.24,0.99,15.1,0.093,SL-WIN
2025.06.09 10:20,L,0,0,1,2,107353.480,529.140,1.34,0.47,0.86,L-BRK,6.23,0.52,55.9,29.7,0.62,-0.12,15.1,0.065,SL-WIN
2025.06.09 14:35,L,0,0,1,2,107908.860,557.270,1.77,0.57,111.69,L-BRK,7.34,0.82,30.8,19.5,0.76,0.00,15.1,0.061,SL-WIN
