entryTimeUTC,dir,rev,retest,regimeTrend,session,entry,riskPrice,mfeR,maeR,realizedUsd,entryReason,brkDistAtr,bodyPct,adx,diSpread,runwayAtr,nodeNet,spreadPips,spreadAtr,exitTag
2025.06.02 05:40,L,0,0,1,3,3322.705,2.706,9.06,0.07,913.53,L-BRK,0.93,0.66,59.2,33.2,5.16,0.65,112.0,0.045,TP
2025.06.02 07:05,L,0,0,1,3,3348.555,3.984,2.64,0.05,42.36,L-BRK,7.44,0.44,86.6,43.4,0.73,0.27,112.0,0.029,SL-WIN
2025.06.02 08:45,L,0,0,1,3,3355.422,3.170,0.04,0.99,-112.28,L-BRK,11.40,0.25,30.1,8.3,1.71,0.06,112.0,0.036,SL-LOSS
2025.06.02 14:00,L,0,0,1,1,3372.299,5.160,1.14,0.90,5.33,L-BRK,11.06,0.62,35.1,17.3,1.08,0.00,112.0,0.023,SL-WIN
2025.06.02 14:20,L,0,0,1,1,3373.428,5.789,0.98,0.26,4.05,L-BRK,11.61,0.65,31.3,10.1,0.06,0.00,112.0,0.020,SL-WIN
2025.06.02 18:45,L,0,0,1,1,3377.441,2.125,2.32,0.26,74.99,L-BRK,13.49,0.67,23.5,15.1,0.99,0.00,112.0,0.058,SL-WIN
2025.06.02 20:15,L,0,0,1,1,3381.475,1.551,0.33,0.99,-108.71,L-BRK,18.67,0.05,25.1,11.2,1.49,0.00,112.0,0.078,SL-LOSS
2025.06.02 22:00,L,0,0,1,2,3384.925,1.789,0.00,1.00,-107.76,L-BRK,16.30,0.63,26.4,19.9,2.39,0.00,112.0,0.064,SL-LOSS
2025.06.02 22:05,L,0,0,1,2,3385.350,1.898,3.63,0.46,134.29,L-BRK,16.96,0.48,27.8,14.3,0.47,0.00,112.0,0.061,SL-WIN
2025.06.03 14:00,S,0,0,1,1,3335.818,4.898,0.53,1.00,-108.24,S-BRK,0.96,0.93,42.5,28.3,10.43,-0.86,112.0,0.023,SL-LOSS
2025.06.03 14:10,S,0,0,1,1,3338.821,5.076,0.33,1.00,-107.08,S-BRK,2.14,0.45,45.6,15.1,7.22,-0.86,112.0,0.022,SL-LOSS
2025.06.03 14:20,S,0,0,1,1,3343.425,5.502,0.12,1.00,-111.68,S-BRK,1.84,0.29,42.2,8.5,7.44,-0.86,112.0,0.021,SL-LOSS
2025.06.04 05:40,S,0,0,1,3,3353.062,3.161,1.28,0.42,5.35,S-BRK,0.90,0.74,49.1,15.4,5.44,-0.19,112.0,0.036,SL-WIN
2025.06.04 14:35,L,0,0,1,1,3378.718,5.335,1.11,0.03,4.76,L-BRK,1.78,0.68,49.7,36.1,1.33,1.00,112.0,0.021,SL-WIN
2025.06.04 14:55,L,0,0,1,1,3377.530,5.201,0.28,0.99,-104.06,L-BRK,3.35,0.53,54.4,12.6,0.82,0.37,112.0,0.022,SL-LOSS
2025.06.04 18:00,L,0,0,1,1,3380.115,2.088,1.02,0.04,2.81,L-BRK,8.38,0.45,35.8,9.5,3.00,0.37,112.0,0.061,SL-WIN
2025.06.04 18:05,L,0,0,1,1,3380.615,2.050,0.50,0.99,-105.22,L-BRK,8.58,0.36,37.8,20.7,2.60,0.37,112.0,0.058,SL-LOSS
2025.06.05 00:25,L,0,0,1,2,3381.128,2.472,0.19,1.00,-104.67,L-BRK,5.57,0.84,22.3,17.3,1.34,0.71,112.0,0.048,SL-LOSS
2025.06.05 03:35,L,0,0,1,3,3374.557,2.063,0.45,0.98,-99.83,L-BRK,1.66,0.75,24.5,21.4,4.55,0.10,112.0,0.054,SL-LOSS
2025.06.05 09:25,L,0,0,1,3,3388.003,2.812,0.73,0.99,-102.96,L-BRK,1.08,0.77,45.8,34.4,1.99,0.95,112.0,0.042,SL-LOSS
2025.06.05 09:30,L,0,0,1,3,3384.248,3.415,5.66,0.41,332.97,L-BRK,2.07,0.76,49.8,32.8,0.82,0.10,112.0,0.036,SL-WIN
2025.06.05 15:55,S,0,0,1,1,3344.716,6.797,0.70,1.00,-102.54,S-BRK,1.82,0.76,46.2,25.1,0.33,-1.00,112.0,0.017,SL-LOSS
2025.06.06 14:10,S,0,0,1,1,3334.063,6.566,2.69,0.28,5.65,S-BRK,1.37,0.43,41.4,22.6,0.78,-0.29,112.0,0.017,SL-WIN
2025.06.06 14:50,S,0,0,1,1,3326.530,6.789,0.60,1.00,-101.88,S-BRK,2.65,0.75,37.0,13.6,2.17,-0.12,112.0,0.017,SL-LOSS
2025.06.06 18:00,S,0,0,1,1,3321.340,2.355,3.20,0.44,86.15,S-BRK,10.65,0.27,29.5,10.0,3.18,-0.12,112.0,0.049,SL-WIN
2025.06.06 18:45,S,0,0,1,1,3317.094,2.845,3.48,0.70,182.89,S-BRK,10.45,0.31,28.6,9.2,2.24,-0.29,112.0,0.042,SL-WIN
2025.06.08 22:40,S,0,0,1,2,3312.323,2.666,1.11,0.58,3.94,S-BRK,11.08,0.88,27.7,11.5,3.81,-0.08,112.0,0.042,SL-WIN
2025.06.08 22:50,S,0,0,1,2,3313.215,2.826,0.54,0.99,-105.11,S-BRK,10.68,0.77,29.4,16.8,2.45,-0.07,112.0,0.038,SL-LOSS
2025.06.09 00:15,S,0,0,1,2,3306.993,2.400,0.94,0.05,4.34,S-BRK,13.67,0.52,23.1,24.2,2.89,-0.03,112.0,0.046,SL-WIN
2025.06.09 00:20,S,0,0,1,2,3307.701,2.551,0.93,0.21,5.00,S-BRK,13.92,0.78,26.6,25.0,0.95,-0.05,112.0,0.044,SL-WIN
2025.06.09 09:25,S,0,0,1,3,3318.669,2.526,0.18,1.00,-107.50,S-BRK,1.67,1.00,34.7,18.9,9.76,-0.11,112.0,0.046,SL-LOSS
2025.06.09 10:25,S,0,0,1,3,3316.877,2.299,2.04,0.04,4.27,S-BRK,1.92,0.48,39.3,17.5,9.87,-0.19,112.0,0.050,SL-WIN
2025.06.10 06:45,L,0,0,1,3,3328.686,3.380,0.27,0.99,-102.15,L-BRK,1.36,0.51,54.4,33.2,2.72,1.00,112.0,0.034,SL-LOSS
2025.06.10 07:30,L,0,0,1,3,3331.397,3.425,0.23,0.99,-104.46,L-BRK,0.94,0.80,28.5,9.7,3.24,0.10,112.0,0.034,SL-LOSS
2025.06.10 10:35,L,0,0,1,3,3335.032,2.071,0.00,1.00,-99.94,L-BRK,4.69,0.13,26.4,20.0,2.35,0.10,112.0,0.059,SL-LOSS
2025.06.10 10:45,L,0,0,1,3,3334.117,2.250,1.00,0.06,4.09,L-BRK,4.02,0.50,28.8,10.5,2.26,0.21,112.0,0.058,SL-WIN
2025.06.11 03:35,L,0,0,1,3,3340.636,2.186,0.28,1.00,-99.00,L-BRK,1.25,0.70,33.7,21.0,3.54,0.29,112.0,0.052,SL-LOSS
2025.06.11 05:00,L,0,0,1,3,3342.822,1.850,0.01,0.99,-100.87,L-BRK,1.25,0.20,24.0,16.3,4.12,0.24,112.0,0.063,SL-LOSS
2025.06.11 07:55,L,0,0,1,3,3345.703,2.708,0.30,0.98,-96.39,L-BRK,1.94,0.84,26.5,26.4,1.01,0.54,112.0,0.041,SL-LOSS
2025.06.11 14:50,S,1,0,0,1,3338.088,22.704,0.83,0.21,45.70,S-REV,-3.94,0.78,23.1,7.4,8.57,-0.00,112.0,0.028,SL-WIN
2025.06.11 19:20,L,0,0,1,1,3343.743,3.655,8.16,0.07,596.13,L-BRK,1.18,0.51,48.2,13.3,4.11,0.31,112.0,0.032,SL-WIN
2025.06.11 23:10,L,0,0,1,2,3366.881,3.031,0.06,0.97,-101.08,L-BRK,9.05,0.64,74.3,18.0,1.20,0.22,112.0,0.037,SL-LOSS
2025.06.12 00:50,L,0,0,1,2,3368.303,4.319,0.12,1.00,-103.99,L-BRK,6.86,0.80,22.3,9.5,0.68,0.22,112.0,0.026,SL-LOSS
2025.06.12 01:25,L,0,0,1,2,3375.498,4.425,0.02,0.99,-102.51,L-BRK,7.31,0.60,24.1,17.8,0.89,0.28,112.0,0.026,SL-LOSS
2025.06.12 02:30,L,0,0,1,2,3375.045,3.665,0.75,1.00,-101.09,L-BRK,7.96,0.40,25.8,17.6,0.82,0.22,112.0,0.031,SL-LOSS
2025.06.12 05:20,L,0,0,1,3,3374.549,1.967,0.64,0.99,-99.40,L-BRK,14.07,0.76,22.9,10.4,2.61,0.13,112.0,0.059,SL-LOSS
2025.06.12 06:50,L,0,0,1,3,3375.069,2.739,0.21,1.00,-99.39,L-BRK,9.69,0.64,23.9,13.1,1.77,0.04,112.0,0.043,SL-LOSS
2025.06.12 09:50,L,0,0,1,3,3366.807,3.372,0.06,0.98,-98.28,L-BRK,2.56,0.63,24.5,13.7,3.99,0.01,112.0,0.035,SL-LOSS
2025.06.12 10:10,L,0,0,1,3,3366.937,3.459,6.26,0.17,330.26,L-BRK,1.29,0.22,22.7,8.3,4.62,0.39,112.0,0.034,SL-WIN
2025.06.12 18:15,L,0,0,1,1,3384.655,2.276,2.06,0.99,90.42,L-BRK,2.82,0.59,26.2,13.7,6.65,-0.19,112.0,0.053,SL-WIN
2025.06.13 00:00,L,0,0,1,2,3401.119,2.847,3.91,0.58,104.72,L-BRK,1.82,0.89,37.0,34.6,3.58,0.98,112.0,0.040,SL-WIN
2025.06.13 00:10,L,0,0,1,2,3402.320,4.446,9.40,0.49,963.68,L-BRK,5.67,0.82,46.6,35.3,0.49,0.03,112.0,0.027,TP
