Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Net PnL %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %
1,Exit long,2025-06-20 18:48,L TP1,3356.225,16.45,55250.0886,-41.27,-0.07,9.72,0.02,-40.37,-0.07,-41.99,-0.42
1,Entry long,2025-06-20 18:42,L,3358.668,16.45,55250.0886,-41.27,-0.07,9.72,0.02,-40.37,-0.07,-41.99,-0.42
2,Exit long,2025-06-20 18:48,L TP2,3356.225,65.81,221033.9411,-162.39,-0.07,38.9,0.02,-161.49,-0.07,-203.66,-2.04
2,Entry long,2025-06-20 18:42,L,3358.668,65.81,221033.9411,-162.39,-0.07,38.9,0.02,-161.49,-0.07,-203.66,-2.04
3,Exit short,2025-06-20 21:39,S TP1,3349.22,10.32,34524.96144,-40.07,-0.12,14.08,0.04,-39.17,-0.11,-244.45,-2.44
3,Entry short,2025-06-20 21:36,S,3345.442,10.32,34524.96144,-40.07,-0.12,14.08,0.04,-39.17,-0.11,-244.45,-2.44
4,Exit short,2025-06-20 21:39,S TP2,3349.22,41.28,138099.8458,-157.58,-0.11,56.33,0.04,-156.68,-0.11,-401.31,-4.01
4,Entry short,2025-06-20 21:36,S,3345.442,41.28,138099.8458,-157.58,-0.11,56.33,0.04,-156.68,-0.11,-401.31,-4.01
5,Exit short,2025-06-20 22:06,S TP1,3348.044,9.94,33240.27448,-40.36,-0.12,9.53,0.03,-39.46,-0.12,-442.39,-4.42
5,Entry short,2025-06-20 21:51,S,3344.092,9.94,33240.27448,-40.36,-0.12,9.53,0.03,-39.46,-0.12,-442.39,-4.42
6,Exit short,2025-06-20 22:06,S TP2,3348.044,39.78,133027.9798,-158.83,-0.12,38.14,0.03,-157.93,-0.12,-600.5,-6.00
6,Entry short,2025-06-20 21:51,S,3344.092,39.78,133027.9798,-158.83,-0.12,38.14,0.03,-157.93,-0.12,-600.5,-6.00
7,Exit long,2025-06-20 22:30,L TP1,3359.631,9.37,31450.38626,28.28,0.09,29.18,0.09,-8.45,-0.03,-572.94,-5.73
7,Entry long,2025-06-20 22:27,L,3356.498,9.37,31450.38626,28.28,0.09,29.18,0.09,-8.45,-0.03,-572.94,-5.73
8,Exit long,2025-06-20 22:36,L TP2,3363.643,37.48,125801.545,266.17,0.21,267.07,0.21,-33.81,-0.03,-306.05,-3.06
8,Entry long,2025-06-20 22:27,L,3356.498,37.48,125801.545,266.17,0.21,267.07,0.21,-33.81,-0.03,-306.05,-3.06
