entryTimeUTC,dir,kind,session,entry,riskPrice,mfeR,maeR,realizedUsd,entryReason,brkDistAtr,bodyPct,slopeNorm,netM1,netM3,netM5,atrPct,spreadPips,spreadAtr,exitTag
2024.01.02 08:12,L,4,2,45719.94,230.37,0.86,0.47,-2.91,L-IMP,1.50,0.91,0.060,1.00,1.00,-0.01,0.2235,2392.0,0.234,SL-LOSS
2024.01.02 14:48,S,4,2,45249.52,255.69,1.50,0.69,23.64,S-IMP,1.31,0.63,-0.208,-1.00,-1.00,-0.00,0.2864,1737.0,0.134,SL-WIN
2024.01.03 07:45,S,1,3,45048.78,159.81,0.61,0.98,-163.81,S-BRK,1.25,0.57,-0.025,-1.00,-1.00,0.07,0.1736,1744.0,0.223,SL-LOSS
2024.01.03 09:39,L,1,3,45485.65,185.47,0.00,0.99,-185.42,L-BRK,1.40,0.36,0.058,0.58,1.00,0.04,0.1743,2129.0,0.269,SL-LOSS
2024.01.04 12:18,L,1,4,43425.55,194.15,0.00,0.98,-185.05,L-BRK,1.77,0.08,0.343,0.77,1.00,0.56,0.1923,2176.0,0.261,SL-LOSS
2024.01.05 06:51,L,1,5,43885.38,170.95,2.55,0.93,-2.02,L-BRK,1.53,0.62,-0.061,0.83,1.00,0.09,0.1741,1791.0,0.235,SL-LOSS
2024.01.06 05:30,S,1,6,43760.24,110.00,2.91,0.51,22.09,S-BRK,1.05,0.84,0.221,-0.20,-1.00,-1.00,0.1288,1733.0,0.307,SL-WIN
2024.01.06 14:06,L,1,6,43810.01,110.38,0.70,0.41,-16.55,L-BRK,1.41,0.44,0.073,0.47,0.81,0.01,0.1023,1844.0,0.411,SL-LOSS
2024.01.07 00:36,L,1,7,44132.32,149.06,0.85,0.18,-20.43,L-BRK,1.63,0.54,-0.144,0.50,1.00,0.50,0.1347,3134.0,0.527,SL-LOSS
2024.01.07 11:30,L,1,7,44105.24,105.75,0.26,0.98,-188.74,L-BRK,1.03,0.56,0.594,0.54,1.00,-0.01,0.1007,1735.0,0.391,SL-LOSS
2024.01.07 12:33,L,1,7,44122.77,101.66,1.61,0.45,263.12,L-BRK,1.13,0.42,0.000,0.05,0.96,0.10,0.1010,1205.0,0.270,TP
2024.01.08 11:45,L,1,8,44366.15,204.60,2.41,0.29,405.93,L-BRK,1.05,0.74,0.083,0.24,1.00,0.85,0.1977,2303.0,0.263,TP
2024.01.08 17:21,L,1,8,45319.77,193.28,2.65,0.67,473.49,L-BRK,1.70,0.68,0.000,0.56,1.00,0.17,0.1950,2358.0,0.267,TP
2024.01.09 13:51,L,4,9,46999.16,344.48,0.01,1.00,-179.89,L-IMP,0.93,0.71,0.520,1.00,1.00,0.14,0.3368,2183.0,0.138,SL-LOSS
2024.01.10 07:51,S,1,10,45766.29,131.60,1.28,0.95,21.21,S-BRK,1.38,0.62,-0.954,-0.48,-0.99,-0.18,0.1443,2115.0,0.320,SL-WIN
2024.01.10 17:27,L,1,10,45641.62,198.18,2.45,0.53,435.92,L-BRK,1.11,0.08,0.000,0.59,1.00,0.17,0.1896,2104.0,0.243,TP
2024.01.11 05:33,S,1,11,46213.04,128.65,2.98,0.30,489.16,S-BRK,1.25,0.63,-0.031,-0.33,-1.00,-0.51,0.1409,2147.0,0.330,TP
2024.01.12 04:51,S,1,12,45877.77,159.35,0.14,1.00,-174.41,S-BRK,1.27,0.16,-0.018,-0.19,-0.93,-0.18,0.1796,3333.0,0.405,SL-LOSS
2024.01.12 07:12,S,1,12,45851.81,159.49,0.00,1.00,-176.80,S-BRK,1.14,0.92,0.000,-0.40,-1.00,-0.09,0.1732,2569.0,0.323,SL-LOSS
2024.01.13 10:09,S,1,13,42687.90,145.69,0.23,0.99,-160.34,S-BRK,1.01,0.76,0.000,-0.48,-1.00,-0.65,0.1841,3644.0,0.464,SL-LOSS
2024.01.14 00:24,S,1,14,42729.21,117.17,0.53,0.99,-185.22,S-BRK,1.78,0.78,0.031,-1.00,-1.00,-0.06,0.1275,2582.0,0.474,SL-LOSS
2024.01.14 06:09,L,1,14,42861.20,100.93,1.99,0.37,-25.36,L-BRK,1.22,0.80,-0.221,1.00,0.86,-0.03,0.0942,2479.0,0.614,SL-LOSS
