entryTimeUTC,dir,rev,retest,regimeTrend,session,entry,riskPrice,mfeR,maeR,realizedUsd,entryReason,brkDistAtr,bodyPct,adx,diSpread,runwayAtr,nodeNet,spreadPips,spreadAtr,exitTag
2026.01.02 03:12,L,0,0,1,1,88867.250,334.958,0.49,1.01,-93.79,L-BRK,1.67,0.16,53.7,29.0,2.29,0.18,1260.0,0.145,SL-LOSS
2026.01.02 07:09,L,0,0,1,2,88954.660,234.693,0.07,1.02,-93.88,L-BRK,2.76,0.25,40.2,14.9,2.09,0.34,1260.0,0.212,SL-LOSS
2026.01.02 09:06,L,0,0,1,2,89044.230,249.695,3.22,0.23,172.66,L-BRK,2.57,0.18,29.7,12.5,1.27,0.64,1260.0,0.196,SL-WIN
2026.01.02 14:21,S,0,0,1,3,88721.790,397.554,0.80,1.05,-87.46,S-BRK,1.89,0.79,54.2,38.7,2.31,-1.00,1260.0,0.116,SL-LOSS
2026.01.03 03:48,L,0,0,1,1,90298.370,195.586,0.80,1.03,-93.88,L-BRK,0.46,0.76,28.7,20.3,4.70,0.36,1260.0,0.253,SL-LOSS
2026.01.03 07:18,S,0,0,1,2,89567.790,251.262,1.15,0.20,24.88,S-BRK,3.80,0.79,29.5,28.0,1.91,-0.79,1260.0,0.186,SL-WIN
2026.01.03 14:30,L,0,0,1,3,90191.590,225.830,0.00,1.02,-92.59,L-BRK,1.79,0.28,31.1,22.1,2.14,1.00,1260.0,0.216,SL-LOSS
2026.01.04 12:48,S,0,0,1,3,91116.800,260.464,0.46,1.01,-91.16,S-BRK,1.17,0.56,36.2,18.2,1.22,0.11,1260.0,0.185,SL-LOSS
2026.01.04 14:33,S,0,0,1,3,91146.550,223.367,0.37,1.01,-87.11,S-BRK,0.26,0.58,39.4,24.3,3.04,-0.47,1260.0,0.208,SL-LOSS
2026.01.05 00:00,L,0,0,1,1,91897.500,494.695,2.98,0.51,157.04,L-BRK,1.14,0.57,29.8,28.8,6.22,0.20,1260.0,0.094,SL-WIN
2026.01.05 14:45,L,0,0,1,3,93240.710,660.048,1.27,0.55,78.58,L-IMP,2.04,0.77,0.0,0.0,1.48,1.00,1260.0,0.073,EA
