entryTimeUTC,dir,rev,retest,regimeTrend,session,entry,riskPrice,mfeR,maeR,realizedUsd,entryReason,brkDistAtr,bodyPct,adx,diSpread,runwayAtr,nodeNet,spreadPips,spreadAtr,exitTag
2026.01.01 01:12,L,0,0,1,1,87862.330,183.380,0.45,0.96,-90.90,L-BRK,1.57,0.58,51.8,30.7,5.60,0.00,12.6,0.271,SL-LOSS
2026.01.01 04:18,S,0,0,1,1,87468.470,203.200,0.36,0.71,-25.36,S-BRK,0.78,0.38,58.7,41.7,7.11,-0.95,12.6,0.230,EA
2026.01.02 03:12,L,0,0,1,1,88867.250,331.020,0.49,0.96,-89.43,L-BRK,1.76,0.16,53.7,29.0,2.41,0.18,12.6,0.147,SL-LOSS
2026.01.02 07:09,L,0,0,1,2,88954.660,244.980,0.07,0.98,-88.82,L-BRK,2.74,0.25,40.2,14.9,2.07,0.34,12.6,0.202,SL-LOSS
2026.01.02 09:06,L,0,0,1,2,89044.230,244.830,3.28,0.24,165.61,L-BRK,2.76,0.18,29.7,12.5,1.36,0.64,12.6,0.200,SL-WIN
2026.01.02 14:21,S,0,0,1,3,88721.790,402.210,0.79,0.96,-92.23,S-BRK,1.95,0.79,54.2,38.7,2.38,-1.00,12.6,0.114,SL-LOSS
2026.01.03 03:48,L,0,0,1,1,90298.370,185.420,0.84,0.65,-87.60,L-BRK,0.48,0.76,28.7,20.3,4.90,0.36,12.6,0.267,SL-LOSS
2026.01.03 07:18,S,0,0,1,2,89567.790,265.180,1.09,0.19,20.86,S-BRK,3.60,0.79,29.5,28.0,1.81,-0.79,12.6,0.176,SL-WIN
2026.01.03 14:30,L,0,0,1,3,90191.590,205.840,0.00,0.97,-90.26,L-BRK,1.95,0.28,31.1,22.1,2.33,1.00,12.6,0.238,SL-LOSS
2026.01.04 12:48,S,0,0,1,3,91116.800,260.160,0.46,0.96,-86.72,S-BRK,1.13,0.56,36.2,18.2,1.18,0.11,12.6,0.186,SL-LOSS
2026.01.04 14:33,S,0,0,1,3,91146.550,230.290,0.36,0.99,-85.22,S-BRK,0.26,0.58,39.4,24.3,3.00,-0.47,12.6,0.202,SL-LOSS
2026.01.05 00:00,L,0,0,1,1,91897.500,526.510,2.80,0.48,160.17,L-BRK,1.07,0.57,29.8,28.8,5.80,0.20,12.6,0.089,SL-WIN
2026.01.05 14:45,L,0,0,1,3,93240.710,717.770,1.17,0.51,66.75,L-IMP,1.89,0.77,30.1,9.7,1.37,1.00,12.6,0.067,EA
2026.01.06 02:33,S,0,0,1,1,93589.650,274.960,0.24,0.99,-88.40,S-BRK,1.26,0.40,28.5,19.0,5.45,-0.15,12.6,0.166,SL-LOSS
2026.01.06 03:42,S,0,0,1,1,93768.310,289.010,0.80,0.85,28.07,S-BRK,0.48,0.61,33.1,5.1,3.63,-0.33,12.6,0.159,EA
2026.01.06 07:12,S,0,0,1,2,93542.850,270.950,1.59,0.20,49.90,S-BRK,0.86,0.68,40.3,32.7,0.27,-0.55,12.6,0.170,SL-WIN
2026.01.06 14:15,L,0,0,1,3,94126.840,338.630,0.91,0.99,-89.22,L-BRK,1.94,0.62,38.4,25.1,1.32,0.10,12.6,0.144,SL-LOSS
2026.01.07 05:54,S,0,0,1,1,92529.000,305.870,0.22,0.09,8.77,S-BRK,1.39,0.13,28.3,22.0,5.74,-0.18,12.6,0.152,EA
2026.01.07 09:15,S,0,0,1,2,92243.010,325.690,2.19,0.02,121.14,S-BRK,2.13,0.90,42.0,31.0,0.47,-1.00,12.6,0.144,SL-WIN
2026.01.07 12:42,S,0,0,1,3,91937.250,308.040,2.11,0.95,86.83,S-BRK,1.00,0.19,29.6,11.9,4.81,-0.03,12.6,0.149,SL-WIN
2026.01.08 02:39,S,0,0,1,1,90871.000,451.010,0.79,0.50,34.87,S-BRK,0.73,0.80,49.7,30.7,1.95,-0.15,12.6,0.103,EA
2026.01.08 09:00,S,0,0,1,2,90085.300,387.220,1.07,0.50,30.86,S-BRK,2.37,0.32,44.0,13.3,6.05,-0.38,12.6,0.123,SL-WIN
2026.01.09 02:12,L,0,0,1,1,91353.620,482.960,0.10,1.00,-87.09,L-BRK,0.28,0.70,28.2,16.8,1.56,0.31,12.6,0.100,SL-LOSS
2026.01.09 04:36,S,0,0,1,1,90902.710,219.970,0.35,0.63,-41.24,S-BRK,0.77,0.94,33.4,23.1,6.35,-0.09,12.6,0.212,EA
2026.01.09 07:27,S,0,0,1,2,90922.940,161.000,3.33,0.05,185.14,S-BRK,0.37,0.21,29.8,16.0,4.49,-0.47,12.6,0.289,SL-WIN
2026.01.10 14:33,S,0,0,1,3,90472.390,148.370,0.13,0.99,-36.47,S-BRK,0.35,0.64,32.5,16.2,4.84,-0.18,12.6,0.314,EA
2026.01.11 02:12,L,0,0,1,1,90570.160,110.730,1.46,0.55,86.10,L-BRK,1.11,0.70,32.6,15.6,2.75,0.35,12.6,0.476,SL-WIN
2026.01.11 05:48,L,0,0,1,1,90700.260,97.590,0.00,0.75,-31.01,L-BRK,4.16,0.21,31.9,14.0,1.47,-0.09,12.6,0.548,EA
2026.01.11 09:12,L,0,0,1,2,90663.990,155.360,0.14,0.71,-32.92,L-BRK,0.34,0.57,28.6,6.6,1.28,-0.09,12.6,0.350,EA
2026.01.11 12:30,L,0,0,1,3,90724.350,142.360,1.18,0.25,47.38,L-BRK,2.65,0.47,67.3,29.8,0.70,0.79,12.6,0.360,SL-WIN
2026.01.11 14:12,L,0,0,1,3,90831.750,142.440,1.70,0.23,79.28,L-BRK,4.00,0.86,34.0,26.2,1.87,0.02,12.6,0.359,SL-WIN
2026.01.11 15:03,L,0,0,1,3,90942.320,220.580,0.12,0.98,-90.78,L-BRK,3.78,0.63,36.0,6.3,2.46,0.07,12.6,0.224,SL-LOSS
2026.01.12 00:18,L,0,0,1,1,91088.590,457.480,0.00,1.00,-93.10,L-BRK,0.41,0.74,34.5,25.5,1.67,1.00,12.6,0.104,SL-LOSS
2026.01.12 02:15,L,0,0,1,1,91699.830,468.310,1.50,0.42,60.42,L-BRK,3.50,0.99,31.4,28.8,1.65,0.02,12.6,0.102,SL-WIN
2026.01.12 04:15,L,0,0,1,1,91974.190,437.510,0.44,0.20,-5.67,L-BRK,3.54,0.91,37.9,6.1,3.76,0.02,12.6,0.111,EA
2026.01.12 14:27,S,0,0,1,3,90166.950,376.450,0.19,1.00,-91.03,S-BRK,0.95,0.41,39.6,26.2,1.28,-0.52,12.6,0.125,SL-LOSS
2026.01.12 14:30,S,0,0,1,3,90470.460,484.860,0.12,0.99,-89.04,S-BRK,0.48,0.28,38.3,12.9,1.66,-0.11,12.6,0.096,SL-LOSS
2026.01.13 01:39,S,0,0,1,1,90994.530,303.400,0.16,0.99,-88.27,S-BRK,2.89,0.56,45.1,31.6,2.06,-1.00,12.6,0.154,SL-LOSS
2026.01.13 05:03,L,0,0,1,1,91485.600,277.880,2.35,0.15,139.92,L-BRK,1.23,0.45,33.8,21.2,6.12,0.05,12.6,0.175,SL-WIN
2026.01.13 05:24,L,0,0,1,1,92020.180,513.330,0.04,0.54,-12.62,L-BRK,3.84,0.69,54.6,32.8,2.15,0.29,12.6,0.093,EA
2026.01.13 14:30,L,0,0,1,3,92262.300,524.780,1.11,0.06,26.82,L-BRK,0.94,0.89,32.8,26.9,2.11,0.65,12.6,0.091,SL-WIN
2026.01.14 05:24,S,0,0,1,1,95049.480,336.050,0.60,0.49,45.68,S-BRK,1.28,0.82,47.2,13.1,13.92,-1.00,12.6,0.139,EA
2026.01.14 07:27,S,0,0,1,2,94907.140,367.920,0.21,0.99,-88.65,S-BRK,0.85,0.69,30.1,9.2,9.50,-0.17,12.6,0.128,SL-LOSS
2026.01.14 09:00,S,0,0,1,2,94884.970,235.950,0.08,0.99,-87.34,S-BRK,2.09,0.04,63.7,26.9,6.82,-0.21,12.6,0.195,SL-LOSS
2026.01.14 14:06,L,0,0,1,3,95338.720,386.270,1.15,0.27,22.74,L-BRK,0.56,0.93,28.2,24.4,2.77,1.00,12.6,0.124,SL-WIN
2026.01.15 00:42,S,0,0,1,1,96592.330,433.840,1.15,0.92,38.97,S-BRK,1.60,0.27,51.3,23.2,6.46,-0.00,12.6,0.107,SL-WIN
2026.01.15 09:27,L,0,0,1,2,96735.400,333.880,1.34,0.16,47.10,L-BRK,1.51,0.77,37.3,18.2,3.87,1.00,12.6,0.145,SL-WIN
2026.01.15 12:54,L,0,0,1,3,96902.670,287.430,0.32,0.98,-89.85,L-BRK,1.42,0.89,36.8,26.5,4.06,0.50,12.6,0.168,SL-LOSS
2026.01.15 13:48,L,0,0,1,3,96988.430,421.440,0.34,1.00,-88.61,L-BRK,0.78,0.77,36.3,22.6,3.14,0.48,12.6,0.114,SL-LOSS
2026.01.16 01:06,S,0,0,1,1,95477.910,255.820,0.30,0.99,-87.20,S-BRK,0.84,0.59,35.0,19.5,6.00,-0.40,12.6,0.187,SL-LOSS
2026.01.16 03:57,S,0,0,1,1,95315.750,189.280,0.01,0.99,-85.49,S-BRK,0.38,0.63,44.7,26.3,3.78,-0.54,12.6,0.247,SL-LOSS
