### 2D grid: per-N threshold re-tune (E1-only, abandon) — is N=5 a real spike or a threshold-scale artifact? ###
-- N=4 --
  thr=0.10  trades:   77  (wins 46, win% 59.7) net:      930.58 USD   (end balance 10930.58) PF:       1.402 
  thr=0.15  trades:   76  (wins 45, win% 59.2) net:      775.46 USD   (end balance 10775.46) PF:       1.336 
  thr=0.20  trades:   72  (wins 42, win% 58.3) net:      559.10 USD   (end balance 10559.10) PF:       1.256 
  thr=0.25  trades:   67  (wins 37, win% 55.2) net:      401.88 USD   (end balance 10401.88) PF:       1.187 
  thr=0.30  trades:   64  (wins 35, win% 54.7) net:      334.95 USD   (end balance 10334.95) PF:       1.161 
  thr=0.35  trades:   61  (wins 33, win% 54.1) net:      355.46 USD   (end balance 10355.46) PF:       1.179 
  thr=0.40  trades:   60  (wins 33, win% 55.0) net:      436.92 USD   (end balance 10436.92) PF:       1.230 
-- N=5 --
  thr=0.10  trades:   73  (wins 45, win% 61.6) net:      1161.64 USD   (end balance 11161.64) PF:       1.537 
  thr=0.15  trades:   71  (wins 44, win% 62.0) net:      1070.05 USD   (end balance 11070.05) PF:       1.521 
  thr=0.20  trades:   68  (wins 43, win% 63.2) net:      1164.82 USD   (end balance 11164.82) PF:       1.639 
  thr=0.25  trades:   67  (wins 42, win% 62.7) net:      1162.78 USD   (end balance 11162.78) PF:       1.638 
  thr=0.30  trades:   63  (wins 39, win% 61.9) net:      1040.48 USD   (end balance 11040.48) PF:       1.605 
  thr=0.35  trades:   61  (wins 37, win% 60.7) net:      884.89 USD   (end balance 10884.89) PF:       1.514 
  thr=0.40  trades:   58  (wins 34, win% 58.6) net:      692.78 USD   (end balance 10692.78) PF:       1.405 
-- N=6 --
  thr=0.10  trades:   79  (wins 46, win% 58.2) net:      793.74 USD   (end balance 10793.74) PF:       1.323 
  thr=0.15  trades:   76  (wins 45, win% 59.2) net:      744.11 USD   (end balance 10744.11) PF:       1.313 
  thr=0.20  trades:   72  (wins 43, win% 59.7) net:      667.31 USD   (end balance 10667.31) PF:       1.297 
  thr=0.25  trades:   66  (wins 38, win% 57.6) net:      494.76 USD   (end balance 10494.76) PF:       1.231 
  thr=0.30  trades:   63  (wins 36, win% 57.1) net:      590.06 USD   (end balance 10590.06) PF:       1.290 
  thr=0.35  trades:   61  (wins 34, win% 55.7) net:      395.91 USD   (end balance 10395.91) PF:       1.195 
  thr=0.40  trades:   57  (wins 33, win% 57.9) net:      715.95 USD   (end balance 10715.95) PF:       1.417 
-- N=8 --
  thr=0.10  trades:   79  (wins 45, win% 57.0) net:      636.54 USD   (end balance 10636.54) PF:       1.257 
  thr=0.15  trades:   77  (wins 44, win% 57.1) net:      670.54 USD   (end balance 10670.54) PF:       1.274 
  thr=0.20  trades:   73  (wins 42, win% 57.5) net:      733.77 USD   (end balance 10733.77) PF:       1.328 
  thr=0.25  trades:   70  (wins 40, win% 57.1) net:      712.84 USD   (end balance 10712.84) PF:       1.326 
  thr=0.30  trades:   67  (wins 38, win% 56.7) net:      524.80 USD   (end balance 10524.80) PF:       1.241 
  thr=0.35  trades:   61  (wins 34, win% 55.7) net:      494.35 USD   (end balance 10494.35) PF:       1.243 
  thr=0.40  trades:   60  (wins 34, win% 56.7) net:      605.00 USD   (end balance 10605.00) PF:       1.313 
DONE_2DGRID
